#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.24534	-0.00028182	0.143	-7.1126E-05	0.08669	-1.9313E-05	1.0521	-0.0004265	0.94397	-0.001443	0.77969	-0.0011319	0.66039	-0.0021679	0.50664	-0.00064821	1.0617	-0.00047906	0.94908	-0.0014568	0.77951	-0.0011417	0.656	-0.0024718	0.49858	-0.00069057	0.78668	-0.012134	1.0562	-0.0004284	0.8776	-0.001481	0.68199	-0.0010172	0.53225	-0.00072007	0.63545	-5.1373E-06	0.88706	-0.001847	0.69183	-0.0011312	0.54405	-0.00057258	0.44493	-0.00023579	0.37879	-0.00018563	0.77388	-0.0086747	1.0665	-0.00037785	0.90327	-0.0016963	0.68877	-0.00081076	0.54655	-0.00058312	0.42834	-0.00059271	1.0784	-0.0015531	1.0242	-0.00012598	0.85264	-0.0025113	0.70044	-0.0015949	0.52137	-0.00058352	0.41462	-0.00060456	1.0763	-0.00016705	0.89588	-9.3694E-05	0.98393	-9.9101E-05	0.77389	-9.4779E-05	0.8658	-2.3868E-06	0.86235	-3.5034E-05	0.43247	-0.0001926	0.33663	-0.000142	0.23756	-0.00013508	0.14514	-9.0291E-05	0.083789	-2.4224E-05	0.43583	0.00042686	0.34241	-0.00013876	0.23711	-0.00015424	0.14384	-8.5611E-05	0.088703	-8.3407E-05	1.066	-0.00035373	0.90056	-0.001689	0.67921	-0.0010977	0.54519	-0.00084867	0.63311	-6.7152E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0508	-0.00042831	0.94208	-0.0014534	0.77912	-0.0011394	0.65891	-0.0021808	0.50644	-0.00064834	1.0604	-0.00048285	0.94714	-0.0014696	0.77894	-0.0011494	0.65439	-0.0024881	0.49836	-0.00069039	NAN	NAN	1.055	-0.00042946	0.87588	-0.0014707	0.68113	-0.0010141	0.53195	-0.00071819	0.63544	-5.2436E-06	0.88484	-0.0018297	0.69097	-0.0011298	0.54374	-0.00057225	0.4447	-0.00023652	NAN	NAN	0.76595	-0.0084955	1.0657	-0.00037821	0.90105	-0.001678	0.68809	-0.00080719	0.54625	-0.00058299	NAN	NAN	1.0796	-0.0020089	1.0234	-0.00012661	0.85035	-0.0024966	0.69931	-0.0015918	0.52115	-0.00058178	NAN	NAN	1.076	-0.00016537	0.89579	-9.3651E-05	0.9837	-9.877E-05	0.77384	-9.4428E-05	0.86587	-2.4327E-06	0.86231	-3.5508E-05	0.43225	-0.00019223	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0656	-0.00038183	0.89852	-0.0016815	0.67828	-0.001094	0.5448	-0.00084672	0.63306	-6.7896E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0505	-0.00042746	0.94195	-0.0014532	0.779	-0.0011381	0.65909	-0.002185	0.50636	-0.00064848	1.0601	-0.00048316	0.94699	-0.0014696	0.77882	-0.0011481	0.65456	-0.0024933	0.49828	-0.00069004	NAN	NAN	1.0547	-0.00042878	0.87579	-0.0014701	0.68128	-0.0010153	0.53187	-0.00071909	0.63545	-5.2623E-06	0.88471	-0.0018286	0.69109	-0.0011297	0.54372	-0.00057229	0.44473	-0.0002366	NAN	NAN	0.76564	-0.0084808	1.0654	-0.00037848	0.90092	-0.0016765	0.68823	-0.00080775	0.54622	-0.00058317	NAN	NAN	1.0797	-0.0020667	1.0233	-0.00012675	0.85013	-0.0024976	0.69939	-0.0015905	0.52108	-0.00058244	NAN	NAN	1.0759	-0.00016591	0.89579	-9.3482E-05	0.98367	-9.8685E-05	0.77383	-9.4575E-05	0.86588	-2.4423E-06	0.86231	-3.5609E-05	0.43227	-0.0001925	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0655	-0.00038551	0.89839	-0.0016808	0.67844	-0.0010956	0.54473	-0.00084764	0.63306	-6.807E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0494	-0.00042597	0.9413	-0.0014532	0.77865	-0.0011395	0.65875	-0.0021957	0.50619	-0.00064915	1.059	-0.00048488	0.9463	-0.0014702	0.77846	-0.0011494	0.65417	-0.0025069	0.49808	-0.00069013	NAN	NAN	1.0536	-0.00042764	0.87531	-0.0014671	0.68114	-0.0010158	0.53168	-0.00071921	0.63545	-5.2997E-06	0.88407	-0.0018228	0.69091	-0.0011291	0.54358	-0.00057223	0.44463	-0.00023693	NAN	NAN	0.76289	-0.0084176	1.0647	-0.0003797	0.90027	-0.0016689	0.68814	-0.00080747	0.54608	-0.00058331	NAN	NAN	1.0803	-0.0023466	1.0229	-0.0001265	0.84933	-0.0024977	0.69905	-0.0015877	0.52092	-0.00058238	NAN	NAN	1.0758	-0.0001663	0.89578	-9.2924E-05	0.98357	-9.8418E-05	0.7738	-9.4654E-05	0.86591	-2.4625E-06	0.86229	-3.5801E-05	0.43218	-0.00019242	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.065	-0.00040424	0.89781	-0.0016772	0.67828	-0.0010963	0.54451	-0.0008478	0.63304	-6.8379E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0485	-0.00042574	0.94082	-0.0014506	0.77845	-0.0011408	0.65846	-0.002202	0.50608	-0.00064968	1.0581	-0.00048743	0.94578	-0.0014677	0.77826	-0.0011507	0.65384	-0.0025153	0.49796	-0.00069034	NAN	NAN	1.0528	-0.00042769	0.87507	-0.0014661	0.681	-0.0010157	0.53157	-0.00071914	0.63545	-5.3333E-06	0.88371	-0.0018197	0.69075	-0.0011287	0.54349	-0.00057222	0.44454	-0.00023724	NAN	NAN	0.76117	-0.0083821	1.0641	-0.00038147	0.89986	-0.0016636	0.68804	-0.00080686	0.54598	-0.00058343	NAN	NAN	1.0809	-0.0026052	1.0224	-0.00012617	0.84891	-0.0024986	0.69881	-0.0015862	0.52082	-0.00058223	NAN	NAN	1.0756	-0.00016628	0.89578	-9.247E-05	0.98348	-9.8025E-05	0.77379	-9.4664E-05	0.86593	-2.4819E-06	0.86227	-3.6009E-05	0.43209	-0.0001923	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0647	-0.00042212	0.89748	-0.0016755	0.67813	-0.0010962	0.54437	-0.00084779	0.63302	-6.8628E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0468	-0.00042363	0.94006	-0.0014481	0.7781	-0.001144	0.65788	-0.002214	0.50585	-0.0006509	1.0565	-0.00049064	0.94496	-0.0014656	0.77791	-0.0011539	0.65318	-0.0025312	0.4977	-0.00069085	NAN	NAN	1.0512	-0.0004264	0.87459	-0.0014635	0.68072	-0.0010154	0.53134	-0.00071923	0.63544	-5.3722E-06	0.88305	-0.0018139	0.69042	-0.0011277	0.54331	-0.00057221	0.44437	-0.00023763	NAN	NAN	0.75793	-0.0083141	1.063	-0.00038442	0.89916	-0.001655	0.68783	-0.00080592	0.54581	-0.00058366	NAN	NAN	1.0822	-0.0031312	1.0217	-0.00012499	0.84811	-0.0024994	0.69831	-0.0015832	0.52064	-0.00058224	NAN	NAN	1.0754	-0.00016609	0.89577	-9.1879E-05	0.98334	-9.7501E-05	0.77376	-9.4703E-05	0.86597	-2.51E-06	0.86225	-3.634E-05	0.43193	-0.00019201	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0641	-0.00045914	0.89688	-0.0016721	0.67782	-0.0010959	0.5441	-0.00084785	0.633	-6.8855E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0443	-0.00041699	0.93895	-0.0014468	0.77761	-0.0011479	0.65715	-0.0022296	0.50556	-0.00065277	1.054	-0.00049196	0.94377	-0.0014649	0.77742	-0.0011579	0.65234	-0.0025522	0.49736	-0.00069185	NAN	NAN	1.0488	-0.00042134	0.87381	-0.0014578	0.68037	-0.0010151	0.53106	-0.0007193	0.63544	-5.4406E-06	0.88201	-0.001804	0.69002	-0.0011267	0.5431	-0.00057216	0.44413	-0.00023809	NAN	NAN	0.75341	-0.0082063	1.0614	-0.00038763	0.89807	-0.0016421	0.68758	-0.00080483	0.54559	-0.00058388	NAN	NAN	1.0845	-0.0040508	1.0207	-0.00012282	0.84688	-0.0024967	0.69768	-0.0015792	0.52042	-0.00058225	NAN	NAN	1.0751	-0.00016578	0.89573	-9.126E-05	0.98319	-9.6967E-05	0.77371	-9.4706E-05	0.86602	-2.5523E-06	0.8622	-3.6831E-05	0.43172	-0.00019149	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0632	-0.00052557	0.8959	-0.0016657	0.67743	-0.0010957	0.54377	-0.00084783	0.63296	-6.9262E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0433	-0.00041313	0.93862	-0.0014464	0.77748	-0.001149	0.65694	-0.0022343	0.50548	-0.0006535	1.053	-0.00049128	0.94342	-0.0014647	0.77728	-0.0011589	0.65211	-0.0025588	0.49726	-0.0006924	NAN	NAN	1.0479	-0.00041826	0.87358	-0.001456	0.68028	-0.001015	0.53099	-0.00071925	0.63544	-5.4655E-06	0.88171	-0.0018011	0.68992	-0.0011264	0.54304	-0.00057214	0.44403	-0.00023825	NAN	NAN	0.75213	-0.0081741	1.0607	-0.00038861	0.89775	-0.0016382	0.68752	-0.0008045	0.54553	-0.00058392	NAN	NAN	1.0854	-0.0044215	1.0203	-0.00012178	0.84651	-0.0024956	0.69751	-0.0015781	0.52036	-0.00058218	NAN	NAN	1.075	-0.00016575	0.89572	-9.1079E-05	0.98315	-9.6792E-05	0.77369	-9.4696E-05	0.86604	-2.5661E-06	0.86218	-3.699E-05	0.43163	-0.00019124	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0628	-0.00055295	0.89561	-0.0016637	0.67733	-0.0010957	0.54368	-0.00084778	0.63295	-6.9415E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0405	-0.00039991	0.93779	-0.0014444	0.77719	-0.0011507	0.6565	-0.0022462	0.50528	-0.00065549	1.0501	-0.00048698	0.94252	-0.0014629	0.77699	-0.0011607	0.65159	-0.0025754	0.49701	-0.000694	NAN	NAN	1.0452	-0.00040743	0.87301	-0.0014518	0.6801	-0.0010152	0.53083	-0.00071914	0.63543	-5.5445E-06	0.88096	-0.0017938	0.68972	-0.001126	0.54291	-0.00057211	0.44376	-0.00023876	NAN	NAN	0.74927	-0.0081001	1.0586	-0.0003909	0.89696	-0.0016285	0.68741	-0.00080372	0.5454	-0.00058405	NAN	NAN	1.0882	-0.0055876	1.0193	-0.00011864	0.84565	-0.0024915	0.69717	-0.0015761	0.52023	-0.00058198	NAN	NAN	1.0746	-0.00016577	0.8957	-9.0522E-05	0.98302	-9.6258E-05	0.77366	-9.466E-05	0.8661	-2.6074E-06	0.86214	-3.7496E-05	0.43139	-0.00019057	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0618	-0.00064207	0.8949	-0.0016588	0.67712	-0.0010961	0.54349	-0.00084772	0.63291	-6.9922E-06
B8	11510	4.07	0.24487	-0.00027997	0.14262	-7.0895E-05	0.086642	-1.9352E-05	1.0398	-0.00039728	0.93747	-0.0014451	0.77704	-0.001152	0.65625	-0.0022518	0.50551	-0.00065645	1.0493	-0.00048737	0.94218	-0.0014638	0.77685	-0.001162	0.6513	-0.0025829	0.49723	-0.0006977	0.74602	-0.011176	1.0444	-0.00040583	0.87272	-0.0014499	0.67997	-0.0010149	0.53111	-0.00071236	0.6354	-5.5508E-06	0.8806	-0.0017912	0.68958	-0.0011256	0.54286	-0.00057168	0.44334	-0.00023886	0.37819	-0.00018734	0.74781	-0.0080605	1.0582	-0.00039369	0.89661	-0.0016254	0.68731	-0.00080326	0.54537	-0.00058319	0.42524	-0.00061119	1.0894	-0.0060327	1.019	-0.00011686	0.84521	-0.0024894	0.69697	-0.0015749	0.52053	-0.00057674	0.41166	-0.00061371	1.0747	-0.00016483	0.8957	-9.0413E-05	0.98298	-9.6094E-05	0.77365	-9.4645E-05	0.86604	-2.7946E-06	0.86207	-3.749E-05	0.431	-0.00018796	0.33628	-0.00014176	0.2374	-0.00013524	0.14469	-9.0178E-05	0.083726	-2.4245E-05	0.43419	0.00069331	0.34208	-0.00014018	0.2369	-0.00015408	0.14339	-8.5161E-05	0.088395	-7.1439E-05	1.0616	-0.00067903	0.89457	-0.0016573	0.67698	-0.0010958	0.54364	-0.00084169	0.63288	-6.9321E-06
