#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.17346	-0.0001361	0.10187	-3.6395E-05	0.061486	-9.8864E-06	1.0812	-0.0010418	0.92009	-0.0028986	0.69757	-0.0018312	0.55197	-0.0027247	0.38559	-0.0006006	1.0965	-0.0011907	0.9275	-0.0029578	0.69735	-0.0018462	0.54706	-0.003037	0.37786	-0.00063283	0.70566	-0.015443	1.0877	-0.0010512	0.82697	-0.0026454	0.57644	-0.0014069	0.41111	-0.00071906	0.52109	-6.6599E-06	0.84004	-0.0033077	0.5883	-0.0015883	0.42292	-0.00059204	0.32736	-0.00018631	0.27115	-0.00011473	0.69099	-0.011726	1.1041	-0.00094958	0.86234	-0.0031065	0.58431	-0.0011414	0.42549	-0.00060439	0.31311	-0.0004204	1.138	-0.0058926	1.037	-0.00029938	0.79386	-0.004301	0.59904	-0.0022458	0.40004	-0.00056974	0.30132	-0.00041251	1.1198	-0.00043635	0.85114	-0.00017689	0.97633	-0.00021437	0.68919	-0.00015475	0.81	-4.36E-06	0.80538	-6.3694E-05	0.31627	-0.00014807	0.23843	-7.9557E-05	0.16806	-6.4317E-05	0.10339	-4.6126E-05	0.059414	-1.2369E-05	0.31997	9.3689E-05	0.24276	-7.8083E-05	0.16776	-7.3822E-05	0.10246	-4.3907E-05	0.062958	-4.8216E-05	1.1041	-0.00099174	0.85873	-0.0031074	0.57322	-0.001507	0.42444	-0.00087228	0.51844	-8.663E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.079	-0.0010422	0.91738	-0.0029076	0.69684	-0.001842	0.55024	-0.0027328	0.38538	-0.00060051	1.0944	-0.0011966	0.92469	-0.002971	0.69662	-0.0018572	0.54518	-0.003047	0.37763	-0.00063243	NAN	NAN	1.0856	-0.0010505	0.82459	-0.0026183	0.57539	-0.0014005	0.41081	-0.00071695	0.52108	-6.7913E-06	0.83693	-0.0032633	0.58725	-0.0015839	0.4226	-0.0005915	0.32715	-0.00018683	NAN	NAN	0.68094	-0.011392	1.1027	-0.00094964	0.85921	-0.0030606	0.58348	-0.001135	0.42517	-0.00060403	NAN	NAN	1.1438	-0.0074972	1.0357	-0.00029954	0.79073	-0.0042598	0.59765	-0.0022374	0.39982	-0.00056791	NAN	NAN	1.1194	-0.00043155	0.85101	-0.00017677	0.97598	-0.00021361	0.68912	-0.00015413	0.81007	-4.5436E-06	0.80531	-6.4479E-05	0.31608	-0.00014777	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1037	-0.001098	0.85585	-0.0030807	0.5721	-0.0014996	0.42403	-0.00086988	0.51837	-8.7232E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0785	-0.0010389	0.91718	-0.0029066	0.69669	-0.0018394	0.55045	-0.0027388	0.38531	-0.00060061	1.0938	-0.001196	0.92448	-0.0029702	0.69647	-0.0018545	0.54539	-0.003054	0.37756	-0.00063208	NAN	NAN	1.0851	-0.0010477	0.82445	-0.0026168	0.57558	-0.0014026	0.41073	-0.00071775	0.52108	-6.8165E-06	0.83675	-0.0032606	0.5874	-0.0015842	0.42258	-0.00059152	0.32718	-0.00018689	NAN	NAN	0.68055	-0.01137	1.1023	-0.00094946	0.85902	-0.0030573	0.58365	-0.0011361	0.42515	-0.0006042	NAN	NAN	1.1443	-0.0076857	1.0356	-0.00029982	0.79042	-0.0042595	0.59774	-0.002236	0.39974	-0.00056847	NAN	NAN	1.1193	-0.00043291	0.85101	-0.00017646	0.97594	-0.0002134	0.68911	-0.00015439	0.81008	-4.5809E-06	0.8053	-6.4642E-05	0.3161	-0.00014798	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1035	-0.0011105	0.85567	-0.0030786	0.57228	-0.0015021	0.42397	-0.00087072	0.51837	-8.7401E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0767	-0.0010316	0.91626	-0.0029029	0.69623	-0.0018403	0.55008	-0.0027498	0.38514	-0.00060109	1.0921	-0.0011962	0.9235	-0.0029675	0.696	-0.0018554	0.54495	-0.0030675	0.37737	-0.00063201	NAN	NAN	1.0834	-0.0010414	0.82381	-0.0026093	0.57542	-0.0014031	0.41054	-0.0007177	0.52108	-6.8644E-06	0.83587	-0.003247	0.58718	-0.001583	0.42244	-0.00059137	0.32709	-0.00018713	NAN	NAN	0.67712	-0.011256	1.1011	-0.00095062	0.85812	-0.0030406	0.58355	-0.0011357	0.425	-0.00060425	NAN	NAN	1.1472	-0.0085942	1.0349	-0.00029873	0.78934	-0.0042536	0.59734	-0.0022311	0.39959	-0.0005683	NAN	NAN	1.1189	-0.00043387	0.851	-0.00017544	0.97579	-0.00021277	0.68907	-0.00015453	0.8101	-4.6559E-06	0.80527	-6.4948E-05	0.31601	-0.00014791	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1029	-0.0011768	0.85485	-0.003069	0.5721	-0.0015027	0.42374	-0.00087064	0.51834	-8.7681E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0753	-0.0010278	0.91559	-0.0028956	0.69598	-0.0018418	0.54974	-0.0027558	0.38504	-0.00060148	1.0907	-0.0011992	0.92276	-0.0029599	0.69575	-0.0018569	0.54457	-0.0030751	0.37725	-0.0006321	NAN	NAN	1.0821	-0.0010386	0.82346	-0.0026065	0.57525	-0.0014027	0.41042	-0.00071752	0.52107	-6.907E-06	0.83537	-0.0032398	0.58699	-0.0015821	0.42234	-0.0005913	0.32701	-0.00018736	NAN	NAN	0.67499	-0.011189	1.1002	-0.00095369	0.85756	-0.0030296	0.58343	-0.0011347	0.42491	-0.0006043	NAN	NAN	1.1499	-0.0094065	1.0343	-0.00029742	0.78876	-0.0042519	0.59704	-0.0022282	0.39949	-0.00056809	NAN	NAN	1.1188	-0.00043379	0.851	-0.0001746	0.97565	-0.00021192	0.68905	-0.00015455	0.81012	-4.7249E-06	0.80524	-6.5293E-05	0.31594	-0.00014781	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1025	-0.00124	0.8544	-0.0030641	0.57192	-0.0015023	0.4236	-0.00087047	0.51832	-8.7886E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0726	-0.0010167	0.91451	-0.0028871	0.69553	-0.0018457	0.54908	-0.002767	0.38482	-0.0006024	1.088	-0.0012007	0.92159	-0.0029514	0.6953	-0.0018608	0.54382	-0.0030895	0.377	-0.00063234	NAN	NAN	1.0795	-0.0010299	0.82281	-0.0025997	0.57491	-0.0014016	0.4102	-0.0007174	0.52106	-6.9537E-06	0.83447	-0.0032262	0.5866	-0.00158	0.42216	-0.00059117	0.32686	-0.00018763	NAN	NAN	0.67096	-0.011063	1.0984	-0.00095834	0.85658	-0.0030113	0.58318	-0.001133	0.42473	-0.00060439	NAN	NAN	1.155	-0.010978	1.0332	-0.00029379	0.78769	-0.0042473	0.59644	-0.0022224	0.39931	-0.00056797	NAN	NAN	1.1184	-0.00043328	0.85099	-0.00017349	0.97546	-0.0002108	0.68901	-0.0001546	0.81016	-4.8202E-06	0.8052	-6.5852E-05	0.3158	-0.00014757	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1019	-0.0013698	0.85357	-0.0030548	0.57155	-0.0015012	0.42333	-0.00087022	0.51829	-8.8035E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0686	-0.00099204	0.91294	-0.0028787	0.69491	-0.0018504	0.54824	-0.0027815	0.38454	-0.00060386	1.084	-0.0011938	0.91991	-0.0029437	0.69468	-0.0018655	0.54287	-0.0031084	0.37668	-0.00063297	NAN	NAN	1.0757	-0.0010094	0.82174	-0.0025862	0.5745	-0.0014004	0.40992	-0.00071722	0.52104	-7.0353E-06	0.83304	-0.0032033	0.58612	-0.0015776	0.42195	-0.00059097	0.32664	-0.00018795	NAN	NAN	0.66536	-0.010874	1.0956	-0.00096166	0.85507	-0.002983	0.58287	-0.0011311	0.42451	-0.00060445	NAN	NAN	1.1627	-0.013498	1.0316	-0.00028767	0.78602	-0.0042341	0.59568	-0.0022148	0.39909	-0.00056783	NAN	NAN	1.1179	-0.00043247	0.85095	-0.00017231	0.97523	-0.00020969	0.68895	-0.0001546	0.8102	-4.9658E-06	0.80512	-6.6664E-05	0.31561	-0.00014715	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.101	-0.0016	0.85221	-0.0030377	0.57109	-0.0015001	0.42299	-0.00086981	0.51824	-8.8312E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.067	-0.00097946	0.91248	-0.0028762	0.69474	-0.0018516	0.54801	-0.002786	0.38446	-0.00060445	1.0823	-0.001188	0.91941	-0.0029413	0.6945	-0.0018667	0.5426	-0.0031145	0.37658	-0.00063337	NAN	NAN	1.0741	-0.00099862	0.82142	-0.002582	0.57439	-0.0014001	0.40985	-0.00071711	0.52104	-7.0653E-06	0.83262	-0.0031965	0.58599	-0.0015769	0.42189	-0.00059091	0.32656	-0.00018806	NAN	NAN	0.66378	-0.010819	1.0945	-0.00096193	0.85463	-0.0029747	0.5828	-0.0011305	0.42445	-0.00060445	NAN	NAN	1.1654	-0.014441	1.0311	-0.00028491	0.78553	-0.0042295	0.59547	-0.0022127	0.39903	-0.00056772	NAN	NAN	1.1177	-0.00043239	0.85093	-0.00017195	0.97517	-0.00020933	0.68893	-0.00015458	0.81022	-5.0171E-06	0.80509	-6.6925E-05	0.31554	-0.00014695	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1006	-0.001693	0.85181	-0.0030325	0.57097	-0.0014998	0.4229	-0.00086966	0.51823	-8.842E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0626	-0.00093876	0.91129	-0.0028683	0.69437	-0.0018535	0.54751	-0.0027974	0.38426	-0.00060605	1.0777	-0.0011653	0.91813	-0.0029332	0.69413	-0.0018685	0.54202	-0.0031302	0.37634	-0.00063458	NAN	NAN	1.0698	-0.0009633	0.82064	-0.0025719	0.57417	-0.0013999	0.40968	-0.00071685	0.52102	-7.1617E-06	0.83159	-0.0031799	0.58575	-0.0015759	0.42176	-0.00059079	0.32632	-0.00018841	NAN	NAN	0.66026	-0.010693	1.0912	-0.00096089	0.85353	-0.0029538	0.58266	-0.0011293	0.42431	-0.00060449	NAN	NAN	1.1725	-0.017186	1.0296	-0.00027676	0.78436	-0.0042167	0.59507	-0.0022088	0.3989	-0.00056744	NAN	NAN	1.1171	-0.00043245	0.85091	-0.00017089	0.97499	-0.00020819	0.68889	-0.00015452	0.81028	-5.175E-06	0.80501	-6.7757E-05	0.31533	-0.00014641	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0996	-0.0019909	0.85082	-0.0030197	0.57073	-0.0014998	0.4227	-0.00086936	0.51817	-8.8789E-06
B8	11510	4.07	0.17314	-0.00013522	0.1016	-3.6299E-05	0.061451	-9.9067E-06	1.0615	-0.00093606	0.91076	-0.0028653	0.69418	-0.0018547	0.54723	-0.0028021	0.38449	-0.00060661	1.0767	-0.0011688	0.91755	-0.0029302	0.69394	-0.0018698	0.5417	-0.003136	0.37656	-0.00063758	0.6559	-0.013667	1.0688	-0.00096274	0.82026	-0.0025674	0.57404	-0.0013991	0.40997	-0.00071061	0.52104	-7.1955E-06	0.83109	-0.0031725	0.5856	-0.0015748	0.42171	-0.00059035	0.32595	-0.00018866	0.27067	-0.00011563	0.65852	-0.010629	1.0907	-0.00096844	0.85302	-0.0029449	0.58256	-0.0011282	0.42428	-0.00060362	0.31046	-0.00043173	1.1755	-0.018207	1.0289	-0.00027339	0.78379	-0.0042106	0.59484	-0.0022064	0.3992	-0.0005627	0.29884	-0.00041744	1.1173	-0.00042931	0.8509	-0.0001707	0.97492	-0.00020769	0.68888	-0.00015449	0.81034	-5.1084E-06	0.805	-6.8097E-05	0.31499	-0.00014437	0.23816	-7.9465E-05	0.16795	-6.4398E-05	0.10307	-4.6102E-05	0.059369	-1.238E-05	0.31887	0.00019573	0.24251	-7.8685E-05	0.16761	-7.3662E-05	0.10214	-4.3674E-05	0.062731	-4.102E-05	1.1	-0.0021243	0.85035	-0.0030145	0.57058	-0.001499	0.42285	-0.00086364	0.51818	-8.9404E-06
