#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.1264	-6.9656E-05	0.074758	-1.9743E-05	0.044939	-5.3661E-06	1.1396	-0.0029253	0.88915	-0.0048256	0.61954	-0.002178	0.46444	-0.002754	0.30029	-0.00050728	1.1657	-0.0033219	0.89947	-0.0050132	0.6193	-0.0021951	0.45947	-0.0030311	0.29321	-0.00053186	0.63206	-0.016547	1.1506	-0.0029196	0.76927	-0.0036635	0.48935	-0.0015117	0.32426	-0.00063631	0.43166	-6.8526E-06	0.78579	-0.0046411	0.50184	-0.0017235	0.33535	-0.00053442	0.24746	-0.00014196	0.1999	-7.3347E-05	0.61553	-0.012883	1.1793	-0.0026355	0.81352	-0.0045521	0.49745	-0.0012404	0.33781	-0.00054609	0.23533	-0.0002983	1.2747	-0.01845	1.0634	-0.00089294	0.73051	-0.0055627	0.51344	-0.0024494	0.31373	-0.00049731	0.22527	-0.00028442	1.2087	-0.0012205	0.79627	-0.00026552	0.96429	-0.00047571	0.6095	-0.0001865	0.74655	-6.0835E-06	0.74116	-8.8139E-05	0.23779	-0.00011082	0.17404	-4.6839E-05	0.12253	-3.2527E-05	0.075877	-2.4983E-05	0.043415	-6.6984E-06	0.24112	1.2746E-06	0.17736	-4.638E-05	0.12232	-3.7574E-05	0.075197	-2.3869E-05	0.046032	-2.8324E-05	1.183	-0.003036	0.80886	-0.0045108	0.48605	-0.0016122	0.33701	-0.0007856	0.42897	-8.888E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.1359	-0.00292	0.88545	-0.0048057	0.61875	-0.0021886	0.46269	-0.0027582	0.3001	-0.00050705	1.1621	-0.0033378	0.89559	-0.004996	0.61851	-0.0022058	0.45758	-0.0030362	0.29301	-0.00053136	NAN	NAN	1.1471	-0.0029157	0.76639	-0.003615	0.48828	-0.0015042	0.32397	-0.0006344	0.43165	-6.9944E-06	0.78197	-0.0045603	0.50076	-0.0017181	0.33506	-0.0005339	0.24728	-0.00014238	NAN	NAN	0.60465	-0.012466	1.1771	-0.0026419	0.80956	-0.0044636	0.49659	-0.0012331	0.33751	-0.00054572	NAN	NAN	1.2876	-0.022035	1.0611	-0.00088881	0.72683	-0.005492	0.512	-0.0024386	0.31352	-0.00049569	NAN	NAN	1.208	-0.0012072	0.79611	-0.00026531	0.96377	-0.00047322	0.60943	-0.00018578	0.74666	-6.2025E-06	0.74109	-8.9315E-05	0.23762	-0.0001106	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1834	-0.0033917	0.80526	-0.0044522	0.48489	-0.0016035	0.33663	-0.00078333	0.42891	-8.9861E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.1349	-0.0029079	0.88518	-0.0048016	0.61857	-0.0021854	0.4629	-0.0027645	0.30004	-0.00050715	1.1612	-0.0033328	0.89529	-0.0049917	0.61833	-0.0022025	0.45779	-0.0030434	0.29294	-0.00053109	NAN	NAN	1.1462	-0.0029053	0.76622	-0.0036123	0.48847	-0.0015065	0.3239	-0.00063507	0.43166	-7.0194E-06	0.78175	-0.0045555	0.50091	-0.0017183	0.33504	-0.00053391	0.2473	-0.00014242	NAN	NAN	0.60422	-0.01244	1.1764	-0.0026401	0.80933	-0.0044574	0.49676	-0.0012343	0.33749	-0.00054585	NAN	NAN	1.2886	-0.022419	1.0609	-0.00088906	0.72647	-0.0054899	0.5121	-0.002437	0.31346	-0.00049615	NAN	NAN	1.2078	-0.0012116	0.79611	-0.00026484	0.96371	-0.0004727	0.60941	-0.00018607	0.74668	-6.2275E-06	0.74109	-8.9566E-05	0.23764	-0.00011075	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.183	-0.0034303	0.80504	-0.004448	0.48509	-0.0016062	0.33656	-0.00078402	0.42891	-9.0091E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.1319	-0.0028785	0.8839	-0.0047843	0.61807	-0.0021857	0.46252	-0.0027743	0.29989	-0.00050749	1.1582	-0.0033259	0.89391	-0.0049741	0.61782	-0.0022027	0.45734	-0.0030552	0.29277	-0.00053096	NAN	NAN	1.1433	-0.0028812	0.76544	-0.0035989	0.4883	-0.0015067	0.32372	-0.00063496	0.43166	-7.0692E-06	0.78064	-0.0045309	0.50068	-0.0017167	0.3349	-0.00053375	0.24723	-0.0001426	NAN	NAN	0.60048	-0.012296	1.1743	-0.0026424	0.80816	-0.0044266	0.49665	-0.0012336	0.33735	-0.00054586	NAN	NAN	1.2941	-0.024244	1.0598	-0.00088346	0.72519	-0.0054759	0.51167	-0.0024308	0.31331	-0.00049596	NAN	NAN	1.2072	-0.0012153	0.79609	-0.00026327	0.96348	-0.00047103	0.60937	-0.00018621	0.74673	-6.2798E-06	0.74106	-9.004E-05	0.23757	-0.00011071	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1825	-0.0036417	0.804	-0.0044282	0.4849	-0.0016065	0.33635	-0.00078384	0.42889	-9.0498E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.1293	-0.00286	0.88296	-0.0047643	0.61779	-0.0021869	0.46218	-0.0027794	0.29979	-0.00050776	1.1557	-0.0033278	0.89287	-0.0049522	0.61754	-0.0022039	0.45696	-0.0030615	0.29266	-0.00053097	NAN	NAN	1.1408	-0.0028676	0.76502	-0.0035933	0.48813	-0.0015061	0.32361	-0.00063478	0.43166	-7.1141E-06	0.78003	-0.0045175	0.50048	-0.0017154	0.33481	-0.00053367	0.24716	-0.00014278	NAN	NAN	0.59816	-0.012212	1.1726	-0.002651	0.80744	-0.0044063	0.49653	-0.0012323	0.33726	-0.00054588	NAN	NAN	1.2988	-0.025799	1.0586	-0.00087717	0.72452	-0.0054702	0.51135	-0.0024273	0.31322	-0.00049576	NAN	NAN	1.2069	-0.0012155	0.79609	-0.00026199	0.96327	-0.00046879	0.60935	-0.00018623	0.74677	-6.3301E-06	0.74103	-9.0555E-05	0.2375	-0.00011063	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1823	-0.0038422	0.80343	-0.0044179	0.48471	-0.0016058	0.33622	-0.00078363	0.42887	-9.0826E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.1245	-0.0028148	0.88145	-0.0047375	0.61729	-0.0021905	0.46151	-0.0027887	0.29959	-0.00050844	1.151	-0.0033189	0.89121	-0.0049228	0.61704	-0.0022076	0.4562	-0.0030732	0.29244	-0.00053108	NAN	NAN	1.1364	-0.0028326	0.76423	-0.0035808	0.48778	-0.0015045	0.32339	-0.00063459	0.43166	-7.1658E-06	0.7789	-0.0044928	0.50007	-0.0017127	0.33464	-0.00053351	0.24703	-0.000143	NAN	NAN	0.59378	-0.012054	1.1696	-0.0026635	0.80619	-0.0043727	0.49627	-0.0012303	0.33709	-0.0005459	NAN	NAN	1.3067	-0.028604	1.0566	-0.00086244	0.72326	-0.0054578	0.51072	-0.00242	0.31305	-0.00049562	NAN	NAN	1.2063	-0.001215	0.79607	-0.00026032	0.96297	-0.0004658	0.60931	-0.00018629	0.74683	-6.4027E-06	0.741	-9.1375E-05	0.23738	-0.00011045	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1821	-0.0042468	0.80237	-0.0043986	0.48433	-0.0016042	0.33596	-0.00078328	0.42884	-9.1124E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.1175	-0.0027263	0.87928	-0.0047052	0.61661	-0.0021948	0.46065	-0.0028009	0.29933	-0.00050953	1.144	-0.003279	0.88885	-0.0048884	0.61636	-0.0022118	0.45523	-0.0030887	0.29214	-0.00053146	NAN	NAN	1.1296	-0.0027599	0.76292	-0.003557	0.48734	-0.0015028	0.32313	-0.00063435	0.43165	-7.257E-06	0.77713	-0.0044522	0.49957	-0.0017095	0.33443	-0.00053327	0.24684	-0.00014325	NAN	NAN	0.5877	-0.011819	1.1649	-0.0026702	0.80426	-0.0043214	0.49595	-0.0012279	0.33688	-0.00054589	NAN	NAN	1.3163	-0.032635	1.0539	-0.00083904	0.72129	-0.0054311	0.50991	-0.0024105	0.31285	-0.00049545	NAN	NAN	1.2055	-0.0012141	0.79601	-0.00025854	0.96262	-0.0004627	0.60924	-0.00018628	0.74691	-6.5123E-06	0.74092	-9.2583E-05	0.23722	-0.00011014	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1821	-0.0049423	0.80066	-0.0043647	0.48385	-0.0016025	0.33564	-0.00078276	0.4288	-9.1658E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.1148	-0.0026839	0.87864	-0.0046957	0.61642	-0.0021958	0.46041	-0.0028046	0.29926	-0.00050998	1.1411	-0.003254	0.88815	-0.0048781	0.61616	-0.0022128	0.45496	-0.0030937	0.29206	-0.00053175	NAN	NAN	1.127	-0.0027238	0.76253	-0.0035498	0.48723	-0.0015024	0.32307	-0.00063423	0.43165	-7.2903E-06	0.77661	-0.0044403	0.49944	-0.0017087	0.33438	-0.00053321	0.24676	-0.00014334	NAN	NAN	0.58598	-0.011751	1.1629	-0.0026689	0.80369	-0.0043062	0.49587	-0.0012272	0.33682	-0.00054587	NAN	NAN	1.3188	-0.034014	1.0529	-0.00082908	0.7207	-0.0054224	0.50969	-0.0024079	0.31279	-0.00049535	NAN	NAN	1.2051	-0.0012144	0.79599	-0.00025801	0.96253	-0.00046172	0.60922	-0.00018625	0.74694	-6.5481E-06	0.74089	-9.2975E-05	0.23716	-0.00010999	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.182	-0.005214	0.80015	-0.0043545	0.48372	-0.0016021	0.33555	-0.00078258	0.42878	-9.186E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.107	-0.0025512	0.877	-0.0046688	0.61601	-0.0021972	0.45991	-0.0028144	0.29908	-0.00051118	1.1329	-0.0031652	0.88636	-0.0048486	0.61575	-0.0022142	0.45437	-0.0031068	0.29184	-0.00053261	NAN	NAN	1.1194	-0.0026088	0.76158	-0.0035323	0.48701	-0.0015019	0.32291	-0.00063396	0.43164	-7.3956E-06	0.77534	-0.0044111	0.49918	-0.0017072	0.33425	-0.00053307	0.24656	-0.00014363	NAN	NAN	0.58217	-0.011598	1.1571	-0.0026586	0.80229	-0.0042686	0.49573	-0.0012256	0.33669	-0.00054586	NAN	NAN	1.3239	-0.037708	1.0502	-0.00080009	0.71933	-0.0053996	0.50927	-0.002403	0.31267	-0.00049508	NAN	NAN	1.2042	-0.0012158	0.79595	-0.00025642	0.96225	-0.00045872	0.60917	-0.00018617	0.74704	-6.6553E-06	0.74082	-9.4223E-05	0.23697	-0.0001096	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.182	-0.0060579	0.7989	-0.0043296	0.48347	-0.0016018	0.33536	-0.00078222	0.42874	-9.2527E-06
B8	11510	4.07	0.12617	-6.9202E-05	0.074559	-1.9699E-05	0.044914	-5.3772E-06	1.1049	-0.0025194	0.87639	-0.0046631	0.61581	-0.0021987	0.45961	-0.0028187	0.29928	-0.00051159	1.1307	-0.0031495	0.8857	-0.0048424	0.61555	-0.0022156	0.45404	-0.0031123	0.29203	-0.00053502	0.57795	-0.014267	1.1173	-0.0025842	0.7611	-0.0035241	0.48685	-0.001501	0.32317	-0.00062863	0.4316	-7.4037E-06	0.77473	-0.0043989	0.49901	-0.001706	0.3342	-0.00053267	0.24623	-0.00014375	0.19951	-7.3847E-05	0.58021	-0.011518	1.1558	-0.0026709	0.80167	-0.0042548	0.49561	-0.0012247	0.33666	-0.00054511	0.23307	-0.00030558	1.3258	-0.03897	1.0493	-0.00078603	0.71863	-0.0053878	0.50901	-0.0024002	0.31294	-0.00049106	0.22319	-0.00028722	1.2044	-0.00121	0.79596	-0.00025612	0.96216	-0.00045779	0.60916	-0.00018613	0.74694	-7.1313E-06	0.74072	-9.4175E-05	0.23667	-0.00010802	0.17384	-4.68E-05	0.12246	-3.2569E-05	0.075639	-2.4983E-05	0.043382	-6.7051E-06	0.24023	4.9076E-05	0.17717	-4.6668E-05	0.12222	-3.7442E-05	0.07496	-2.3737E-05	0.045864	-2.3996E-05	1.1826	-0.0063974	0.79832	-0.00432	0.4833	-0.0016008	0.3355	-0.0007773	0.4287	-9.1726E-06
