#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.2487	-0.0002899	0.14492	-7.3031E-05	0.08787	-1.983E-05	1.0503	-0.00039316	0.94513	-0.0013872	0.78349	-0.0011043	0.66539	-0.0021425	0.51227	-0.00065013	1.0594	-0.00043975	0.95013	-0.0013993	0.78332	-0.001114	0.66103	-0.0024457	0.5042	-0.00069296	0.7903	-0.011974	1.0542	-0.00039401	0.87999	-0.0014358	0.68685	-0.0010003	0.53787	-0.00071971	0.64073	-5.0691E-06	0.88928	-0.0017895	0.6966	-0.0011115	0.54967	-0.00057133	0.45042	-0.00023813	0.38382	-0.00018935	0.77764	-0.0085341	1.064	-0.00034561	0.9052	-0.0016405	0.69359	-0.00079655	0.55217	-0.00058179	0.43372	-0.00060142	1.0753	-0.0014343	1.0234	-0.00011801	0.85539	-0.0024409	0.70511	-0.0015668	0.52701	-0.00058384	0.41991	-0.00061436	1.0734	-0.00015174	0.89804	-9.0577E-05	0.98433	-9.4343E-05	0.77781	-9.2438E-05	0.86844	-2.3137E-06	0.86505	-3.3971E-05	0.43789	-0.00019473	0.34123	-0.00014534	0.24081	-0.00013903	0.14709	-9.2714E-05	0.08493	-2.4875E-05	0.44121	0.00045048	0.34707	-0.00014204	0.24036	-0.00015872	0.14577	-8.7896E-05	0.089906	-8.5153E-05	1.0636	-0.00032458	0.90255	-0.0016338	0.6841	-0.0010799	0.55079	-0.00084709	0.63841	-6.6277E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.049	-0.00039509	0.94328	-0.0013976	0.78294	-0.0011118	0.66392	-0.0021555	0.51207	-0.00065027	1.0582	-0.00044352	0.94823	-0.001412	0.78276	-0.0011216	0.65943	-0.0024623	0.50397	-0.0006928	NAN	NAN	1.053	-0.00039523	0.8783	-0.0014261	0.686	-0.00099729	0.53758	-0.00071783	0.64072	-5.174E-06	0.88709	-0.0017731	0.69575	-0.0011102	0.54936	-0.00057102	0.45018	-0.00023887	NAN	NAN	0.76981	-0.0083613	1.0632	-0.00034608	0.90303	-0.0016232	0.69291	-0.00079309	0.55186	-0.00058166	NAN	NAN	1.0763	-0.0018582	1.0226	-0.00011863	0.85314	-0.0024271	0.70399	-0.001564	0.52679	-0.0005821	NAN	NAN	1.0732	-0.00015022	0.89794	-9.0536E-05	0.9841	-9.4037E-05	0.77776	-9.2096E-05	0.86851	-2.3581E-06	0.86501	-3.4431E-05	0.43767	-0.00019437	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0632	-0.00035087	0.90054	-0.001627	0.68318	-0.0010763	0.5504	-0.00084516	0.63836	-6.7011E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0487	-0.00039436	0.94315	-0.0013975	0.78282	-0.0011105	0.6641	-0.0021597	0.51199	-0.00065041	1.0578	-0.00044387	0.94809	-0.0014121	0.78264	-0.0011202	0.6596	-0.0024674	0.50389	-0.00069244	NAN	NAN	1.0527	-0.00039466	0.87821	-0.0014255	0.68615	-0.00099847	0.5375	-0.00071874	0.64073	-5.1924E-06	0.88697	-0.0017721	0.69587	-0.0011101	0.54934	-0.00057105	0.45021	-0.00023895	NAN	NAN	0.7695	-0.008347	1.063	-0.00034636	0.9029	-0.0016217	0.69305	-0.00079363	0.55184	-0.00058184	NAN	NAN	1.0764	-0.0019121	1.0226	-0.00011878	0.85292	-0.0024281	0.70407	-0.0015627	0.52672	-0.00058276	NAN	NAN	1.0731	-0.00015072	0.89794	-9.0372E-05	0.98407	-9.3956E-05	0.77775	-9.224E-05	0.86852	-2.3674E-06	0.865	-3.4529E-05	0.43769	-0.00019463	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.063	-0.00035433	0.90042	-0.0016263	0.68333	-0.0010778	0.55033	-0.00084608	0.63835	-6.7183E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0476	-0.00039318	0.94251	-0.0013976	0.78246	-0.0011119	0.66377	-0.0021704	0.51182	-0.0006511	1.0568	-0.00044568	0.94741	-0.0014129	0.78228	-0.0011216	0.65921	-0.002481	0.5037	-0.00069254	NAN	NAN	1.0517	-0.00039379	0.87775	-0.0014226	0.68602	-0.00099902	0.53731	-0.00071887	0.64073	-5.2293E-06	0.88634	-0.0017666	0.69569	-0.0011095	0.54921	-0.000571	0.45011	-0.00023929	NAN	NAN	0.76678	-0.008286	1.0623	-0.0003476	0.90226	-0.0016145	0.69296	-0.00079335	0.5517	-0.000582	NAN	NAN	1.0769	-0.0021731	1.0221	-0.00011856	0.85213	-0.0024284	0.70374	-0.0015599	0.52656	-0.00058271	NAN	NAN	1.0729	-0.00015109	0.89793	-8.9833E-05	0.98398	-9.3706E-05	0.77772	-9.2317E-05	0.86855	-2.387E-06	0.86498	-3.4716E-05	0.4376	-0.00019456	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0626	-0.00037187	0.89984	-0.0016229	0.68318	-0.0010785	0.55012	-0.00084625	0.63834	-6.7488E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0467	-0.00039313	0.94205	-0.0013952	0.78227	-0.0011132	0.66348	-0.0021767	0.51171	-0.00065163	1.056	-0.00044821	0.94691	-0.0014106	0.78209	-0.0011229	0.65888	-0.0024894	0.50358	-0.00069277	NAN	NAN	1.0509	-0.00039399	0.8775	-0.0014217	0.68588	-0.00099893	0.53719	-0.00071881	0.64073	-5.2625E-06	0.88598	-0.0017637	0.69553	-0.0011091	0.54911	-0.000571	0.45002	-0.00023961	NAN	NAN	0.76509	-0.0082519	1.0618	-0.00034932	0.90186	-0.0016094	0.69287	-0.00079277	0.5516	-0.00058212	NAN	NAN	1.0775	-0.0024144	1.0217	-0.00011827	0.85172	-0.0024293	0.7035	-0.0015585	0.52646	-0.00058256	NAN	NAN	1.0728	-0.00015108	0.89793	-8.9394E-05	0.98388	-9.3336E-05	0.7777	-9.2327E-05	0.86858	-2.4058E-06	0.86497	-3.4917E-05	0.43751	-0.00019443	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0623	-0.00038861	0.89953	-0.0016213	0.68303	-0.0010785	0.54998	-0.00084625	0.63832	-6.7734E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0451	-0.00039147	0.9413	-0.001393	0.78192	-0.0011163	0.6629	-0.0021887	0.51148	-0.00065287	1.0544	-0.0004515	0.9461	-0.0014087	0.78173	-0.0011261	0.65823	-0.0025053	0.50331	-0.00069328	NAN	NAN	1.0494	-0.00039308	0.87703	-0.0014193	0.6856	-0.00099858	0.53697	-0.0007189	0.64073	-5.3008E-06	0.88534	-0.0017582	0.69521	-0.0011082	0.54894	-0.00057099	0.44985	-0.00024	NAN	NAN	0.76188	-0.0081863	1.0607	-0.00035221	0.90117	-0.0016013	0.69266	-0.00079185	0.55143	-0.00058235	NAN	NAN	1.0787	-0.0029061	1.021	-0.00011721	0.85094	-0.0024303	0.70301	-0.0015556	0.52628	-0.00058257	NAN	NAN	1.0726	-0.00015092	0.89792	-8.8822E-05	0.98375	-9.2841E-05	0.77767	-9.2365E-05	0.86861	-2.433E-06	0.86494	-3.5238E-05	0.43735	-0.00019414	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0617	-0.00042327	0.89894	-0.0016182	0.68272	-0.0010782	0.54971	-0.00084632	0.6383	-6.7958E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0427	-0.00038575	0.94022	-0.0013919	0.78144	-0.0011202	0.66217	-0.0022043	0.51119	-0.00065475	1.052	-0.00045321	0.94494	-0.0014084	0.78125	-0.00113	0.6574	-0.0025263	0.50298	-0.00069431	NAN	NAN	1.0471	-0.00038881	0.87627	-0.0014139	0.68525	-0.00099832	0.53669	-0.00071898	0.64072	-5.3683E-06	0.88432	-0.0017487	0.69482	-0.0011073	0.54872	-0.00057095	0.44961	-0.00024046	NAN	NAN	0.75741	-0.0080821	1.0591	-0.00035543	0.9001	-0.0015889	0.69241	-0.0007908	0.55121	-0.00058258	NAN	NAN	1.0808	-0.0037685	1.02	-0.00011523	0.84972	-0.002428	0.70238	-0.0015517	0.52606	-0.00058259	NAN	NAN	1.0723	-0.00015066	0.89789	-8.8224E-05	0.9836	-9.2338E-05	0.77762	-9.2369E-05	0.86866	-2.4741E-06	0.86489	-3.5714E-05	0.43714	-0.00019362	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0609	-0.0004855	0.89798	-0.0016121	0.68233	-0.0010781	0.54938	-0.00084633	0.63826	-6.836E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0418	-0.00038233	0.9399	-0.0013916	0.78131	-0.0011212	0.66197	-0.0022091	0.51111	-0.0006555	1.051	-0.00045279	0.94459	-0.0014082	0.78112	-0.001131	0.65716	-0.002533	0.50288	-0.00069487	NAN	NAN	1.0462	-0.00038612	0.87604	-0.0014121	0.68516	-0.00099828	0.53662	-0.00071894	0.64072	-5.3929E-06	0.88402	-0.0017459	0.69471	-0.001107	0.54867	-0.00057093	0.44951	-0.00024063	NAN	NAN	0.75614	-0.0080509	1.0584	-0.00035644	0.89979	-0.0015852	0.69235	-0.00079048	0.55115	-0.00058263	NAN	NAN	1.0816	-0.0041171	1.0197	-0.00011427	0.84936	-0.0024269	0.70221	-0.0015506	0.526	-0.00058253	NAN	NAN	1.0722	-0.00015064	0.89788	-8.8049E-05	0.98356	-9.2174E-05	0.77761	-9.2358E-05	0.86868	-2.4874E-06	0.86488	-3.5869E-05	0.43705	-0.00019336	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0605	-0.00051117	0.89769	-0.0016102	0.68223	-0.0010781	0.54929	-0.00084628	0.63825	-6.8511E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0391	-0.00037052	0.93908	-0.0013898	0.78102	-0.0011229	0.66153	-0.0022209	0.5109	-0.0006575	1.0483	-0.00044937	0.94371	-0.0014067	0.78083	-0.0011327	0.65665	-0.0025497	0.50263	-0.00069649	NAN	NAN	1.0436	-0.00037655	0.87548	-0.0014081	0.68498	-0.00099844	0.53645	-0.00071883	0.64072	-5.4709E-06	0.88329	-0.001739	0.69451	-0.0011066	0.54854	-0.0005709	0.44924	-0.00024114	NAN	NAN	0.75332	-0.0079792	1.0565	-0.00035887	0.89901	-0.0015759	0.69224	-0.00078972	0.55102	-0.00058276	NAN	NAN	1.0842	-0.0052171	1.0187	-0.00011137	0.84851	-0.0024231	0.70188	-0.0015487	0.52587	-0.00058233	NAN	NAN	1.0718	-0.00015068	0.89786	-8.7511E-05	0.98344	-9.167E-05	0.77758	-9.2324E-05	0.86874	-2.5275E-06	0.86484	-3.636E-05	0.43681	-0.00019269	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0595	-0.0005948	0.89699	-0.0016056	0.68203	-0.0010784	0.54909	-0.00084623	0.63821	-6.9012E-06
B8	11510	4.07	0.24823	-0.00028799	0.14454	-7.2792E-05	0.087821	-1.987E-05	1.0384	-0.00036819	0.93877	-0.0013906	0.78088	-0.0011242	0.66128	-0.0022265	0.51114	-0.00065847	1.0475	-0.00044988	0.94338	-0.0014076	0.78069	-0.001134	0.65636	-0.0025572	0.50284	-0.00070021	0.7501	-0.011055	1.0429	-0.00037517	0.87519	-0.0014063	0.68486	-0.00099815	0.53674	-0.00071203	0.64068	-5.477E-06	0.88293	-0.0017365	0.69438	-0.0011062	0.54849	-0.00057048	0.44882	-0.00024124	0.38322	-0.00019111	0.75187	-0.0079408	1.0561	-0.00036152	0.89867	-0.001573	0.69214	-0.00078928	0.55099	-0.00058189	0.4306	-0.00062026	1.0854	-0.0056378	1.0184	-0.00010972	0.84808	-0.0024212	0.70168	-0.0015476	0.52617	-0.00057707	0.41694	-0.00062372	1.0719	-0.00014982	0.89786	-8.7406E-05	0.9834	-9.1515E-05	0.77757	-9.2309E-05	0.86868	-2.7089E-06	0.86477	-3.6354E-05	0.43642	-0.00019005	0.34087	-0.0001451	0.24065	-0.00013919	0.14663	-9.2595E-05	0.084866	-2.4897E-05	0.43953	0.00072847	0.34674	-0.00014351	0.24014	-0.00015857	0.14532	-8.7434E-05	0.089595	-7.2958E-05	1.0593	-0.00062942	0.89667	-0.0016042	0.68189	-0.0010782	0.54924	-0.00084019	0.63818	-6.8418E-06
