#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.26085	-0.00031995	0.15187	-8.012E-05	0.092131	-2.1755E-05	1.0438	-0.00028918	0.94932	-0.0011938	0.79732	-0.0010072	0.68355	-0.0020531	0.53265	-0.0006576	1.0516	-0.00031836	0.95393	-0.0012004	0.79716	-0.001016	0.67928	-0.002354	0.52453	-0.00070218	0.80334	-0.011394	1.0472	-0.00028728	0.88865	-0.0012756	0.70453	-0.00094059	0.55825	-0.00071895	0.65989	-4.8296E-06	0.8973	-0.0015858	0.71394	-0.001042	0.57004	-0.00056731	0.47025	-0.00024685	0.40201	-0.00020319	0.79121	-0.0080262	1.0556	-0.00024682	0.91221	-0.0014435	0.71108	-0.0007464	0.57252	-0.00057745	0.45317	-0.0006338	1.0646	-0.0010727	1.0208	-9.2268E-05	0.86536	-0.0021909	0.72209	-0.0014674	0.54742	-0.00058543	0.43904	-0.00065077	1.0636	-0.00010563	0.90582	-7.9603E-05	0.98573	-7.83E-05	0.79204	-8.4158E-05	0.87802	-2.0551E-06	0.87481	-3.021E-05	0.4575	-0.00020267	0.35783	-0.00015777	0.25256	-0.00015374	0.15415	-0.00010173	0.089051	-2.7298E-05	0.46061	0.00054377	0.36392	-0.00015427	0.25209	-0.00017543	0.15277	-9.6398E-05	0.094254	-9.1516E-05	1.0552	-0.00023546	0.90974	-0.0014392	0.70185	-0.0010169	0.57109	-0.00084204	0.65763	-6.3206E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0427	-0.00029132	0.94762	-0.0012041	0.79679	-0.0010141	0.68212	-0.0020668	0.53245	-0.00065778	1.0505	-0.00032188	0.95217	-0.0012129	0.79662	-0.0010232	0.67772	-0.0023714	0.5243	-0.00070207	NAN	NAN	1.0462	-0.00028883	0.88707	-0.0012677	0.70371	-0.00093802	0.55795	-0.00071712	0.65989	-4.9296E-06	0.89526	-0.0015727	0.71313	-0.001041	0.56973	-0.00056703	0.47001	-0.00024762	NAN	NAN	0.78373	-0.0078767	1.0549	-0.00024755	0.91019	-0.0014296	0.71043	-0.0007433	0.57222	-0.00057736	NAN	NAN	1.0653	-0.0013979	1.0201	-9.2874E-05	0.86325	-0.0021801	0.72101	-0.0014652	0.54721	-0.00058371	NAN	NAN	1.0634	-0.00010461	0.90573	-7.957E-05	0.98552	-7.8071E-05	0.79199	-8.3847E-05	0.87808	-2.0945E-06	0.87478	-3.0619E-05	0.45728	-0.00020229	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0549	-0.00025612	0.90787	-0.0014344	0.70096	-0.0010139	0.5707	-0.00084019	0.65758	-6.3906E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0424	-0.00029094	0.94749	-0.0012041	0.79668	-0.001013	0.68229	-0.0020707	0.53237	-0.00065793	1.0502	-0.00032231	0.95204	-0.0012131	0.79651	-0.001022	0.67789	-0.0023762	0.52422	-0.00070171	NAN	NAN	1.0459	-0.00028856	0.88698	-0.0012672	0.70385	-0.00093909	0.55788	-0.00071804	0.65989	-4.9472E-06	0.89514	-0.0015719	0.71324	-0.0010409	0.56971	-0.00056707	0.47004	-0.00024771	NAN	NAN	0.78343	-0.0078636	1.0547	-0.00024785	0.91006	-0.0014284	0.71056	-0.00074378	0.57219	-0.00057755	NAN	NAN	1.0653	-0.0014395	1.02	-9.2999E-05	0.86304	-0.0021813	0.72109	-0.001464	0.54713	-0.00058438	NAN	NAN	1.0633	-0.00010497	0.90573	-7.9426E-05	0.9855	-7.8007E-05	0.79198	-8.3978E-05	0.8781	-2.1028E-06	0.87477	-3.0706E-05	0.4573	-0.00020257	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0548	-0.00025888	0.90775	-0.0014338	0.70111	-0.0010152	0.57063	-0.00084113	0.65758	-6.4071E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0415	-0.00029058	0.94691	-0.0012047	0.79634	-0.0010144	0.68197	-0.0020813	0.5322	-0.00065865	1.0494	-0.0003242	0.95142	-0.0012143	0.79617	-0.0010234	0.67751	-0.0023898	0.52403	-0.00070184	NAN	NAN	1.045	-0.00028842	0.88655	-0.0012649	0.70372	-0.00093965	0.55769	-0.0007182	0.6599	-4.9823E-06	0.89455	-0.0015673	0.71306	-0.0010404	0.56957	-0.00056703	0.46994	-0.00024806	NAN	NAN	0.78084	-0.0078107	1.0541	-0.00024905	0.90947	-0.0014225	0.71048	-0.00074354	0.57205	-0.00057771	NAN	NAN	1.0657	-0.0016413	1.0197	-9.2895E-05	0.8623	-0.0021822	0.72077	-0.0014615	0.54697	-0.00058435	NAN	NAN	1.0632	-0.00010526	0.90572	-7.8952E-05	0.98541	-7.781E-05	0.79195	-8.4049E-05	0.87812	-2.1201E-06	0.87475	-3.0873E-05	0.4572	-0.00020248	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0544	-0.00027272	0.90722	-0.0014313	0.70096	-0.0010159	0.57042	-0.00084134	0.65756	-6.4361E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0408	-0.00029099	0.94648	-0.0012029	0.79615	-0.0010156	0.68169	-0.0020877	0.53209	-0.00065921	1.0486	-0.00032655	0.95096	-0.0012127	0.79598	-0.0010246	0.67719	-0.0023983	0.5239	-0.00070209	NAN	NAN	1.0443	-0.00028898	0.88632	-0.0012643	0.70359	-0.0009396	0.55757	-0.00071815	0.6599	-5.014E-06	0.89422	-0.001565	0.71291	-0.0010401	0.56948	-0.00056704	0.46985	-0.00024839	NAN	NAN	0.77922	-0.0077813	1.0536	-0.00025054	0.9091	-0.0014182	0.71039	-0.00074301	0.57196	-0.00057785	NAN	NAN	1.0661	-0.0018284	1.0193	-9.2735E-05	0.8619	-0.0021833	0.72054	-0.0014603	0.54688	-0.00058421	NAN	NAN	1.0631	-0.00010527	0.90572	-7.8566E-05	0.98532	-7.7513E-05	0.79194	-8.4058E-05	0.87815	-2.1368E-06	0.87474	-3.1052E-05	0.45711	-0.00020236	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0541	-0.00028587	0.90692	-0.00143	0.70081	-0.0010159	0.57028	-0.00084136	0.65754	-6.4596E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0394	-0.00029055	0.94579	-0.0012015	0.79582	-0.0010186	0.68113	-0.0020997	0.53186	-0.0006605	1.0473	-0.00032987	0.95021	-0.0012116	0.79564	-0.0010276	0.67655	-0.0024145	0.52364	-0.00070265	NAN	NAN	1.043	-0.00028905	0.88588	-0.0012623	0.70332	-0.00093936	0.55734	-0.00071828	0.65989	-5.0504E-06	0.89362	-0.0015605	0.7126	-0.0010394	0.5693	-0.00056705	0.46967	-0.00024879	NAN	NAN	0.77615	-0.0077247	1.0528	-0.00025311	0.90845	-0.0014114	0.71019	-0.0007422	0.57178	-0.0005781	NAN	NAN	1.0669	-0.0022117	1.0187	-9.2012E-05	0.86117	-0.0021848	0.72006	-0.0014578	0.54669	-0.00058425	NAN	NAN	1.0629	-0.0001052	0.90571	-7.8063E-05	0.98521	-7.7118E-05	0.79191	-8.4093E-05	0.87818	-2.161E-06	0.87472	-3.1338E-05	0.45695	-0.00020205	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0536	-0.00031315	0.90637	-0.0014276	0.70052	-0.0010158	0.57001	-0.00084149	0.65752	-6.481E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0373	-0.00028743	0.94479	-0.0012014	0.79537	-0.0010224	0.68042	-0.0021154	0.53157	-0.00066246	1.0453	-0.00033249	0.94914	-0.0012122	0.79518	-0.0010314	0.67573	-0.0024357	0.5233	-0.00070375	NAN	NAN	1.0411	-0.000287	0.88516	-0.0012579	0.70298	-0.00093921	0.55707	-0.00071841	0.65989	-5.1148E-06	0.89266	-0.0015527	0.71222	-0.0010386	0.56909	-0.00056703	0.46943	-0.00024928	NAN	NAN	0.77187	-0.0076333	1.0514	-0.00025619	0.90746	-0.0014012	0.70994	-0.00074127	0.57157	-0.00057836	NAN	NAN	1.0684	-0.0028909	1.0178	-9.0612E-05	0.86002	-0.0021836	0.71946	-0.0014544	0.54647	-0.00058429	NAN	NAN	1.0627	-0.00010507	0.90568	-7.7539E-05	0.98507	-7.6718E-05	0.79186	-8.4097E-05	0.87823	-2.1973E-06	0.87467	-3.1763E-05	0.45673	-0.00020151	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0529	-0.00036227	0.90547	-0.0014228	0.70014	-0.0010158	0.56968	-0.00084156	0.65749	-6.5193E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0365	-0.00028531	0.94449	-0.0012013	0.79524	-0.0010233	0.68022	-0.0021202	0.53148	-0.00066323	1.0444	-0.0003327	0.94882	-0.0012123	0.79505	-0.0010324	0.67551	-0.0024424	0.5232	-0.00070433	NAN	NAN	1.0403	-0.00028543	0.88494	-0.0012565	0.70289	-0.00093921	0.55699	-0.00071838	0.65988	-5.1382E-06	0.89238	-0.0015504	0.71212	-0.0010384	0.56904	-0.00056702	0.46933	-0.00024945	NAN	NAN	0.77065	-0.0076058	1.0508	-0.00025722	0.90717	-0.0013981	0.70988	-0.00074099	0.57151	-0.00057841	NAN	NAN	1.069	-0.003168	1.0175	-8.9913E-05	0.85968	-0.002183	0.7193	-0.0014535	0.54641	-0.00058423	NAN	NAN	1.0626	-0.00010508	0.90567	-7.7385E-05	0.98503	-7.6587E-05	0.79185	-8.4088E-05	0.87825	-2.2092E-06	0.87466	-3.19E-05	0.45664	-0.00020125	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0526	-0.0003826	0.90521	-0.0014213	0.70004	-0.0010158	0.5696	-0.00084154	0.65747	-6.5338E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0342	-0.00027767	0.94374	-0.0012004	0.79496	-0.001025	0.67979	-0.0021321	0.53128	-0.0006653	1.042	-0.00033169	0.94801	-0.0012117	0.79478	-0.001034	0.675	-0.0024592	0.52294	-0.00070603	NAN	NAN	1.0381	-0.0002795	0.88442	-0.0012531	0.70272	-0.00093941	0.55683	-0.00071829	0.65988	-5.2125E-06	0.8917	-0.0015447	0.71193	-0.0010381	0.56891	-0.000567	0.46905	-0.00024999	NAN	NAN	0.76794	-0.0075422	1.0492	-0.00025986	0.90644	-0.0013904	0.70978	-0.0007403	0.57138	-0.00057856	NAN	NAN	1.0709	-0.0040511	1.0166	-8.7788E-05	0.85888	-0.0021802	0.71898	-0.0014518	0.54628	-0.00058405	NAN	NAN	1.0623	-0.00010517	0.90565	-7.6913E-05	0.98492	-7.6182E-05	0.79182	-8.4058E-05	0.8783	-2.2447E-06	0.87462	-3.2337E-05	0.4564	-0.00020055	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0517	-0.00044895	0.90455	-0.0014177	0.69985	-0.0010162	0.5694	-0.00084152	0.65743	-6.5816E-06
B8	11510	4.07	0.26035	-0.00031784	0.15147	-7.985E-05	0.09208	-2.1799E-05	1.0336	-0.00027622	0.94345	-0.0012012	0.79483	-0.0010262	0.67955	-0.0021377	0.53151	-0.00066632	1.0414	-0.00033245	0.94771	-0.0012127	0.79464	-0.0010352	0.67472	-0.0024668	0.52316	-0.00070985	0.76484	-0.010617	1.0375	-0.00027877	0.88415	-0.0012517	0.7026	-0.00093917	0.55712	-0.00071141	0.65985	-5.2184E-06	0.89137	-0.0015427	0.7118	-0.0010377	0.56886	-0.00056659	0.46862	-0.00025008	0.40139	-0.00020511	0.76655	-0.007508	1.0488	-0.000262	0.90612	-0.001388	0.70969	-0.00073991	0.57134	-0.0005777	0.44997	-0.00065401	1.0718	-0.0043911	1.0163	-8.6544E-05	0.85847	-0.0021787	0.71879	-0.0014509	0.54659	-0.00057871	0.43599	-0.00066093	1.0623	-0.00010456	0.90566	-7.6821E-05	0.98489	-7.6057E-05	0.79181	-8.4044E-05	0.87825	-2.4059E-06	0.87455	-3.2333E-05	0.456	-0.00019781	0.35746	-0.00015749	0.25239	-0.00015393	0.15367	-0.00010159	0.088984	-2.7322E-05	0.45877	0.00086746	0.36357	-0.00015593	0.25186	-0.00017528	0.15229	-9.5888E-05	0.09393	-7.8505E-05	1.0515	-0.00047626	0.90425	-0.0014167	0.69972	-0.001016	0.56955	-0.00083544	0.6574	-6.525E-06
