#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.21034	-0.00020453	0.12296	-5.2778E-05	0.074415	-1.4333E-05	1.0671	-0.00071309	0.9321	-0.0020979	0.73935	-0.0014488	0.60738	-0.0024274	0.44761	-0.00062372	1.0796	-0.00080916	0.93834	-0.0021308	0.73916	-0.0014611	0.60275	-0.0027355	0.43972	-0.00066103	0.74765	-0.013765	1.0724	-0.0007187	0.85263	-0.0020143	0.63035	-0.0011978	0.47316	-0.00071835	0.57957	-5.8428E-06	0.86391	-0.0025193	0.64117	-0.0013429	0.48495	-0.00058104	0.38764	-0.0002107	0.32636	-0.00014872	0.73374	-0.010156	1.0858	-0.00064285	0.8831	-0.0023455	0.63766	-0.00096372	0.48749	-0.00059242	0.37219	-0.00050387	1.106	-0.0031003	1.0307	-0.00020546	0.82373	-0.0033329	0.65082	-0.0018975	0.46219	-0.00057583	0.35941	-0.00050539	1.0987	-0.00029043	0.8737	-0.00013118	0.98011	-0.00015147	0.7323	-0.00012196	0.83822	-3.2737E-06	0.8342	-4.792E-05	0.37585	-0.00016999	0.2888	-0.00010931	0.20371	-9.7426E-05	0.12481	-6.6954E-05	0.071918	-1.7958E-05	0.37951	0.00022881	0.29387	-0.00010686	0.20334	-0.00011146	0.12369	-6.359E-05	0.07617	-6.5707E-05	1.0854	-0.00062391	0.87991	-0.0023378	0.62736	-0.0012876	0.48628	-0.00085865	0.57708	-7.6182E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0653	-0.00071469	0.92981	-0.0021079	0.73871	-0.0014577	0.60579	-0.0024382	0.44741	-0.00062372	1.0779	-0.00081419	0.93598	-0.0021441	0.73851	-0.0014701	0.60102	-0.0027489	0.4395	-0.00066072	NAN	NAN	1.0708	-0.00071927	0.85061	-0.0019969	0.62941	-0.0011934	0.47286	-0.00071637	0.57956	-5.9638E-06	0.86126	-0.0024903	0.64023	-0.0013403	0.48464	-0.00058062	0.38742	-0.00021134	NAN	NAN	0.72481	-0.0099046	1.0848	-0.00064298	0.88045	-0.0023151	0.63691	-0.00095896	0.48718	-0.00059219	NAN	NAN	1.1089	-0.0039853	1.0297	-0.00020613	0.82105	-0.0033068	0.64957	-0.0018922	0.46198	-0.00057406	NAN	NAN	1.0984	-0.00028739	0.87359	-0.00013111	0.97983	-0.00015092	0.73224	-0.0001215	0.8383	-3.3369E-06	0.83415	-4.8566E-05	0.37565	-0.00016967	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.085	-0.00067815	0.87748	-0.0023223	0.62635	-0.0012824	0.48588	-0.0008565	0.57703	-7.7024E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0649	-0.00071285	0.92965	-0.0021074	0.73857	-0.0014559	0.60599	-0.0024432	0.44733	-0.00062385	1.0775	-0.00081425	0.9358	-0.0021437	0.73837	-0.0014682	0.60121	-0.0027549	0.43942	-0.00066038	NAN	NAN	1.0704	-0.00071773	0.85049	-0.0019959	0.62958	-0.0011949	0.47278	-0.00071723	0.57957	-5.985E-06	0.86111	-0.0024886	0.64036	-0.0013403	0.48462	-0.00058064	0.38744	-0.00021141	NAN	NAN	0.72446	-0.0098864	1.0844	-0.00064317	0.88029	-0.0023127	0.63706	-0.00095973	0.48715	-0.00059236	NAN	NAN	1.1091	-0.0040946	1.0296	-0.00020633	0.82079	-0.0033074	0.64966	-0.0018908	0.4619	-0.00057467	NAN	NAN	1.0982	-0.00028831	0.87359	-0.00013088	0.97979	-0.00015079	0.73223	-0.00012169	0.83832	-3.3502E-06	0.83415	-4.8703E-05	0.37567	-0.0001699	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0848	-0.00068497	0.87733	-0.002321	0.62652	-0.0012843	0.48581	-0.00085737	0.57702	-7.7222E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0635	-0.0007091	0.92885	-0.0021058	0.73817	-0.0014571	0.60563	-0.002454	0.44717	-0.00062442	1.0761	-0.00081578	0.93496	-0.0021429	0.73796	-0.0014695	0.60079	-0.0027684	0.43923	-0.00066039	NAN	NAN	1.069	-0.00071464	0.84993	-0.0019909	0.62943	-0.0011954	0.47259	-0.00071727	0.57957	-6.0275E-06	0.86035	-0.0024792	0.64016	-0.0013394	0.48448	-0.00058054	0.38735	-0.0002117	NAN	NAN	0.72137	-0.0097986	1.0835	-0.00064457	0.87951	-0.0023009	0.63697	-0.00095932	0.48701	-0.00059246	NAN	NAN	1.1106	-0.004623	1.029	-0.00020575	0.81985	-0.0033051	0.64929	-0.0018869	0.46175	-0.00057455	NAN	NAN	1.098	-0.00028894	0.87358	-0.0001301	0.97967	-0.00015036	0.7322	-0.00012179	0.83835	-3.378E-06	0.83413	-4.8965E-05	0.37558	-0.00016983	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0842	-0.00072029	0.87663	-0.0023147	0.62635	-0.0012849	0.48559	-0.00085741	0.577	-7.7571E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0623	-0.00070762	0.92828	-0.0021009	0.73794	-0.0014585	0.60532	-0.0024602	0.44706	-0.00062487	1.0749	-0.00081892	0.93433	-0.0021381	0.73774	-0.0014708	0.60044	-0.0027764	0.43911	-0.00066053	NAN	NAN	1.0679	-0.00071373	0.84964	-0.0019892	0.62928	-0.0011951	0.47248	-0.00071715	0.57957	-6.0658E-06	0.85992	-0.0024742	0.63999	-0.0013387	0.48439	-0.00058051	0.38726	-0.00021198	NAN	NAN	0.71945	-0.0097483	1.0827	-0.00064707	0.87902	-0.0022928	0.63686	-0.00095853	0.48691	-0.00059255	NAN	NAN	1.1121	-0.0051047	1.0285	-0.00020504	0.81936	-0.0033049	0.64902	-0.0018849	0.46165	-0.00057438	NAN	NAN	1.0978	-0.00028888	0.87358	-0.00012947	0.97955	-0.00014975	0.73218	-0.0001218	0.83838	-3.4047E-06	0.83411	-4.9248E-05	0.37549	-0.00016972	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0839	-0.00075404	0.87624	-0.0023115	0.62618	-0.0012847	0.48545	-0.00085732	0.57699	-7.7853E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0601	-0.00070212	0.92735	-0.0020957	0.73754	-0.0014621	0.6047	-0.0024718	0.44683	-0.00062594	1.0728	-0.00082214	0.93332	-0.002133	0.73733	-0.0014744	0.59974	-0.0027916	0.43885	-0.0006609	NAN	NAN	1.0658	-0.00070974	0.84908	-0.0019848	0.62897	-0.0011944	0.47225	-0.00071713	0.57956	-6.1099E-06	0.85914	-0.0024649	0.63963	-0.0013373	0.48421	-0.00058043	0.3871	-0.00021231	NAN	NAN	0.71581	-0.0096525	1.0813	-0.00065111	0.87818	-0.0022797	0.63663	-0.00095724	0.48674	-0.0005927	NAN	NAN	1.115	-0.0060645	1.0275	-0.00020284	0.81843	-0.0033035	0.64847	-0.0018806	0.46147	-0.00057433	NAN	NAN	1.0976	-0.00028849	0.87356	-0.00012864	0.97938	-0.00014893	0.73215	-0.00012185	0.83842	-3.4434E-06	0.83408	-4.9699E-05	0.37535	-0.00016946	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0832	-0.00082376	0.87552	-0.0023056	0.62585	-0.001284	0.48518	-0.00085723	0.57696	-7.8109E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0569	-0.00068824	0.926	-0.0020911	0.73699	-0.0014665	0.60392	-0.0024869	0.44655	-0.00062759	1.0695	-0.00082099	0.93188	-0.0021292	0.73678	-0.0014788	0.59884	-0.0028116	0.43852	-0.00066171	NAN	NAN	1.0627	-0.00069862	0.84816	-0.0019756	0.62859	-0.0011937	0.47197	-0.00071709	0.57956	-6.1877E-06	0.85791	-0.0024491	0.63919	-0.0013356	0.484	-0.00058031	0.38687	-0.00021271	NAN	NAN	0.71076	-0.0095055	1.0791	-0.00065497	0.87688	-0.0022597	0.63635	-0.00095574	0.48652	-0.00059284	NAN	NAN	1.1197	-0.0076826	1.0262	-0.00019894	0.81698	-0.0032964	0.64778	-0.0018749	0.46125	-0.00057427	NAN	NAN	1.0971	-0.00028787	0.87352	-0.00012777	0.97919	-0.00014809	0.73209	-0.00012185	0.83848	-3.5017E-06	0.83402	-5.0366E-05	0.37515	-0.000169	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0822	-0.00094839	0.87435	-0.0022944	0.62542	-0.0012834	0.48485	-0.00085703	0.57692	-7.857E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0556	-0.00068076	0.92561	-0.0020898	0.73684	-0.0014676	0.6037	-0.0024915	0.44647	-0.00062825	1.0682	-0.00081849	0.93145	-0.0021279	0.73662	-0.0014799	0.59859	-0.002818	0.43842	-0.00066218	NAN	NAN	1.0615	-0.00069243	0.84788	-0.0019728	0.62848	-0.0011936	0.4719	-0.00071701	0.57956	-6.2161E-06	0.85755	-0.0024444	0.63907	-0.0013352	0.48394	-0.00058028	0.38678	-0.00021286	NAN	NAN	0.70932	-0.0094622	1.0782	-0.00065593	0.8765	-0.0022537	0.63628	-0.0009553	0.48646	-0.00059287	NAN	NAN	1.1215	-0.0083143	1.0258	-0.00019712	0.81655	-0.0032938	0.64759	-0.0018733	0.46119	-0.00057418	NAN	NAN	1.097	-0.0002878	0.87351	-0.00012751	0.97914	-0.00014782	0.73207	-0.00012184	0.83851	-3.5208E-06	0.834	-5.0582E-05	0.37507	-0.00016877	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0818	-0.00099939	0.87401	-0.002291	0.62531	-0.0012833	0.48476	-0.00085693	0.57691	-7.8743E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.052	-0.00065592	0.92459	-0.002085	0.73651	-0.0014694	0.60323	-0.0025032	0.44627	-0.00063002	1.0644	-0.00080735	0.93035	-0.0021232	0.73629	-0.0014817	0.59805	-0.0028341	0.43818	-0.00066357	NAN	NAN	1.0579	-0.0006715	0.84721	-0.0019659	0.62829	-0.0011936	0.47174	-0.00071683	0.57955	-6.3059E-06	0.85666	-0.002433	0.63885	-0.0013345	0.48381	-0.0005802	0.38653	-0.0002133	NAN	NAN	0.70613	-0.0093634	1.0755	-0.00065772	0.87555	-0.0022388	0.63616	-0.00095429	0.48633	-0.00059295	NAN	NAN	1.1265	-0.010234	1.0245	-0.00019168	0.81555	-0.0032859	0.64722	-0.0018705	0.46106	-0.00057395	NAN	NAN	1.0965	-0.00028773	0.87348	-0.00012673	0.97898	-0.00014699	0.73204	-0.00012179	0.83858	-3.5777E-06	0.83395	-5.127E-05	0.37484	-0.00016818	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0807	-0.0011645	0.87316	-0.0022826	0.62509	-0.0012834	0.48456	-0.00085675	0.57687	-7.9317E-06
B8	11510	4.07	0.20994	-0.00020319	0.12264	-5.2621E-05	0.074374	-1.4362E-05	1.051	-0.00065074	0.92421	-0.0020853	0.73635	-0.0014708	0.60296	-0.0025086	0.4465	-0.00063084	1.0634	-0.00080692	0.92994	-0.0021237	0.73613	-0.0014832	0.59773	-0.0028412	0.43839	-0.00066697	0.70239	-0.012401	1.057	-0.00066801	0.84686	-0.0019628	0.62815	-0.0011931	0.47202	-0.0007103	0.57952	-6.3129E-06	0.85624	-0.0024285	0.63871	-0.0013338	0.48375	-0.00057976	0.38613	-0.00021341	0.32581	-0.00015001	0.7045	-0.0093111	1.0749	-0.00066193	0.87513	-0.0022338	0.63606	-0.00095367	0.48629	-0.00059209	0.36931	-0.00051867	1.1286	-0.010946	1.0241	-0.0001887	0.81503	-0.0032819	0.647	-0.0018688	0.46136	-0.00056894	0.35669	-0.00051239	1.0966	-0.00028614	0.87349	-0.00012658	0.97893	-0.00014673	0.73203	-0.00012177	0.83851	-3.8343E-06	0.83387	-5.1256E-05	0.37447	-0.00016584	0.28849	-0.00010916	0.20358	-9.7545E-05	0.12442	-6.6894E-05	0.071864	-1.7974E-05	0.37821	0.00039806	0.29358	-0.00010782	0.20315	-0.0001113	0.1233	-6.3257E-05	0.075901	-5.609E-05	1.0805	-0.0012328	0.87276	-0.0022798	0.62494	-0.001283	0.48471	-0.00085088	0.57683	-7.8632E-06
