#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.124	-6.727E-05	0.0733	-1.8972E-05	0.044076	-5.1565E-06	1.1506	-0.0033652	0.88331	-0.0051803	0.60725	-0.0021563	0.45371	-0.0026339	0.29347	-0.00047845	1.1787	-0.0038219	0.89415	-0.005397	0.60702	-0.002173	0.44884	-0.0028955	0.28661	-0.000502	0.62204	-0.016325	1.1624	-0.0033531	0.75905	-0.0038054	0.47816	-0.0014615	0.31677	-0.00060134	0.42141	-6.556E-06	0.77614	-0.0048337	0.49048	-0.0016703	0.32756	-0.00050534	0.24217	-0.00013388	0.19594	-6.9596E-05	0.60512	-0.012731	1.1934	-0.0030291	0.80467	-0.0047832	0.4861	-0.001202	0.32994	-0.0005163	0.23038	-0.00028159	1.301	-0.021014	1.0685	-0.0010432	0.71967	-0.005669	0.50202	-0.0023811	0.30653	-0.0004697	0.22061	-0.00026882	1.2255	-0.0014038	0.78623	-0.00028097	0.96198	-0.00053649	0.59699	-0.00018573	0.73523	-6.3327E-06	0.72974	-9.1556E-05	0.23278	-0.0001046	0.17071	-4.4754E-05	0.1202	-3.1424E-05	0.074397	-2.4009E-05	0.042582	-6.4376E-06	0.23603	9.4004E-07	0.17396	-4.427E-05	0.11999	-3.6295E-05	0.07373	-2.294E-05	0.045149	-2.7404E-05	1.198	-0.0035118	0.79986	-0.0047296	0.47492	-0.0015575	0.32918	-0.00074317	0.41878	-8.4997E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.1465	-0.0033573	0.87944	-0.0051529	0.60646	-0.0021663	0.452	-0.0026379	0.29329	-0.00047824	1.1748	-0.0038392	0.89008	-0.0053717	0.60622	-0.0021831	0.44699	-0.0029002	0.28641	-0.00050153	NAN	NAN	1.1586	-0.0033477	0.7561	-0.003753	0.4771	-0.0014543	0.31649	-0.00059955	0.42141	-6.6916E-06	0.7722	-0.0047462	0.48942	-0.001665	0.32727	-0.00050486	0.242	-0.00013428	NAN	NAN	0.59426	-0.01231	1.191	-0.0030376	0.80058	-0.0046863	0.48525	-0.0011949	0.32965	-0.00051597	NAN	NAN	1.3144	-0.024849	1.066	-0.0010373	0.71593	-0.0055933	0.5006	-0.0023705	0.30634	-0.00046817	NAN	NAN	1.2247	-0.0013884	0.78606	-0.00028074	0.96142	-0.00053359	0.59691	-0.00018502	0.73534	-6.4567E-06	0.72968	-9.2776E-05	0.23262	-0.00010439	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1986	-0.0039211	0.79613	-0.0046646	0.47379	-0.0015491	0.32881	-0.00074104	0.41873	-8.5936E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.1455	-0.0033427	0.87915	-0.0051481	0.60629	-0.0021631	0.45221	-0.0026438	0.29323	-0.00047834	1.1738	-0.0038327	0.88977	-0.0053667	0.60605	-0.0021798	0.4472	-0.0029071	0.28634	-0.00050128	NAN	NAN	1.1576	-0.003335	0.75593	-0.0037499	0.47729	-0.0014564	0.31642	-0.00060019	0.42141	-6.7155E-06	0.77198	-0.004741	0.48956	-0.0016652	0.32725	-0.00050487	0.24202	-0.00013431	NAN	NAN	0.59383	-0.012284	1.1903	-0.003035	0.80033	-0.0046796	0.48543	-0.0011961	0.32963	-0.00051609	NAN	NAN	1.3154	-0.025252	1.0658	-0.0010375	0.71557	-0.0055909	0.50069	-0.0023689	0.30627	-0.00046861	NAN	NAN	1.2245	-0.0013935	0.78606	-0.00028024	0.96136	-0.000533	0.5969	-0.0001853	0.73537	-6.4827E-06	0.72967	-9.3036E-05	0.23264	-0.00010454	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1982	-0.0039645	0.79591	-0.00466	0.47398	-0.0015517	0.32875	-0.0007417	0.41872	-8.6156E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.1422	-0.0033069	0.87781	-0.0051277	0.60578	-0.0021632	0.45183	-0.0026532	0.29308	-0.00047866	1.1705	-0.0038227	0.88832	-0.0053456	0.60554	-0.0021799	0.44677	-0.0029183	0.28618	-0.00050116	NAN	NAN	1.1545	-0.0033056	0.75513	-0.0037354	0.47713	-0.0014566	0.31625	-0.0006001	0.42142	-6.7632E-06	0.77084	-0.0047143	0.48934	-0.0016636	0.32712	-0.00050473	0.24195	-0.00013449	NAN	NAN	0.5901	-0.012139	1.188	-0.0030371	0.79913	-0.0046462	0.48532	-0.0011953	0.3295	-0.00051611	NAN	NAN	1.321	-0.027171	1.0646	-0.0010306	0.71427	-0.0055754	0.50027	-0.0023628	0.30613	-0.00046844	NAN	NAN	1.2239	-0.001398	0.78604	-0.00027857	0.96112	-0.00053107	0.59686	-0.00018544	0.73541	-6.5372E-06	0.72964	-9.3529E-05	0.23256	-0.00010449	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1976	-0.0042048	0.79484	-0.0046382	0.47379	-0.001552	0.32854	-0.00074154	0.4187	-8.6546E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.1394	-0.0032837	0.87682	-0.0051049	0.6055	-0.0021643	0.4515	-0.0026581	0.29299	-0.00047892	1.1678	-0.0038229	0.88722	-0.0053205	0.60526	-0.0021809	0.44639	-0.0029243	0.28607	-0.00050119	NAN	NAN	1.1518	-0.0032884	0.7547	-0.0037293	0.47696	-0.001456	0.31614	-0.00059993	0.42142	-6.8061E-06	0.77021	-0.0046999	0.48914	-0.0016623	0.32703	-0.00050466	0.24188	-0.00013466	NAN	NAN	0.58778	-0.012054	1.1863	-0.0030466	0.79839	-0.0046243	0.4852	-0.0011941	0.32941	-0.00051613	NAN	NAN	1.3258	-0.028796	1.0633	-0.0010228	0.71359	-0.0055688	0.49996	-0.0023593	0.30604	-0.00046825	NAN	NAN	1.2236	-0.0013984	0.78604	-0.00027723	0.96089	-0.00052852	0.59684	-0.00018545	0.73545	-6.5896E-06	0.72962	-9.4062E-05	0.2325	-0.00010442	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1975	-0.0044326	0.79425	-0.0046268	0.47361	-0.0015513	0.32841	-0.00074134	0.41869	-8.686E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.1342	-0.0032284	0.87524	-0.0050741	0.60501	-0.0021677	0.45084	-0.0026669	0.29279	-0.00047958	1.1628	-0.003809	0.88548	-0.0052864	0.60476	-0.0021843	0.44565	-0.0029354	0.28585	-0.00050129	NAN	NAN	1.147	-0.0032454	0.75389	-0.0037157	0.47661	-0.0014544	0.31593	-0.00059976	0.42141	-6.8556E-06	0.76905	-0.0046731	0.48874	-0.0016597	0.32686	-0.00050451	0.24175	-0.00013486	NAN	NAN	0.58342	-0.011895	1.183	-0.0030601	0.79709	-0.0045877	0.48494	-0.0011921	0.32924	-0.00051616	NAN	NAN	1.3335	-0.0317	1.0611	-0.001005	0.7123	-0.0055549	0.49933	-0.0023522	0.30588	-0.00046813	NAN	NAN	1.223	-0.001398	0.78602	-0.00027545	0.96057	-0.00052511	0.59679	-0.00018551	0.73551	-6.6653E-06	0.72958	-9.4914E-05	0.23239	-0.00010426	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1974	-0.0048904	0.79316	-0.0046055	0.47323	-0.0015497	0.32816	-0.00074102	0.41866	-8.7145E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.1267	-0.0031222	0.87297	-0.0050364	0.60433	-0.0021716	0.45001	-0.0026784	0.29254	-0.00048061	1.1551	-0.0037576	0.883	-0.0052459	0.60408	-0.0021882	0.4447	-0.0029501	0.28557	-0.00050167	NAN	NAN	1.1397	-0.0031578	0.75255	-0.0036902	0.47618	-0.0014528	0.31568	-0.00059955	0.4214	-6.9428E-06	0.76723	-0.0046294	0.48824	-0.0016566	0.32666	-0.0005043	0.24157	-0.00013511	NAN	NAN	0.57736	-0.011659	1.1778	-0.0030661	0.7951	-0.0045322	0.48462	-0.0011897	0.32904	-0.00051615	NAN	NAN	1.3424	-0.035817	1.0582	-0.00097684	0.7103	-0.0055257	0.49854	-0.0023428	0.30568	-0.00046798	NAN	NAN	1.222	-0.0013973	0.78596	-0.00027356	0.9602	-0.00052157	0.59672	-0.00018549	0.7356	-6.7795E-06	0.7295	-9.6168E-05	0.23223	-0.00010397	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1976	-0.0056717	0.79138	-0.0045685	0.47276	-0.001548	0.32785	-0.00074055	0.41862	-8.7657E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.1237	-0.0030719	0.8723	-0.0050253	0.60414	-0.0021726	0.44977	-0.002682	0.29247	-0.00048104	1.152	-0.0037266	0.88227	-0.0052338	0.60388	-0.0021892	0.44444	-0.0029548	0.28548	-0.00050194	NAN	NAN	1.1368	-0.0031149	0.75215	-0.0036824	0.47607	-0.0014524	0.31562	-0.00059944	0.4214	-6.9747E-06	0.7667	-0.0046165	0.48811	-0.0016557	0.32661	-0.00050424	0.2415	-0.0001352	NAN	NAN	0.57565	-0.011591	1.1757	-0.0030638	0.79451	-0.0045158	0.48454	-0.0011891	0.32898	-0.00051614	NAN	NAN	1.3446	-0.037209	1.0571	-0.00096498	0.70971	-0.0055163	0.49833	-0.0023402	0.30562	-0.00046789	NAN	NAN	1.2216	-0.0013977	0.78593	-0.00027301	0.9601	-0.00052045	0.5967	-0.00018546	0.73563	-6.8168E-06	0.72947	-9.6575E-05	0.23217	-0.00010383	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1975	-0.0059746	0.79086	-0.0045573	0.47263	-0.0015476	0.32776	-0.00074038	0.4186	-8.785E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.1153	-0.0029154	0.87058	-0.0049943	0.60373	-0.0021738	0.44928	-0.0026913	0.2923	-0.00048218	1.1431	-0.0036182	0.88039	-0.0051996	0.60347	-0.0021903	0.44386	-0.0029672	0.28527	-0.00050277	NAN	NAN	1.1286	-0.0029788	0.75118	-0.0036636	0.47585	-0.0014519	0.31546	-0.00059919	0.4214	-7.0755E-06	0.76539	-0.0045851	0.48786	-0.0016543	0.32648	-0.00050412	0.2413	-0.00013547	NAN	NAN	0.57185	-0.011437	1.1695	-0.003049	0.79306	-0.004475	0.48441	-0.0011876	0.32886	-0.00051614	NAN	NAN	1.3485	-0.040898	1.0542	-0.00093054	0.70831	-0.0054918	0.4979	-0.0023354	0.30551	-0.00046764	NAN	NAN	1.2206	-0.0013997	0.78589	-0.00027132	0.9598	-0.00051704	0.59666	-0.00018538	0.73572	-6.9286E-06	0.7294	-9.787E-05	0.23199	-0.00010346	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1975	-0.0069097	0.78957	-0.0045301	0.47239	-0.0015473	0.32758	-0.00074004	0.41856	-8.8489E-06
B8	11510	4.07	0.12378	-6.6833E-05	0.073105	-1.893E-05	0.044051	-5.1672E-06	1.113	-0.0028773	0.86994	-0.0049872	0.60353	-0.0021751	0.44899	-0.0026953	0.2925	-0.00048253	1.1408	-0.003598	0.8797	-0.0051918	0.60327	-0.0021917	0.44353	-0.0029723	0.28546	-0.00050501	0.56797	-0.014013	1.1264	-0.002949	0.75068	-0.0036547	0.4757	-0.001451	0.31572	-0.00059415	0.42136	-7.0833E-06	0.76477	-0.0045719	0.48769	-0.0016532	0.32644	-0.00050374	0.24098	-0.0001356	0.19556	-7.0076E-05	0.5699	-0.011357	1.168	-0.0030621	0.79242	-0.00446	0.48429	-0.0011866	0.32882	-0.00051543	0.22818	-0.00028857	1.35	-0.042153	1.0532	-0.00091407	0.7076	-0.0054792	0.49765	-0.0023326	0.30577	-0.00046383	0.21858	-0.00027157	1.2209	-0.0013933	0.7859	-0.00027101	0.95971	-0.00051597	0.59664	-0.00018534	0.73563	-7.4239E-06	0.7293	-9.7819E-05	0.2317	-0.00010197	0.17051	-4.4718E-05	0.12013	-3.1465E-05	0.074163	-2.401E-05	0.04255	-6.444E-06	0.23518	4.5927E-05	0.17377	-4.4546E-05	0.11989	-3.6168E-05	0.073499	-2.2813E-05	0.044984	-2.321E-05	1.1982	-0.007285	0.78898	-0.0045195	0.47222	-0.0015464	0.32771	-0.0007354	0.41852	-8.7723E-06
