#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.26897	-0.00034082	0.15652	-8.5041E-05	0.094978	-2.3091E-05	1.0398	-0.00023215	0.95209	-0.0010728	0.80658	-0.00094389	0.69574	-0.0019948	0.5463	-0.0006629	1.0467	-0.00025218	0.95644	-0.0010766	0.80642	-0.00095229	0.69152	-0.0022941	0.53814	-0.00070868	0.81198	-0.011003	1.0428	-0.0002289	0.89439	-0.0011716	0.7164	-0.00090158	0.57189	-0.00071875	0.67275	-4.6737E-06	0.90262	-0.001454	0.72558	-0.00099652	0.58368	-0.00056486	0.48352	-0.00025285	0.41417	-0.00021277	0.80023	-0.0076856	1.0503	-0.00019331	0.91684	-0.001317	0.72282	-0.00071362	0.58615	-0.0005748	0.46618	-0.00065621	1.058	-0.00088032	1.0192	-7.7847E-05	0.87199	-0.0020279	0.73348	-0.0014023	0.56109	-0.00058673	0.45183	-0.00067595	1.0575	-8.1032E-05	0.91096	-7.256E-05	0.98664	-6.8724E-05	0.80157	-7.8753E-05	0.88438	-1.8875E-06	0.88131	-2.7769E-05	0.47061	-0.00020812	0.36892	-0.00016637	0.26041	-0.00016398	0.15886	-0.00010799	0.091805	-2.8981E-05	0.47355	0.0006137	0.37518	-0.00016277	0.25992	-0.00018705	0.15744	-0.0001023	0.097159	-9.5816E-05	1.05	-0.00018753	0.91449	-0.001314	0.71376	-0.00097574	0.58469	-0.00083902	0.67052	-6.1204E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0388	-0.00023434	0.95048	-0.0010829	0.80607	-0.00095058	0.69433	-0.0020089	0.54609	-0.00066311	1.0457	-0.00025549	0.95478	-0.0010887	0.8059	-0.00095911	0.68999	-0.0023121	0.53791	-0.0007086	NAN	NAN	1.0419	-0.00023057	0.89288	-0.001165	0.71559	-0.00089927	0.5716	-0.00071694	0.67275	-4.7704E-06	0.90067	-0.0014429	0.72478	-0.00099576	0.58337	-0.0005646	0.48328	-0.00025364	NAN	NAN	0.79298	-0.0075515	1.0497	-0.00019413	0.91492	-0.0013052	0.72218	-0.00071075	0.58585	-0.00057473	NAN	NAN	1.0586	-0.0011522	1.0185	-7.8425E-05	0.86997	-0.0020191	0.73243	-0.0014005	0.56088	-0.00058503	NAN	NAN	1.0573	-8.027E-05	0.91088	-7.2532E-05	0.98644	-6.8539E-05	0.80153	-7.8463E-05	0.88444	-1.9236E-06	0.88127	-2.8146E-05	0.47039	-0.00020774	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0498	-0.00020514	0.91271	-0.0013105	0.71289	-0.00097299	0.5843	-0.00083722	0.67047	-6.1883E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0386	-0.00023412	0.95036	-0.001083	0.80596	-0.00094954	0.6945	-0.0020126	0.54601	-0.00066327	1.0455	-0.00025594	0.95465	-0.0010889	0.80579	-0.00095803	0.69015	-0.0023167	0.53783	-0.00070824	NAN	NAN	1.0417	-0.00023044	0.8928	-0.0011646	0.71573	-0.00090028	0.57152	-0.00071787	0.67275	-4.7874E-06	0.90056	-0.0014421	0.72489	-0.00099561	0.58335	-0.00056464	0.48331	-0.00025373	NAN	NAN	0.7927	-0.0075392	1.0495	-0.00019443	0.9148	-0.0013041	0.72231	-0.00071119	0.58583	-0.00057492	NAN	NAN	1.0586	-0.0011872	1.0185	-7.8539E-05	0.86977	-0.0020202	0.7325	-0.0013993	0.5608	-0.00058571	NAN	NAN	1.0573	-8.0558E-05	0.91088	-7.24E-05	0.98642	-6.8484E-05	0.80152	-7.8586E-05	0.88446	-1.9312E-06	0.88127	-2.8226E-05	0.47041	-0.00020802	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0496	-0.00020751	0.91261	-0.00131	0.71304	-0.00097425	0.58423	-0.00083817	0.67047	-6.2042E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0378	-0.00023416	0.9498	-0.0010838	0.80563	-0.00095091	0.69418	-0.0020231	0.54584	-0.00066401	1.0447	-0.00025782	0.95406	-0.0010903	0.80546	-0.00095939	0.68978	-0.0023303	0.53763	-0.00070839	NAN	NAN	1.0409	-0.00023064	0.89238	-0.0011626	0.7156	-0.00090084	0.57133	-0.00071805	0.67275	-4.8214E-06	0.9	-0.0014383	0.72472	-0.00099524	0.58322	-0.00056461	0.4832	-0.00025409	NAN	NAN	0.79018	-0.0074915	1.049	-0.00019559	0.91423	-0.0012989	0.72223	-0.00071098	0.58569	-0.0005751	NAN	NAN	1.0589	-0.0013565	1.0181	-7.8488E-05	0.86906	-0.0020214	0.73219	-0.001397	0.56065	-0.00058569	NAN	NAN	1.0571	-8.0809E-05	0.91087	-7.1969E-05	0.98634	-6.8317E-05	0.80149	-7.8652E-05	0.88448	-1.9471E-06	0.88125	-2.8379E-05	0.47031	-0.00020794	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0493	-0.00021932	0.91209	-0.0013079	0.71289	-0.00097497	0.58402	-0.00083841	0.67045	-6.2324E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0371	-0.00023476	0.9494	-0.0010824	0.80545	-0.00095212	0.6939	-0.0020295	0.54573	-0.00066459	1.0441	-0.00026	0.95363	-0.0010891	0.80528	-0.00096061	0.68946	-0.0023388	0.53751	-0.00070865	NAN	NAN	1.0403	-0.00023134	0.89216	-0.0011621	0.71547	-0.00090082	0.57121	-0.00071802	0.67275	-4.852E-06	0.89968	-0.0014362	0.72457	-0.00099495	0.58313	-0.00056463	0.48311	-0.00025443	NAN	NAN	0.78861	-0.0074653	1.0486	-0.00019693	0.91388	-0.0012952	0.72214	-0.00071049	0.58559	-0.00057524	NAN	NAN	1.0592	-0.0015138	1.0178	-7.8391E-05	0.86868	-0.0020228	0.73196	-0.0013959	0.56055	-0.00058556	NAN	NAN	1.057	-8.0832E-05	0.91087	-7.1617E-05	0.98626	-6.8063E-05	0.80148	-7.8661E-05	0.8845	-1.9624E-06	0.88123	-2.8544E-05	0.47022	-0.00020781	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0491	-0.00023052	0.91181	-0.0013068	0.71275	-0.000975	0.58388	-0.00083845	0.67044	-6.2551E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0358	-0.0002349	0.94875	-0.0010815	0.80513	-0.00095502	0.69335	-0.0020416	0.5455	-0.00066591	1.0429	-0.00026323	0.95292	-0.0010885	0.80496	-0.00096352	0.68884	-0.0023551	0.53724	-0.00070925	NAN	NAN	1.0391	-0.00023188	0.89175	-0.0011604	0.71521	-0.00090064	0.57099	-0.00071816	0.67275	-4.8873E-06	0.8991	-0.0014323	0.72426	-0.00099432	0.58295	-0.00056465	0.48293	-0.00025485	NAN	NAN	0.78563	-0.0074147	1.0478	-0.00019927	0.91327	-0.0012893	0.72195	-0.00070975	0.58542	-0.00057551	NAN	NAN	1.0598	-0.0018372	1.0172	-7.7844E-05	0.86797	-0.0020245	0.7315	-0.0013937	0.56036	-0.00058561	NAN	NAN	1.0569	-8.0798E-05	0.91086	-7.1159E-05	0.98615	-6.7724E-05	0.80145	-7.8695E-05	0.88454	-1.9846E-06	0.88121	-2.8807E-05	0.47006	-0.0002075	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0486	-0.00025377	0.91128	-0.0013049	0.71245	-0.00097492	0.58361	-0.00083861	0.67042	-6.2758E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.034	-0.00023308	0.9478	-0.0010818	0.80469	-0.00095863	0.69265	-0.0020574	0.54521	-0.00066792	1.041	-0.00026618	0.95191	-0.0010896	0.80451	-0.00096716	0.68803	-0.0023765	0.5369	-0.00071039	NAN	NAN	1.0374	-0.00023091	0.89106	-0.0011565	0.71488	-0.00090057	0.57071	-0.00071832	0.67274	-4.9496E-06	0.89819	-0.0014256	0.72389	-0.00099364	0.58274	-0.00056465	0.48268	-0.00025535	NAN	NAN	0.78148	-0.0073318	1.0466	-0.00020219	0.91232	-0.0012803	0.72171	-0.0007089	0.5852	-0.00057578	NAN	NAN	1.061	-0.0024134	1.0164	-7.6748E-05	0.86687	-0.0020241	0.73091	-0.0013906	0.56014	-0.00058567	NAN	NAN	1.0567	-8.0739E-05	0.91083	-7.0681E-05	0.98602	-6.7383E-05	0.8014	-7.8699E-05	0.88458	-2.0179E-06	0.88117	-2.9198E-05	0.46984	-0.00020694	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0479	-0.00029571	0.91043	-0.0013009	0.71209	-0.00097501	0.58329	-0.00083873	0.67038	-6.313E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0333	-0.00023162	0.94752	-0.0010819	0.80456	-0.00095958	0.69246	-0.0020621	0.54512	-0.00066871	1.0403	-0.00026668	0.95161	-0.0010898	0.80439	-0.00096811	0.68781	-0.0023832	0.5368	-0.000711	NAN	NAN	1.0367	-0.0002299	0.89085	-0.0011553	0.71479	-0.00090058	0.57064	-0.0007183	0.67274	-4.9723E-06	0.89793	-0.0014236	0.72379	-0.00099346	0.58268	-0.00056464	0.48258	-0.00025553	NAN	NAN	0.7803	-0.0073067	1.0461	-0.0002032	0.91205	-0.0012776	0.72165	-0.00070864	0.58515	-0.00057584	NAN	NAN	1.0615	-0.0026497	1.0161	-7.6188E-05	0.86655	-0.0020236	0.73075	-0.0013898	0.56008	-0.00058561	NAN	NAN	1.0566	-8.0765E-05	0.91082	-7.0542E-05	0.98598	-6.7271E-05	0.80139	-7.8691E-05	0.8846	-2.0288E-06	0.88115	-2.9325E-05	0.46975	-0.00020667	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0477	-0.0003131	0.91018	-0.0012996	0.71199	-0.00097508	0.5832	-0.00083871	0.67037	-6.327E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0312	-0.00022613	0.9468	-0.0010814	0.8043	-0.00096121	0.69204	-0.002074	0.54492	-0.00067083	1.0382	-0.0002668	0.95084	-0.0010896	0.80412	-0.00096975	0.68731	-0.0024001	0.53655	-0.00071274	NAN	NAN	1.0347	-0.00022583	0.89035	-0.0011524	0.71462	-0.00090081	0.57048	-0.00071823	0.67274	-5.0442E-06	0.89727	-0.0014187	0.72361	-0.00099324	0.58255	-0.00056464	0.48231	-0.00025608	NAN	NAN	0.77768	-0.0072485	1.0446	-0.00020585	0.91135	-0.0012708	0.72155	-0.000708	0.58502	-0.000576	NAN	NAN	1.063	-0.0034073	1.0153	-7.4476E-05	0.86578	-0.0020214	0.73044	-0.0013883	0.55995	-0.00058544	NAN	NAN	1.0563	-8.0874E-05	0.9108	-7.0112E-05	0.98588	-6.6924E-05	0.80136	-7.8663E-05	0.88465	-2.0614E-06	0.88112	-2.9727E-05	0.4695	-0.00020595	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0468	-0.00036995	0.90956	-0.0012965	0.7118	-0.0009755	0.583	-0.00083872	0.67033	-6.3733E-06
B8	11510	4.07	0.26846	-0.00033856	0.15611	-8.4749E-05	0.094926	-2.3137E-05	1.0306	-0.00022513	0.94653	-0.0010823	0.80417	-0.00096238	0.6918	-0.0020797	0.54515	-0.00067189	1.0376	-0.00026764	0.95056	-0.0010907	0.80399	-0.00097093	0.68703	-0.0024077	0.53676	-0.00071663	0.77464	-0.010321	1.0341	-0.00022542	0.89009	-0.0011512	0.7145	-0.00090061	0.57077	-0.00071129	0.67271	-5.0499E-06	0.89696	-0.0014169	0.72348	-0.00099295	0.5825	-0.00056422	0.48187	-0.00025617	0.41353	-0.00021481	0.77633	-0.0072171	1.0443	-0.00020769	0.91105	-0.0012687	0.72146	-0.00070763	0.58498	-0.00057514	0.46293	-0.00067735	1.0638	-0.0037001	1.0151	-7.3455E-05	0.86539	-0.0020203	0.73026	-0.0013874	0.56026	-0.00058005	0.44873	-0.00068665	1.0564	-8.0397E-05	0.91081	-7.0027E-05	0.98585	-6.6816E-05	0.80135	-7.865E-05	0.8846	-2.2095E-06	0.88106	-2.9724E-05	0.46909	-0.00020315	0.36854	-0.00016607	0.26024	-0.00016417	0.15837	-0.00010783	0.091736	-2.9005E-05	0.47159	0.0009718	0.37482	-0.00016457	0.25969	-0.0001869	0.15695	-0.00010175	0.096826	-8.2259E-05	1.0467	-0.00039324	0.90927	-0.0012958	0.71167	-0.00097533	0.58316	-0.00083261	0.6703	-6.3186E-06
