#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.21912	-0.0002228	0.12799	-5.713E-05	0.077497	-1.5514E-05	1.0639	-0.00064608	0.93496	-0.0019238	0.74944	-0.0013634	0.62072	-0.0023608	0.46246	-0.00063005	1.0758	-0.00073088	0.94093	-0.0019519	0.74925	-0.001375	0.61615	-0.0026681	0.45452	-0.00066861	0.75755	-0.013357	1.069	-0.00065052	0.85877	-0.001871	0.64334	-0.0011507	0.48803	-0.00071902	0.59364	-5.6608E-06	0.86961	-0.0023399	0.65391	-0.0012875	0.49982	-0.00057909	0.40204	-0.00021694	0.33952	-0.00015761	0.74386	-0.0097783	1.0817	-0.00057966	0.88804	-0.0021733	0.65052	-0.0009237	0.50235	-0.00059027	0.3863	-0.00052554	1.0996	-0.0026422	1.0293	-0.00018693	0.83089	-0.0031123	0.6633	-0.0018184	0.47708	-0.00057796	0.37328	-0.0005295	1.0939	-0.00026045	0.87909	-0.00012102	0.981	-0.00013835	0.74272	-0.00011461	0.845	-3.0307E-06	0.84113	-4.4389E-05	0.39008	-0.0001756	0.30081	-0.00011713	0.21221	-0.0001063	0.12991	-7.2489E-05	0.074898	-1.9444E-05	0.39369	0.00027111	0.30606	-0.00011446	0.21182	-0.00012155	0.12875	-6.8816E-05	0.079318	-7.0064E-05	1.0813	-0.00055543	0.88497	-0.0021643	0.64041	-0.0012382	0.5011	-0.0008564	0.59119	-7.3855E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0623	-0.00064784	0.93278	-0.0019339	0.74882	-0.001372	0.61916	-0.0023721	0.46225	-0.00063007	1.0742	-0.00073577	0.93867	-0.001965	0.74862	-0.0013837	0.61445	-0.0026822	0.4543	-0.00066834	NAN	NAN	1.0674	-0.00065133	0.85683	-0.0018556	0.64242	-0.0011466	0.48773	-0.00071706	0.59363	-5.778E-06	0.86707	-0.0023141	0.653	-0.0012852	0.49951	-0.0005787	0.40181	-0.00021761	NAN	NAN	0.73519	-0.0095457	1.0807	-0.00057994	0.8855	-0.0021461	0.64979	-0.00091926	0.50204	-0.00059006	NAN	NAN	1.1019	-0.0034017	1.0283	-0.00018758	0.82831	-0.0030894	0.66208	-0.0018137	0.47686	-0.00057619	NAN	NAN	1.0936	-0.00025776	0.87898	-0.00012096	0.98072	-0.00013784	0.74267	-0.00011418	0.84508	-3.0891E-06	0.84108	-4.4989E-05	0.38987	-0.00017526	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0809	-0.00060179	0.88263	-0.002151	0.63942	-0.0012333	0.5007	-0.0008543	0.59114	-7.4671E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0618	-0.00064625	0.93262	-0.0019335	0.74869	-0.0013702	0.61935	-0.0023769	0.46218	-0.00063021	1.0737	-0.00073592	0.9385	-0.0019647	0.74849	-0.0013819	0.61464	-0.002688	0.45422	-0.00066799	NAN	NAN	1.067	-0.00065001	0.85672	-0.0018546	0.64259	-0.0011481	0.48765	-0.00071793	0.59364	-5.7986E-06	0.86692	-0.0023125	0.65312	-0.0012852	0.49949	-0.00057873	0.40184	-0.00021768	NAN	NAN	0.73485	-0.0095283	1.0804	-0.00058018	0.88535	-0.002144	0.64994	-0.00091998	0.50202	-0.00059024	NAN	NAN	1.1021	-0.0034962	1.0282	-0.00018776	0.82806	-0.0030901	0.66217	-0.0018123	0.47679	-0.00057681	NAN	NAN	1.0935	-0.00025859	0.87899	-0.00012074	0.98069	-0.00013772	0.74266	-0.00011436	0.84509	-3.1014E-06	0.84108	-4.5116E-05	0.38989	-0.00017551	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0806	-0.00060767	0.88249	-0.0021498	0.63958	-0.0012352	0.50064	-0.00085519	0.59113	-7.4863E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0605	-0.00064311	0.93186	-0.0019323	0.74829	-0.0013715	0.619	-0.0023877	0.46201	-0.0006308	1.0724	-0.00073762	0.93769	-0.0019642	0.74809	-0.0013832	0.61423	-0.0027015	0.45403	-0.00066802	NAN	NAN	1.0657	-0.00064748	0.85618	-0.0018502	0.64244	-0.0011486	0.48746	-0.00071799	0.59364	-5.8397E-06	0.86619	-0.0023041	0.65293	-0.0012844	0.49935	-0.00057864	0.40174	-0.00021798	NAN	NAN	0.73184	-0.0094469	1.0795	-0.00058162	0.8846	-0.0021333	0.64984	-0.0009196	0.50187	-0.00059035	NAN	NAN	1.1033	-0.0039531	1.0277	-0.00018726	0.82716	-0.0030885	0.66181	-0.0018087	0.47663	-0.00057671	NAN	NAN	1.0933	-0.00025918	0.87897	-0.00012002	0.98057	-0.00013733	0.74262	-0.00011445	0.84513	-3.1271E-06	0.84106	-4.5359E-05	0.3898	-0.00017543	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0801	-0.00063805	0.88182	-0.0021443	0.63942	-0.0012358	0.50042	-0.00085526	0.59111	-7.5202E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0594	-0.00064198	0.93131	-0.0019279	0.74807	-0.0013729	0.61869	-0.0023939	0.4619	-0.00063128	1.0713	-0.00074072	0.93709	-0.00196	0.74787	-0.0013846	0.61388	-0.0027097	0.45391	-0.00066818	NAN	NAN	1.0647	-0.00064687	0.8559	-0.0018487	0.64229	-0.0011484	0.48734	-0.00071789	0.59364	-5.8768E-06	0.86578	-0.0022996	0.65276	-0.0012838	0.49926	-0.00057861	0.40166	-0.00021827	NAN	NAN	0.72997	-0.0094005	1.0787	-0.00058401	0.88414	-0.0021259	0.64974	-0.00091886	0.50178	-0.00059044	NAN	NAN	1.1046	-0.0043713	1.0272	-0.00018663	0.82668	-0.0030886	0.66154	-0.0018068	0.47654	-0.00057654	NAN	NAN	1.0931	-0.00025914	0.87897	-0.00011943	0.98045	-0.00013677	0.74261	-0.00011446	0.84515	-3.1519E-06	0.84104	-4.5621E-05	0.38971	-0.00017532	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0797	-0.00066708	0.88144	-0.0021415	0.63926	-0.0012356	0.50028	-0.00085519	0.5911	-7.5476E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0573	-0.00063739	0.93042	-0.0019234	0.74769	-0.0013764	0.61809	-0.0024056	0.46168	-0.00063238	1.0693	-0.00074411	0.93613	-0.0019556	0.74748	-0.0013881	0.61319	-0.0027251	0.45365	-0.00066859	NAN	NAN	1.0627	-0.00064364	0.85536	-0.0018448	0.64199	-0.0011477	0.48711	-0.00071789	0.59363	-5.9196E-06	0.86503	-0.0022912	0.65241	-0.0012825	0.49908	-0.00057855	0.4015	-0.00021861	NAN	NAN	0.72644	-0.0093119	1.0774	-0.00058791	0.88333	-0.002114	0.64951	-0.00091766	0.5016	-0.00059062	NAN	NAN	1.107	-0.0052093	1.0263	-0.00018466	0.82579	-0.0030878	0.66101	-0.0018029	0.47635	-0.00057651	NAN	NAN	1.0929	-0.00025882	0.87896	-0.00011867	0.9803	-0.00013601	0.74257	-0.00011451	0.84519	-3.1876E-06	0.84101	-4.6039E-05	0.38957	-0.00017505	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0791	-0.00072709	0.88076	-0.0021363	0.63892	-0.001235	0.50001	-0.00085513	0.59107	-7.5724E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0542	-0.00062536	0.92913	-0.0019197	0.74716	-0.0013807	0.61731	-0.0024209	0.46139	-0.00063408	1.0662	-0.00074379	0.93475	-0.0019525	0.74695	-0.0013924	0.61231	-0.0027453	0.45332	-0.00066944	NAN	NAN	1.0598	-0.00063412	0.85447	-0.0018366	0.64162	-0.0011472	0.48684	-0.00071788	0.59363	-5.995E-06	0.86385	-0.002277	0.65198	-0.001281	0.49887	-0.00057845	0.40126	-0.00021903	NAN	NAN	0.72152	-0.0091751	1.0753	-0.00059181	0.88208	-0.0020958	0.64924	-0.00091627	0.50138	-0.00059077	NAN	NAN	1.1111	-0.0066361	1.025	-0.00018115	0.8244	-0.003082	0.66033	-0.0017976	0.47613	-0.00057647	NAN	NAN	1.0925	-0.0002583	0.87892	-0.00011787	0.98012	-0.00013525	0.74252	-0.00011451	0.84525	-3.2416E-06	0.84096	-4.6658E-05	0.38936	-0.00017457	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0781	-0.0008344	0.87964	-0.0021264	0.63851	-0.0012346	0.49968	-0.00085498	0.59103	-7.6171E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.053	-0.00061877	0.92875	-0.0019185	0.747	-0.0013818	0.6171	-0.0024256	0.46131	-0.00063476	1.0649	-0.00074182	0.93434	-0.0019515	0.7468	-0.0013935	0.61206	-0.0027517	0.45322	-0.00066994	NAN	NAN	1.0586	-0.00062873	0.85421	-0.001834	0.64152	-0.001147	0.48677	-0.00071781	0.59363	-6.0225E-06	0.8635	-0.0022728	0.65187	-0.0012806	0.49881	-0.00057841	0.40117	-0.00021918	NAN	NAN	0.72012	-0.0091347	1.0744	-0.00059285	0.88172	-0.0020904	0.64917	-0.00091586	0.50132	-0.00059081	NAN	NAN	1.1126	-0.0071979	1.0246	-0.0001795	0.82398	-0.0030798	0.66015	-0.0017962	0.47607	-0.00057639	NAN	NAN	1.0923	-0.00025825	0.87891	-0.00011763	0.98006	-0.000135	0.7425	-0.00011449	0.84528	-3.2592E-06	0.84094	-4.6859E-05	0.38928	-0.00017435	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0777	-0.00087838	0.87931	-0.0021233	0.6384	-0.0012345	0.49959	-0.00085489	0.59102	-7.6339E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0495	-0.00059677	0.92778	-0.0019144	0.74669	-0.0013836	0.61664	-0.0024373	0.46111	-0.00063659	1.0613	-0.00073255	0.93329	-0.0019475	0.74648	-0.0013953	0.61152	-0.002768	0.45297	-0.00067138	NAN	NAN	1.0552	-0.00061033	0.85356	-0.0018279	0.64132	-0.0011471	0.4866	-0.00071765	0.59362	-6.1095E-06	0.86265	-0.0022625	0.65165	-0.00128	0.49868	-0.00057835	0.40092	-0.00021964	NAN	NAN	0.71701	-0.0090423	1.0719	-0.00059496	0.88081	-0.0020769	0.64906	-0.00091491	0.50119	-0.0005909	NAN	NAN	1.1171	-0.0089206	1.0234	-0.00017458	0.82301	-0.003073	0.65979	-0.0017936	0.47594	-0.00057616	NAN	NAN	1.0919	-0.00025822	0.87888	-0.00011691	0.97992	-0.00013423	0.74247	-0.00011445	0.84534	-3.3118E-06	0.84089	-4.7497E-05	0.38905	-0.00017373	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0765	-0.001021	0.87849	-0.0021159	0.63818	-0.0012347	0.49939	-0.00085474	0.59098	-7.6896E-06
B8	11510	4.07	0.21871	-0.00022134	0.12766	-5.6957E-05	0.077454	-1.5546E-05	1.0486	-0.00059222	0.92741	-0.0019148	0.74653	-0.001385	0.61637	-0.0024428	0.46134	-0.00063744	1.0604	-0.00073238	0.9329	-0.0019481	0.74632	-0.0013967	0.61121	-0.0027753	0.45319	-0.00067485	0.71341	-0.012094	1.0543	-0.00060733	0.85323	-0.0018251	0.64119	-0.0011466	0.48689	-0.00071105	0.59359	-6.1163E-06	0.86224	-0.0022586	0.65151	-0.0012794	0.49863	-0.00057792	0.40051	-0.00021974	0.33897	-0.000159	0.71542	-0.0089933	1.0713	-0.00059889	0.88041	-0.0020724	0.64896	-0.00091434	0.50116	-0.00059004	0.38336	-0.00054123	1.119	-0.009565	1.023	-0.00017187	0.82252	-0.0030695	0.65957	-0.001792	0.47624	-0.00057109	0.3705	-0.00053703	1.092	-0.00025679	0.87889	-0.00011677	0.97987	-0.000134	0.74245	-0.00011443	0.84528	-3.5494E-06	0.84081	-4.7486E-05	0.38868	-0.00017132	0.30049	-0.00011696	0.21207	-0.00010643	0.12951	-7.2417E-05	0.074842	-1.9461E-05	0.39232	0.00046121	0.30576	-0.00011553	0.21162	-0.00012139	0.12835	-6.8455E-05	0.079038	-5.9859E-05	1.0764	-0.00108	0.87811	-0.0021135	0.63804	-0.0012343	0.49954	-0.00084883	0.59094	-7.6233E-06
