#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.17934	-0.00014611	0.10523	-3.8806E-05	0.063548	-1.0541E-05	1.0788	-0.00098289	0.92206	-0.0027607	0.70429	-0.001768	0.56085	-0.0026772	0.39549	-0.00060435	1.0936	-0.0011229	0.92927	-0.002815	0.70408	-0.0017826	0.55598	-0.002989	0.38773	-0.00063738	0.7125	-0.015183	1.0851	-0.00099199	0.83115	-0.0025405	0.58507	-0.0013731	0.42102	-0.00071909	0.53045	-6.5279E-06	0.84394	-0.0031767	0.59677	-0.0015485	0.43283	-0.0005904	0.33698	-0.00019012	0.27995	-0.00011984	0.69793	-0.01148	1.101	-0.00089539	0.86573	-0.0029792	0.59286	-0.0011126	0.43539	-0.00060261	0.32254	-0.00043315	1.1322	-0.0053306	1.0359	-0.00028198	0.79871	-0.0041414	0.60734	-0.0021896	0.40996	-0.00057082	0.31059	-0.00042664	1.1163	-0.00041069	0.85483	-0.00016915	0.97696	-0.00020314	0.69612	-0.00014933	0.81459	-4.1775E-06	0.81006	-6.1047E-05	0.32578	-0.00015148	0.24646	-8.3989E-05	0.17374	-6.9141E-05	0.10681	-4.919E-05	0.061408	-1.3191E-05	0.32948	0.00011124	0.25091	-8.2357E-05	0.17343	-7.931E-05	0.10585	-4.6805E-05	0.065066	-5.091E-05	1.1009	-0.00092214	0.86219	-0.0029785	0.58189	-0.0014715	0.43432	-0.00087028	0.52782	-8.4945E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0767	-0.00098346	0.91941	-0.0027702	0.70358	-0.0017786	0.55914	-0.0026858	0.39528	-0.00060428	1.0916	-0.0011286	0.92653	-0.0028285	0.70336	-0.0017933	0.55412	-0.0029996	0.38751	-0.000637	NAN	NAN	1.0831	-0.00099146	0.82882	-0.002515	0.58404	-0.001367	0.42072	-0.00071699	0.53043	-6.6567E-06	0.84089	-0.0031349	0.59574	-0.0015444	0.43251	-0.00058988	0.33676	-0.00019065	NAN	NAN	0.68804	-0.011159	1.0997	-0.00089544	0.86268	-0.0029361	0.59204	-0.0011064	0.43508	-0.00060227	NAN	NAN	1.1374	-0.0068007	1.0347	-0.00028219	0.79565	-0.0041028	0.60597	-0.0021817	0.40974	-0.000569	NAN	NAN	1.1158	-0.00040619	0.85469	-0.00016903	0.97662	-0.00020242	0.69606	-0.00014873	0.81465	-4.3533E-06	0.80999	-6.1799E-05	0.32558	-0.00015118	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1005	-0.0010177	0.85938	-0.0029538	0.58078	-0.0014644	0.43391	-0.00086792	0.52775	-8.5536E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0762	-0.00098041	0.91922	-0.0027693	0.70343	-0.0017761	0.55934	-0.0026916	0.39521	-0.00060439	1.091	-0.0011281	0.92633	-0.0028278	0.70321	-0.0017908	0.55432	-0.0030064	0.38743	-0.00063665	NAN	NAN	1.0826	-0.00098882	0.82869	-0.0025136	0.58423	-0.001369	0.42064	-0.00071781	0.53043	-6.6814E-06	0.84072	-0.0031324	0.59588	-0.0015447	0.43249	-0.0005899	0.33679	-0.00019072	NAN	NAN	0.68766	-0.011138	1.0993	-0.00089532	0.8625	-0.0029329	0.5922	-0.0011075	0.43505	-0.00060244	NAN	NAN	1.1379	-0.0069746	1.0345	-0.00028245	0.79534	-0.0041026	0.60607	-0.0021802	0.40967	-0.00056956	NAN	NAN	1.1157	-0.00040747	0.8547	-0.00016874	0.97658	-0.00020222	0.69605	-0.00014898	0.81466	-4.3891E-06	0.80998	-6.1956E-05	0.3256	-0.0001514	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1003	-0.0010291	0.85921	-0.0029519	0.58097	-0.0014669	0.43384	-0.00086876	0.52775	-8.5702E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0745	-0.00097364	0.91832	-0.0027661	0.70298	-0.0017771	0.55897	-0.0027026	0.39504	-0.00060488	1.0894	-0.0011285	0.92538	-0.0028255	0.70276	-0.0017917	0.55389	-0.0030199	0.38725	-0.00063659	NAN	NAN	1.081	-0.00098307	0.82806	-0.0025066	0.58407	-0.0013695	0.42045	-0.00071776	0.53043	-6.7284E-06	0.83986	-0.0031195	0.59567	-0.0015436	0.43235	-0.00058976	0.3367	-0.00019097	NAN	NAN	0.68428	-0.011028	1.0981	-0.00089648	0.86161	-0.0029171	0.5921	-0.0011071	0.43491	-0.00060249	NAN	NAN	1.1405	-0.0078131	1.0339	-0.00028145	0.79429	-0.0040974	0.60567	-0.0021755	0.40951	-0.0005694	NAN	NAN	1.1154	-0.00040837	0.85469	-0.00016776	0.97644	-0.00020163	0.69601	-0.00014912	0.81468	-4.4609E-06	0.80995	-6.2249E-05	0.32552	-0.00015133	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0997	-0.0010889	0.85841	-0.0029429	0.58079	-0.0014675	0.43362	-0.0008687	0.52772	-8.5977E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.073	-0.00097019	0.91767	-0.0027592	0.70273	-0.0017785	0.55864	-0.0027086	0.39494	-0.00060528	1.088	-0.0011314	0.92466	-0.0028185	0.70251	-0.0017932	0.55351	-0.0030276	0.38713	-0.00063669	NAN	NAN	1.0796	-0.00098053	0.82772	-0.002504	0.5839	-0.0013691	0.42033	-0.0007176	0.53042	-6.7701E-06	0.83937	-0.0031128	0.59548	-0.0015427	0.43225	-0.0005897	0.33662	-0.0001912	NAN	NAN	0.68218	-0.010964	1.0972	-0.00089943	0.86107	-0.0029066	0.59199	-0.0011061	0.43481	-0.00060255	NAN	NAN	1.143	-0.0085657	1.0333	-0.00028024	0.79373	-0.0040959	0.60537	-0.0021728	0.40942	-0.00056919	NAN	NAN	1.1152	-0.0004083	0.85469	-0.00016695	0.9763	-0.00020082	0.69599	-0.00014913	0.81471	-4.527E-06	0.80993	-6.2581E-05	0.32544	-0.00015122	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0993	-0.001146	0.85797	-0.0029383	0.58061	-0.0014671	0.43348	-0.00086854	0.5277	-8.6178E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0704	-0.00096001	0.91662	-0.0027514	0.70229	-0.0017824	0.55799	-0.0027199	0.39472	-0.00060623	1.0854	-0.0011331	0.92352	-0.0028106	0.70206	-0.0017971	0.55277	-0.0030422	0.38687	-0.00063695	NAN	NAN	1.0772	-0.00097258	0.82708	-0.0024976	0.58357	-0.001368	0.4201	-0.00071749	0.53041	-6.8159E-06	0.83849	-0.0031	0.59509	-0.0015407	0.43207	-0.00058957	0.33647	-0.00019148	NAN	NAN	0.67821	-0.010843	1.0955	-0.00090392	0.86011	-0.0028892	0.59174	-0.0011045	0.43463	-0.00060265	NAN	NAN	1.1477	-0.010029	1.0322	-0.00027687	0.79267	-0.0040919	0.60478	-0.0021672	0.40924	-0.00056909	NAN	NAN	1.1149	-0.00040782	0.85468	-0.0001659	0.97611	-0.00019976	0.69595	-0.00014919	0.81474	-4.6183E-06	0.80989	-6.3117E-05	0.3253	-0.00015098	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0986	-0.0012634	0.85715	-0.0029297	0.58025	-0.0014661	0.43321	-0.00086832	0.52767	-8.6324E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0666	-0.00093715	0.91509	-0.0027438	0.70169	-0.0017871	0.55715	-0.0027345	0.39444	-0.00060772	1.0815	-0.0011271	0.92188	-0.0028038	0.70145	-0.0018017	0.55183	-0.0030613	0.38655	-0.00063761	NAN	NAN	1.0734	-0.00095357	0.82604	-0.0024848	0.58316	-0.001367	0.41983	-0.00071733	0.5304	-6.8959E-06	0.8371	-0.0030783	0.59462	-0.0015384	0.43186	-0.00058939	0.33625	-0.0001918	NAN	NAN	0.6727	-0.01066	1.0928	-0.00090724	0.85864	-0.0028625	0.59144	-0.0011027	0.43441	-0.00060272	NAN	NAN	1.155	-0.012395	1.0307	-0.00027115	0.79104	-0.0040798	0.60403	-0.0021599	0.40902	-0.00056895	NAN	NAN	1.1144	-0.00040706	0.85464	-0.00016476	0.9759	-0.00019871	0.69589	-0.00014919	0.81478	-4.7577E-06	0.8098	-6.3896E-05	0.32511	-0.00015055	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0977	-0.0014718	0.85583	-0.0029136	0.57979	-0.0014651	0.43287	-0.00086795	0.52762	-8.6596E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0651	-0.00092543	0.91464	-0.0027416	0.70151	-0.0017883	0.55692	-0.002739	0.39436	-0.00060832	1.0799	-0.0011218	0.92139	-0.0028016	0.70128	-0.0018029	0.55156	-0.0030674	0.38645	-0.00063803	NAN	NAN	1.072	-0.00094357	0.82572	-0.0024808	0.58305	-0.0013667	0.41976	-0.00071723	0.53039	-6.9253E-06	0.83668	-0.0030719	0.5945	-0.0015378	0.4318	-0.00058934	0.33617	-0.00019192	NAN	NAN	0.67114	-0.010607	1.0917	-0.00090758	0.85821	-0.0028545	0.59136	-0.0011021	0.43435	-0.00060273	NAN	NAN	1.1575	-0.013287	1.0302	-0.00026856	0.79056	-0.0040755	0.60383	-0.0021579	0.40896	-0.00056885	NAN	NAN	1.1142	-0.00040699	0.85462	-0.00016443	0.97583	-0.00019837	0.69587	-0.00014917	0.8148	-4.8068E-06	0.80978	-6.4147E-05	0.32503	-0.00015034	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0973	-0.0015561	0.85543	-0.0029087	0.57967	-0.0014648	0.43278	-0.0008678	0.52761	-8.6702E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0608	-0.00088741	0.91348	-0.0027343	0.70115	-0.0017901	0.55642	-0.0027505	0.39416	-0.00060996	1.0754	-0.001101	0.92014	-0.0027942	0.70092	-0.0018047	0.55098	-0.0030832	0.38621	-0.00063927	NAN	NAN	1.0678	-0.00091063	0.82496	-0.0024713	0.58284	-0.0013666	0.41959	-0.00071698	0.53038	-7.0198E-06	0.83568	-0.0030562	0.59426	-0.0015369	0.43167	-0.00058922	0.33593	-0.00019228	NAN	NAN	0.66767	-0.010486	1.0885	-0.00090689	0.85713	-0.0028347	0.59123	-0.001101	0.43422	-0.00060277	NAN	NAN	1.1644	-0.015902	1.0287	-0.00026093	0.78942	-0.0040636	0.60343	-0.0021542	0.40883	-0.00056857	NAN	NAN	1.1136	-0.00040704	0.85459	-0.00016341	0.97566	-0.00019729	0.69583	-0.00014911	0.81485	-4.9581E-06	0.8097	-6.4946E-05	0.32482	-0.00014979	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0962	-0.0018266	0.85447	-0.0028968	0.57943	-0.0014648	0.43258	-0.00086752	0.52756	-8.7064E-06
B8	11510	4.07	0.17901	-0.00014515	0.10495	-3.8701E-05	0.063513	-1.0562E-05	1.0598	-0.00088497	0.91296	-0.0027316	0.70097	-0.0017913	0.55615	-0.0027552	0.39439	-0.00061053	1.0744	-0.0011044	0.91958	-0.0027915	0.70073	-0.001806	0.55067	-0.0030892	0.38643	-0.00064231	0.66343	-0.013472	1.0668	-0.00091021	0.82458	-0.0024672	0.58271	-0.0013658	0.41988	-0.0007107	0.53039	-7.0529E-06	0.83519	-0.0030492	0.59411	-0.0015358	0.43162	-0.00058878	0.33555	-0.00019252	0.27946	-0.0001208	0.66596	-0.010424	1.088	-0.00091403	0.85663	-0.0028263	0.59113	-0.0010999	0.43418	-0.0006019	0.31985	-0.00044501	1.1673	-0.016879	1.0281	-0.00025777	0.78886	-0.0040579	0.6032	-0.0021519	0.40912	-0.0005638	0.30807	-0.00043189	1.1138	-0.00040408	0.85459	-0.00016323	0.97559	-0.00019682	0.69582	-0.00014908	0.81491	-4.8943E-06	0.80969	-6.5271E-05	0.32448	-0.00014771	0.24619	-8.3888E-05	0.17363	-6.9228E-05	0.10647	-4.9162E-05	0.061362	-1.3203E-05	0.32836	0.00022214	0.25065	-8.3009E-05	0.17328	-7.9148E-05	0.10552	-4.6558E-05	0.064832	-4.3335E-05	1.0966	-0.0019478	0.85401	-0.0028919	0.57929	-0.0014641	0.43273	-0.00086177	0.52756	-8.7668E-06
