#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.16064	-0.00011552	0.094526	-3.1404E-05	0.05699	-8.5318E-06	1.0866	-0.0011862	0.91574	-0.0032166	0.68265	-0.001973	0.53239	-0.0028254	0.3639	-0.00059142	1.103	-0.0013611	0.92357	-0.0032876	0.68242	-0.0019891	0.52739	-0.003138	0.35624	-0.0006219	0.69045	-0.015997	1.0935	-0.0011983	0.81769	-0.002885	0.55735	-0.0014804	0.38939	-0.00071769	0.50048	-6.9413E-06	0.83139	-0.0036061	0.56957	-0.0016748	0.40118	-0.0005945	0.30634	-0.00017786	0.25194	-0.00010389	0.67557	-0.012255	1.1111	-0.0010883	0.85479	-0.0033969	0.56542	-0.0012042	0.40377	-0.00060717	0.29253	-0.00039284	1.152	-0.0073257	1.0393	-0.00033924	0.78307	-0.0046622	0.58067	-0.0023684	0.37829	-0.00056637	0.28109	-0.00038213	1.128	-0.00050452	0.84298	-0.0001948	0.97494	-0.0002401	0.67379	-0.00016698	0.79982	-4.7819E-06	0.79498	-6.981E-05	0.29551	-0.00014055	0.22091	-7.0278E-05	0.15566	-5.4414E-05	0.095942	-3.9783E-05	0.055066	-1.0667E-05	0.29917	5.9949E-05	0.22498	-6.9143E-05	0.15539	-6.2553E-05	0.095082	-3.7904E-05	0.05836	-4.2487E-05	1.1114	-0.0011705	0.85104	-0.0034021	0.55406	-0.0015838	0.40278	-0.00087506	0.49777	-9.0223E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0843	-0.0011863	0.91288	-0.0032239	0.6819	-0.001984	0.53064	-0.0028323	0.3637	-0.00059124	1.1008	-0.001367	0.92061	-0.0032994	0.68167	-0.0020002	0.52549	-0.0031465	0.35602	-0.00062141	NAN	NAN	1.0914	-0.0011971	0.81521	-0.0028544	0.5563	-0.0014735	0.38909	-0.00071557	0.50048	-7.0849E-06	0.82814	-0.0035559	0.56851	-0.0016701	0.40087	-0.00059395	0.30614	-0.00017839	NAN	NAN	0.66528	-0.011897	1.1097	-0.0010876	0.85152	-0.0033449	0.56457	-0.0011974	0.40345	-0.00060679	NAN	NAN	1.159	-0.0092337	1.038	-0.00033978	0.77982	-0.0046152	0.57926	-0.0023592	0.37807	-0.00056454	NAN	NAN	1.1276	-0.00049897	0.84284	-0.00019471	0.97458	-0.00023924	0.67372	-0.00016634	0.79992	-4.8749E-06	0.79493	-7.0746E-05	0.29532	-0.00014027	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1111	-0.0013026	0.84802	-0.0033708	0.55292	-0.0015759	0.40237	-0.00087262	0.49772	-9.1217E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0837	-0.0011825	0.91267	-0.0032226	0.68174	-0.0019811	0.53086	-0.0028386	0.36363	-0.00059135	1.1002	-0.0013661	0.92038	-0.0032982	0.68151	-0.0019973	0.5257	-0.0031537	0.35594	-0.00062108	NAN	NAN	1.0908	-0.0011937	0.81506	-0.0028527	0.55648	-0.0014757	0.38901	-0.00071636	0.50048	-7.1102E-06	0.82795	-0.0035529	0.56865	-0.0016703	0.40085	-0.00059396	0.30616	-0.00017844	NAN	NAN	0.66488	-0.011874	1.1093	-0.0010873	0.85132	-0.0033411	0.56475	-0.0011985	0.40343	-0.00060694	NAN	NAN	1.1596	-0.0094581	1.0378	-0.00034007	0.7795	-0.0046147	0.57936	-0.0023576	0.378	-0.00056509	NAN	NAN	1.1274	-0.00050051	0.84284	-0.00019436	0.97453	-0.00023902	0.67371	-0.00016661	0.79994	-4.8945E-06	0.79492	-7.0945E-05	0.29534	-0.00014047	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1109	-0.0013184	0.84784	-0.0033684	0.55311	-0.0015785	0.4023	-0.00087343	0.49771	-9.1451E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0819	-0.001174	0.91168	-0.0032176	0.68126	-0.001982	0.53047	-0.0028495	0.36346	-0.00059178	1.0984	-0.001366	0.91933	-0.0032941	0.68103	-0.0019981	0.52525	-0.003167	0.35576	-0.00062097	NAN	NAN	1.0891	-0.0011864	0.81438	-0.0028442	0.55632	-0.0014761	0.38882	-0.00071627	0.50048	-7.1606E-06	0.82702	-0.0035373	0.56843	-0.0016689	0.40071	-0.0005938	0.30607	-0.00017868	NAN	NAN	0.66133	-0.01175	1.108	-0.0010883	0.85036	-0.0033221	0.56464	-0.0011979	0.40328	-0.00060697	NAN	NAN	1.1632	-0.010532	1.0371	-0.00033888	0.77836	-0.0046075	0.57894	-0.0023522	0.37784	-0.0005649	NAN	NAN	1.1271	-0.00050147	0.84283	-0.00019321	0.97438	-0.00023834	0.67367	-0.00016674	0.79998	-4.9354E-06	0.79489	-7.1324E-05	0.29526	-0.0001404	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1103	-0.0014014	0.84697	-0.0033571	0.55293	-0.001579	0.40208	-0.00087329	0.49769	-9.1864E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0803	-0.0011695	0.91096	-0.0032088	0.681	-0.0019834	0.53013	-0.0028553	0.36336	-0.00059214	1.0968	-0.001369	0.91854	-0.003285	0.68076	-0.0019995	0.52486	-0.0031744	0.35564	-0.00062103	NAN	NAN	1.0876	-0.001183	0.81403	-0.0028409	0.55615	-0.0014755	0.3887	-0.00071609	0.50048	-7.2061E-06	0.82649	-0.003529	0.56823	-0.0016678	0.40061	-0.00059372	0.306	-0.0001789	NAN	NAN	0.65912	-0.011678	1.107	-0.0010914	0.84977	-0.0033095	0.56452	-0.0011968	0.40318	-0.00060701	NAN	NAN	1.1664	-0.011484	1.0364	-0.00033746	0.77776	-0.0046051	0.57863	-0.002349	0.37775	-0.00056468	NAN	NAN	1.1269	-0.00050128	0.84283	-0.00019228	0.97422	-0.00023737	0.67365	-0.00016676	0.80002	-4.9747E-06	0.79487	-7.1733E-05	0.29518	-0.00014031	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.11	-0.0014804	0.8465	-0.0033514	0.55274	-0.0015784	0.40194	-0.00087309	0.49767	-9.2196E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0775	-0.0011568	0.9098	-0.0031983	0.68053	-0.0019875	0.52946	-0.0028662	0.36314	-0.00059299	1.094	-0.0013702	0.91728	-0.0032744	0.68029	-0.0020035	0.5241	-0.0031883	0.35539	-0.00062121	NAN	NAN	1.0849	-0.0011729	0.81334	-0.0028331	0.5558	-0.0014742	0.38847	-0.00071593	0.50048	-7.2585E-06	0.82554	-0.0035134	0.56783	-0.0016654	0.40043	-0.00059356	0.30585	-0.00017917	NAN	NAN	0.65494	-0.011541	1.1051	-0.0010963	0.84873	-0.0032886	0.56426	-0.0011949	0.403	-0.00060707	NAN	NAN	1.1724	-0.013305	1.0352	-0.00033344	0.77664	-0.0045991	0.57801	-0.0023426	0.37756	-0.00056455	NAN	NAN	1.1265	-0.00050046	0.84281	-0.00019105	0.97402	-0.00023609	0.67361	-0.00016682	0.80007	-5.0315E-06	0.79484	-7.2386E-05	0.29505	-0.00014008	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1095	-0.0016429	0.84561	-0.0033405	0.55236	-0.0015771	0.40166	-0.00087279	0.49765	-9.2498E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0732	-0.0011288	0.90812	-0.0031876	0.67989	-0.0019922	0.5286	-0.0028803	0.36286	-0.00059435	1.0897	-0.0013619	0.91547	-0.0032641	0.67964	-0.0020083	0.52313	-0.0032066	0.35508	-0.00062175	NAN	NAN	1.0808	-0.0011495	0.81221	-0.0028177	0.55537	-0.0014728	0.3882	-0.00071571	0.50047	-7.3508E-06	0.82403	-0.0034873	0.56733	-0.0016627	0.40021	-0.00059333	0.30564	-0.00017949	NAN	NAN	0.64916	-0.011336	1.1022	-0.0010996	0.84713	-0.0032566	0.56395	-0.0011928	0.40278	-0.0006071	NAN	NAN	1.1811	-0.016173	1.0335	-0.00032653	0.77489	-0.0045833	0.57723	-0.0023341	0.37735	-0.00056439	NAN	NAN	1.126	-0.00049917	0.84276	-0.00018976	0.97378	-0.00023478	0.67354	-0.00016681	0.80014	-5.1171E-06	0.79477	-7.3348E-05	0.29487	-0.00013969	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1088	-0.0019314	0.84418	-0.0033207	0.55189	-0.0015758	0.40133	-0.00087231	0.4976	-9.304E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0716	-0.0011146	0.90762	-0.0031843	0.6797	-0.0019934	0.52836	-0.0028847	0.36278	-0.00059491	1.088	-0.0013551	0.91494	-0.003261	0.67946	-0.0020095	0.52285	-0.0032124	0.35498	-0.00062212	NAN	NAN	1.0792	-0.0011374	0.81188	-0.0028129	0.55526	-0.0014725	0.38813	-0.00071559	0.50047	-7.3846E-06	0.82359	-0.0034796	0.56721	-0.0016619	0.40015	-0.00059327	0.30556	-0.00017961	NAN	NAN	0.64752	-0.011276	1.1011	-0.0010998	0.84666	-0.0032471	0.56387	-0.0011921	0.40272	-0.00060709	NAN	NAN	1.184	-0.017231	1.033	-0.00032338	0.77437	-0.004578	0.57701	-0.0023318	0.37729	-0.00056429	NAN	NAN	1.1257	-0.00049895	0.84274	-0.00018938	0.97371	-0.00023436	0.67352	-0.00016679	0.80017	-5.1451E-06	0.79475	-7.3661E-05	0.2948	-0.0001395	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1085	-0.002048	0.84375	-0.0033146	0.55176	-0.0015755	0.40123	-0.00087214	0.49759	-9.3245E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0668	-0.0010686	0.90636	-0.0031743	0.67932	-0.0019952	0.52785	-0.0028959	0.36259	-0.00059641	1.083	-0.0013292	0.91357	-0.0032506	0.67907	-0.0020112	0.52226	-0.0032277	0.35474	-0.00062322	NAN	NAN	1.0746	-0.0010975	0.81106	-0.0028015	0.55504	-0.0014722	0.38796	-0.00071532	0.50047	-7.4913E-06	0.8225	-0.0034607	0.56696	-0.0016607	0.40002	-0.00059313	0.30533	-0.00017996	NAN	NAN	0.64388	-0.011142	1.0976	-0.0010986	0.8455	-0.0032234	0.56373	-0.0011907	0.40259	-0.00060711	NAN	NAN	1.1917	-0.020266	1.0313	-0.00031403	0.77314	-0.0045631	0.5766	-0.0023275	0.37716	-0.00056399	NAN	NAN	1.1251	-0.0004986	0.84271	-0.00018822	0.97352	-0.00023305	0.67348	-0.00016672	0.80025	-5.2289E-06	0.79468	-7.4654E-05	0.29459	-0.000139	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1078	-0.0024219	0.84271	-0.0032999	0.55151	-0.0015753	0.40103	-0.00087179	0.49754	-9.3921E-06
B8	11510	4.07	0.16034	-0.00011477	0.094276	-3.1324E-05	0.056958	-8.5494E-06	1.0656	-0.0010586	0.90588	-0.0031736	0.67913	-0.0019968	0.52755	-0.002901	0.36281	-0.00059704	1.0817	-0.0013264	0.91306	-0.0032501	0.67888	-0.0020129	0.52192	-0.0032342	0.35495	-0.00062623	0.63922	-0.014081	1.0734	-0.0010902	0.81063	-0.0027962	0.55489	-0.0014714	0.38824	-0.00070914	0.50043	-7.4994E-06	0.82198	-0.003453	0.56679	-0.0016597	0.39997	-0.00059267	0.30496	-0.00018008	0.25148	-0.00010468	0.64201	-0.011071	1.0968	-0.0011046	0.84499	-0.0032151	0.56362	-0.0011899	0.40255	-0.00060624	0.28995	-0.00040305	1.1946	-0.021343	1.0307	-0.00030906	0.77252	-0.0045555	0.57635	-0.002325	0.37745	-0.0005593	0.27869	-0.00038641	1.1253	-0.00049597	0.84272	-0.000188	0.97345	-0.00023264	0.67347	-0.00016669	0.80017	-5.6034E-06	0.79459	-7.4623E-05	0.29425	-0.00013702	0.22066	-7.0202E-05	0.15556	-5.4483E-05	0.095641	-3.9769E-05	0.055024	-1.0677E-05	0.29812	0.00014465	0.22475	-6.9643E-05	0.15525	-6.2396E-05	0.094784	-3.7702E-05	0.058149	-3.6106E-05	1.1079	-0.0025741	0.84222	-0.0032946	0.55135	-0.0015745	0.40118	-0.00086614	0.4975	-9.3108E-06
