#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.16711	-0.00012569	0.098233	-3.388E-05	0.05926	-9.2038E-06	1.0837	-0.0011072	0.91801	-0.0030491	0.69038	-0.0019011	0.54245	-0.0027775	0.37492	-0.00059679	1.0995	-0.001267	0.92562	-0.0031138	0.69016	-0.0019166	0.53749	-0.0030904	0.36722	-0.00062817	0.6983	-0.015724	1.0904	-0.0011174	0.82252	-0.00276	0.56717	-0.0014444	0.40044	-0.00071931	0.51104	-6.8063E-06	0.8359	-0.0034504	0.57921	-0.0016322	0.41225	-0.00059403	0.31698	-0.0001823	0.26164	-0.00010936	0.68353	-0.011992	1.1074	-0.0010111	0.85873	-0.003245	0.57514	-0.0011733	0.41483	-0.00060656	0.30295	-0.00040699	1.1445	-0.0065518	1.0381	-0.00031811	0.78868	-0.0044758	0.59013	-0.0023079	0.38935	-0.0005688	0.29132	-0.00039764	1.1237	-0.00046604	0.84724	-0.00018537	0.97566	-0.0002265	0.68178	-0.00016074	0.80513	-4.5608E-06	0.8004	-6.6608E-05	0.30602	-0.00014447	0.22975	-7.4914E-05	0.16192	-5.9301E-05	0.099704	-4.2929E-05	0.057261	-1.1511E-05	0.3097	7.6193E-05	0.23396	-7.3611E-05	0.16163	-6.8115E-05	0.098811	-4.0882E-05	0.060682	-4.5353E-05	1.1075	-0.0010723	0.85505	-0.0032479	0.56391	-0.0015462	0.41381	-0.00087478	0.50836	-8.8502E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0815	-0.0011078	0.91523	-0.0030571	0.68965	-0.0019118	0.54072	-0.0027851	0.37472	-0.00059663	1.0974	-0.001273	0.92274	-0.0031261	0.68942	-0.0019275	0.53561	-0.0030996	0.367	-0.00062771	NAN	NAN	1.0884	-0.0011167	0.82011	-0.0027314	0.56613	-0.0014379	0.40014	-0.00071719	0.51104	-6.9471E-06	0.83273	-0.0034035	0.57816	-0.0016278	0.41194	-0.00059349	0.31678	-0.00018284	NAN	NAN	0.67341	-0.011648	1.106	-0.0010107	0.85554	-0.0031963	0.57431	-0.0011668	0.41452	-0.0006062	NAN	NAN	1.1508	-0.0082922	1.0368	-0.0003187	0.78551	-0.004432	0.58874	-0.0022992	0.38913	-0.00056697	NAN	NAN	1.1232	-0.00046097	0.84711	-0.00018528	0.97531	-0.00022569	0.68171	-0.00016013	0.80523	-4.6495E-06	0.80035	-6.7501E-05	0.30583	-0.00014418	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1072	-0.0011897	0.85211	-0.0032191	0.56279	-0.0015387	0.4134	-0.00087237	0.50831	-8.9477E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.081	-0.0011044	0.91503	-0.0030559	0.68949	-0.0019091	0.54093	-0.0027911	0.37464	-0.00059675	1.0968	-0.0012724	0.92252	-0.0031251	0.68926	-0.0019247	0.53582	-0.0031067	0.36692	-0.00062738	NAN	NAN	1.0878	-0.0011137	0.81997	-0.0027298	0.56631	-0.0014399	0.40007	-0.00071799	0.51104	-6.9719E-06	0.83255	-0.0034007	0.57831	-0.001628	0.41192	-0.00059351	0.31681	-0.0001829	NAN	NAN	0.67302	-0.011626	1.1056	-0.0010105	0.85535	-0.0031927	0.57448	-0.0011678	0.41449	-0.00060636	NAN	NAN	1.1514	-0.0084985	1.0367	-0.00031897	0.7852	-0.0044316	0.58884	-0.0022977	0.38906	-0.00056753	NAN	NAN	1.1231	-0.0004624	0.84711	-0.00018495	0.97527	-0.00022548	0.6817	-0.00016038	0.80525	-4.6681E-06	0.80034	-6.7692E-05	0.30585	-0.00014439	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1069	-0.0012039	0.85194	-0.0032169	0.56298	-0.0015412	0.41334	-0.00087319	0.5083	-8.9706E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0792	-0.0010968	0.91406	-0.0030515	0.68902	-0.00191	0.54055	-0.0028021	0.37448	-0.0005972	1.095	-0.0012728	0.9215	-0.0031216	0.68879	-0.0019256	0.53537	-0.00312	0.36674	-0.00062728	NAN	NAN	1.0861	-0.0011073	0.81931	-0.0027219	0.56615	-0.0014403	0.39988	-0.00071792	0.51105	-7.0214E-06	0.83164	-0.003386	0.57809	-0.0016267	0.41177	-0.00059335	0.31672	-0.00018314	NAN	NAN	0.66952	-0.011506	1.1044	-0.0010117	0.85441	-0.0031748	0.57437	-0.0011673	0.41435	-0.00060639	NAN	NAN	1.1546	-0.0094872	1.036	-0.00031789	0.78409	-0.0044252	0.58843	-0.0022924	0.3889	-0.00056735	NAN	NAN	1.1227	-0.00046333	0.84709	-0.00018386	0.97512	-0.00022484	0.68166	-0.00016051	0.80529	-4.7071E-06	0.80031	-6.8053E-05	0.30577	-0.00014432	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1064	-0.0012781	0.85109	-0.0032064	0.56279	-0.0015417	0.41311	-0.00087308	0.50828	-9.0112E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0777	-0.001093	0.91337	-0.0030433	0.68876	-0.0019115	0.54021	-0.002808	0.37437	-0.00059757	1.0936	-0.0012761	0.92073	-0.0031132	0.68853	-0.001927	0.53499	-0.0031275	0.36662	-0.00062735	NAN	NAN	1.0847	-0.0011045	0.81895	-0.0027188	0.56598	-0.0014398	0.39976	-0.00071775	0.51105	-7.066E-06	0.83113	-0.0033782	0.57789	-0.0016256	0.41168	-0.00059328	0.31664	-0.00018337	NAN	NAN	0.66735	-0.011437	1.1034	-0.0010149	0.85384	-0.0031629	0.57426	-0.0011662	0.41425	-0.00060644	NAN	NAN	1.1576	-0.010367	1.0353	-0.0003166	0.7835	-0.0044232	0.58812	-0.0022894	0.3888	-0.00056713	NAN	NAN	1.1225	-0.00046317	0.84709	-0.00018297	0.97497	-0.00022392	0.68164	-0.00016053	0.80532	-4.7445E-06	0.80029	-6.8444E-05	0.30569	-0.00014422	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1061	-0.0013487	0.85063	-0.0032011	0.56261	-0.0015412	0.41297	-0.00087289	0.50826	-9.0438E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0749	-0.0010818	0.91224	-0.0030337	0.6883	-0.0019154	0.53954	-0.002819	0.37415	-0.00059845	1.0909	-0.0012779	0.9195	-0.0031034	0.68807	-0.001931	0.53423	-0.0031417	0.36637	-0.00062756	NAN	NAN	1.0821	-0.0010957	0.81829	-0.0027116	0.56564	-0.0014386	0.39953	-0.0007176	0.51104	-7.1174E-06	0.8302	-0.0033635	0.5775	-0.0016233	0.4115	-0.00059313	0.31649	-0.00018365	NAN	NAN	0.66324	-0.011305	1.1016	-0.0010198	0.85282	-0.0031432	0.574	-0.0011644	0.41407	-0.00060651	NAN	NAN	1.1631	-0.012062	1.0341	-0.00031288	0.7824	-0.0044179	0.58751	-0.0022833	0.38862	-0.00056701	NAN	NAN	1.1222	-0.00046246	0.84708	-0.0001818	0.97477	-0.00022271	0.6816	-0.00016059	0.80537	-4.7987E-06	0.80026	-6.9067E-05	0.30556	-0.00014399	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1055	-0.0014941	0.84976	-0.0031909	0.56223	-0.00154	0.4127	-0.00087261	0.50824	-9.0734E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0708	-0.0010565	0.9106	-0.003024	0.68768	-0.0019202	0.53869	-0.0028333	0.37388	-0.00059985	1.0867	-0.0012713	0.91775	-0.0030943	0.68743	-0.0019358	0.53327	-0.0031602	0.36605	-0.00062813	NAN	NAN	1.0782	-0.0010747	0.81719	-0.0026971	0.56522	-0.0014373	0.39925	-0.00071741	0.51104	-7.2079E-06	0.82873	-0.003339	0.57701	-0.0016207	0.41128	-0.00059291	0.31628	-0.00018398	NAN	NAN	0.65755	-0.011108	1.0988	-0.0010235	0.85127	-0.0031129	0.57369	-0.0011623	0.41385	-0.00060655	NAN	NAN	1.1714	-0.014757	1.0325	-0.00030648	0.78069	-0.0044035	0.58673	-0.0022752	0.3884	-0.00056686	NAN	NAN	1.1217	-0.00046132	0.84703	-0.00018057	0.97454	-0.00022148	0.68153	-0.00016058	0.80544	-4.8803E-06	0.80019	-6.9987E-05	0.30537	-0.00014359	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1048	-0.0017526	0.84837	-0.0031724	0.56177	-0.0015387	0.41236	-0.00087217	0.50819	-9.1267E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0692	-0.0010435	0.91012	-0.0030211	0.6875	-0.0019214	0.53845	-0.0028377	0.3738	-0.00060042	1.0851	-0.0012654	0.91723	-0.0030914	0.68725	-0.0019369	0.533	-0.0031662	0.36595	-0.00062851	NAN	NAN	1.0766	-0.0010637	0.81686	-0.0026926	0.5651	-0.001437	0.39918	-0.00071729	0.51103	-7.241E-06	0.82829	-0.0033317	0.57688	-0.0016201	0.41122	-0.00059285	0.31619	-0.0001841	NAN	NAN	0.65593	-0.011051	1.0977	-0.001024	0.85081	-0.003104	0.57361	-0.0011617	0.41379	-0.00060655	NAN	NAN	1.1742	-0.01576	1.0319	-0.00030354	0.78018	-0.0043986	0.58653	-0.002273	0.38835	-0.00056676	NAN	NAN	1.1214	-0.00046114	0.84701	-0.00018021	0.97447	-0.00022108	0.68151	-0.00016056	0.80547	-4.907E-06	0.80017	-7.0285E-05	0.3053	-0.0001434	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1044	-0.0018573	0.84795	-0.0031668	0.56164	-0.0015384	0.41227	-0.00087201	0.50818	-9.1467E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0647	-0.0010013	0.90889	-0.0030119	0.68712	-0.0019232	0.53795	-0.002849	0.3736	-0.00060195	1.0803	-0.0012425	0.9159	-0.003082	0.68687	-0.0019387	0.53241	-0.0031816	0.36572	-0.00062965	NAN	NAN	1.0721	-0.0010273	0.81606	-0.0026819	0.56489	-0.0014367	0.39902	-0.00071703	0.51103	-7.3457E-06	0.82724	-0.003314	0.57663	-0.0016189	0.41109	-0.00059272	0.31596	-0.00018447	NAN	NAN	0.65235	-0.010921	1.0943	-0.0010237	0.84967	-0.0030816	0.57348	-0.0011604	0.41365	-0.00060657	NAN	NAN	1.1817	-0.018659	1.0303	-0.00029483	0.77899	-0.0043848	0.58611	-0.0022689	0.38821	-0.00056647	NAN	NAN	1.1209	-0.00046087	0.84698	-0.0001791	0.97428	-0.00021984	0.68147	-0.0001605	0.80555	-4.9868E-06	0.80011	-7.1234E-05	0.30509	-0.00014288	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1036	-0.0021936	0.84693	-0.0031531	0.5614	-0.0015383	0.41207	-0.00087168	0.50813	-9.2131E-06
B8	11510	4.07	0.1668	-0.00012487	0.097973	-3.3792E-05	0.059227	-9.2227E-06	1.0634	-0.00099214	0.90842	-0.0030114	0.68693	-0.0019248	0.53765	-0.0028541	0.37383	-0.00060261	1.079	-0.0012403	0.9154	-0.0030817	0.68668	-0.0019403	0.53207	-0.0031882	0.36593	-0.00063272	0.6478	-0.01388	1.071	-0.0010207	0.81565	-0.002677	0.56474	-0.001436	0.39929	-0.00071079	0.51099	-7.3536E-06	0.82673	-0.0033068	0.57647	-0.0016179	0.41104	-0.00059227	0.31559	-0.00018458	0.26117	-0.0001102	0.65051	-0.010853	1.0935	-0.0010295	0.84917	-0.0030738	0.57337	-0.0011595	0.41361	-0.00060571	0.30033	-0.00041777	1.1846	-0.019694	1.0298	-0.00029018	0.77838	-0.0043778	0.58587	-0.0022665	0.38851	-0.00056173	0.28889	-0.00040224	1.121	-0.00045842	0.84699	-0.00017889	0.97422	-0.00021945	0.68146	-0.00016047	0.80547	-5.344E-06	0.80002	-7.1206E-05	0.30475	-0.00014085	0.2295	-7.483E-05	0.16182	-5.9375E-05	0.099392	-4.291E-05	0.057218	-1.1522E-05	0.30863	0.00016935	0.23372	-7.4161E-05	0.16149	-6.7956E-05	0.098501	-4.0665E-05	0.060463	-3.8564E-05	1.1037	-0.0023309	0.84646	-0.0031482	0.56123	-0.0015376	0.41221	-0.00086598	0.5081	-9.1334E-06
