#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.26359	-0.00032692	0.15344	-8.1763E-05	0.093091	-2.2201E-05	1.0424	-0.00026822	0.95027	-0.001152	0.80046	-0.00098571	0.68767	-0.0020336	0.53726	-0.00065942	1.0498	-0.00029391	0.95479	-0.0011576	0.8003	-0.00099444	0.68342	-0.002334	0.52912	-0.00070441	0.80628	-0.011263	1.0456	-0.00026576	0.89061	-0.0012401	0.70855	-0.00092745	0.56285	-0.00071893	0.66424	-4.7772E-06	0.89911	-0.0015407	0.71788	-0.0010267	0.57464	-0.00056652	0.47473	-0.00024888	0.40611	-0.0002064	0.79427	-0.0079118	1.0537	-0.00022697	0.91379	-0.0014001	0.71505	-0.00073535	0.57712	-0.00057659	0.45756	-0.00064133	1.0622	-0.0010027	1.0202	-8.7085E-05	0.86762	-0.0021355	0.72595	-0.0014455	0.55204	-0.0005859	0.44335	-0.00065922	1.0614	-9.6429E-05	0.90757	-7.7188E-05	0.98604	-7.4935E-05	0.79527	-8.2326E-05	0.88019	-1.9979E-06	0.87702	-2.9377E-05	0.46192	-0.00020451	0.36157	-0.00016065	0.25521	-0.00015716	0.15574	-0.00010382	0.08998	-2.786E-05	0.46498	0.00056664	0.36772	-0.00015711	0.25473	-0.00017931	0.15434	-9.8368E-05	0.095234	-9.2962E-05	1.0534	-0.00021776	0.91136	-0.0013963	0.70588	-0.0010031	0.57568	-0.00084108	0.66199	-6.2534E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0413	-0.00027039	0.94859	-0.0011622	0.79993	-0.0009926	0.68625	-0.0020474	0.53705	-0.00065961	1.0488	-0.00029737	0.95306	-0.0011699	0.79976	-0.0010015	0.68187	-0.0023516	0.52889	-0.00070431	NAN	NAN	1.0447	-0.00026737	0.88905	-0.0012326	0.70773	-0.00092497	0.56256	-0.0007171	0.66423	-4.8761E-06	0.8971	-0.0015283	0.71707	-0.0010258	0.57434	-0.00056625	0.47449	-0.00024965	NAN	NAN	0.78687	-0.0077675	1.0531	-0.00022774	0.9118	-0.001387	0.7144	-0.00073233	0.57682	-0.00057652	NAN	NAN	1.0629	-0.0013088	1.0196	-8.7683E-05	0.86553	-0.0021253	0.72488	-0.0014434	0.55182	-0.00058419	NAN	NAN	1.0612	-9.5505E-05	0.90749	-7.7157E-05	0.98584	-7.4723E-05	0.79522	-8.2022E-05	0.88025	-2.0361E-06	0.87699	-2.9775E-05	0.4617	-0.00020413	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0531	-0.00023733	0.90952	-0.0013919	0.70499	-0.0010001	0.57529	-0.00083924	0.66194	-6.3227E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0411	-0.00027008	0.94847	-0.0011622	0.79982	-0.0009915	0.68642	-0.0020513	0.53698	-0.00065976	1.0486	-0.00029781	0.95293	-0.0011701	0.79965	-0.0010003	0.68203	-0.0023563	0.52881	-0.00070394	NAN	NAN	1.0444	-0.00026716	0.88896	-0.0012322	0.70787	-0.00092602	0.56248	-0.00071803	0.66424	-4.8935E-06	0.89699	-0.0015275	0.71718	-0.0010256	0.57432	-0.00056629	0.47452	-0.00024974	NAN	NAN	0.78658	-0.0077547	1.0529	-0.00022804	0.91168	-0.0013858	0.71454	-0.00073279	0.5768	-0.0005767	NAN	NAN	1.0629	-0.0013481	1.0195	-8.7804E-05	0.86532	-0.0021265	0.72495	-0.0014422	0.55175	-0.00058486	NAN	NAN	1.0612	-9.5839E-05	0.90749	-7.7017E-05	0.98582	-7.4662E-05	0.79521	-8.2151E-05	0.88026	-2.0442E-06	0.87698	-2.986E-05	0.46172	-0.0002044	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.053	-0.00023995	0.90941	-0.0013914	0.70514	-0.0010014	0.57523	-0.00084018	0.66193	-6.3389E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0402	-0.00026988	0.94789	-0.0011629	0.79949	-0.00099287	0.6861	-0.0020618	0.5368	-0.00066049	1.0477	-0.00029972	0.95232	-0.0011714	0.79932	-0.0010017	0.68166	-0.0023699	0.52862	-0.00070408	NAN	NAN	1.0436	-0.00026715	0.88853	-0.00123	0.70774	-0.00092658	0.56229	-0.00071819	0.66424	-4.9282E-06	0.89641	-0.0015232	0.717	-0.0010252	0.57418	-0.00056625	0.47441	-0.00025009	NAN	NAN	0.78401	-0.0077035	1.0523	-0.00022924	0.91109	-0.0013801	0.71445	-0.00073257	0.57666	-0.00057687	NAN	NAN	1.0633	-0.0015382	1.0191	-8.7721E-05	0.86459	-0.0021275	0.72464	-0.0014398	0.55159	-0.00058483	NAN	NAN	1.061	-9.6118E-05	0.90748	-7.6558E-05	0.98573	-7.4476E-05	0.79518	-8.222E-05	0.88029	-2.061E-06	0.87696	-3.0022E-05	0.46162	-0.00020432	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0526	-0.00025306	0.90888	-0.001389	0.705	-0.0010021	0.57501	-0.00084041	0.66192	-6.3677E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0395	-0.00027037	0.94748	-0.0011613	0.7993	-0.0009941	0.68582	-0.0020682	0.53669	-0.00066106	1.047	-0.00030201	0.95187	-0.0011699	0.79913	-0.0010029	0.68134	-0.0023784	0.52849	-0.00070433	NAN	NAN	1.0429	-0.00026777	0.88831	-0.0012294	0.70761	-0.00092654	0.56217	-0.00071815	0.66424	-4.9595E-06	0.89608	-0.001521	0.71685	-0.0010249	0.57409	-0.00056626	0.47432	-0.00025043	NAN	NAN	0.7824	-0.0076752	1.0518	-0.00023068	0.91073	-0.001376	0.71436	-0.00073205	0.57656	-0.00057701	NAN	NAN	1.0636	-0.0017146	1.0188	-8.7585E-05	0.86421	-0.0021287	0.7244	-0.0014386	0.55149	-0.0005847	NAN	NAN	1.0609	-9.6136E-05	0.90748	-7.6184E-05	0.98564	-7.4194E-05	0.79517	-8.2229E-05	0.88031	-2.0773E-06	0.87695	-3.0196E-05	0.46153	-0.00020419	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0523	-0.00026552	0.90858	-0.0013878	0.70485	-0.0010021	0.57487	-0.00084044	0.6619	-6.3909E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0382	-0.00027016	0.9468	-0.00116	0.79898	-0.00099707	0.68526	-0.0020802	0.53646	-0.00066236	1.0457	-0.00030532	0.95114	-0.001169	0.7988	-0.0010059	0.6807	-0.0023946	0.52823	-0.00070491	NAN	NAN	1.0417	-0.00026804	0.88787	-0.0012275	0.70734	-0.00092631	0.56195	-0.00071829	0.66424	-4.9956E-06	0.89548	-0.0015167	0.71655	-0.0010242	0.57391	-0.00056628	0.47415	-0.00025084	NAN	NAN	0.77936	-0.0076207	1.051	-0.00023318	0.91009	-0.0013696	0.71416	-0.00073126	0.57638	-0.00057726	NAN	NAN	1.0644	-0.0020765	1.0182	-8.6927E-05	0.86348	-0.0021303	0.72393	-0.0014362	0.55131	-0.00058474	NAN	NAN	1.0608	-9.6075E-05	0.90747	-7.5696E-05	0.98553	-7.3819E-05	0.79514	-8.2263E-05	0.88034	-2.1007E-06	0.87693	-3.0475E-05	0.46137	-0.00020389	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0519	-0.00029136	0.90804	-0.0013856	0.70455	-0.001002	0.5746	-0.00084058	0.66188	-6.412E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0362	-0.00026754	0.94582	-0.0011601	0.79853	-0.0010008	0.68455	-0.002096	0.53617	-0.00066433	1.0438	-0.00030809	0.95009	-0.0011698	0.79835	-0.0010096	0.67989	-0.0024159	0.52789	-0.00070602	NAN	NAN	1.0398	-0.00026641	0.88717	-0.0012233	0.70701	-0.0009262	0.56167	-0.00071843	0.66423	-5.0592E-06	0.89455	-0.0015093	0.71617	-0.0010234	0.5737	-0.00056627	0.4739	-0.00025133	NAN	NAN	0.77513	-0.0075321	1.0497	-0.00023621	0.90912	-0.0013597	0.71392	-0.00073036	0.57617	-0.00057753	NAN	NAN	1.0658	-0.002719	1.0173	-8.5639E-05	0.86235	-0.0021294	0.72333	-0.0014329	0.55109	-0.00058479	NAN	NAN	1.0605	-9.5975E-05	0.90744	-7.5188E-05	0.9854	-7.344E-05	0.7951	-8.2268E-05	0.88039	-2.1361E-06	0.87688	-3.0887E-05	0.46115	-0.00020334	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0511	-0.00033791	0.90716	-0.0013811	0.70418	-0.001002	0.57428	-0.00084066	0.66184	-6.45E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0354	-0.00026567	0.94553	-0.0011601	0.7984	-0.0010017	0.68436	-0.0021008	0.53609	-0.00066511	1.043	-0.00030842	0.94978	-0.00117	0.79822	-0.0010106	0.67966	-0.0024226	0.52779	-0.00070661	NAN	NAN	1.039	-0.00026505	0.88695	-0.0012219	0.70692	-0.0009262	0.5616	-0.00071839	0.66423	-5.0824E-06	0.89427	-0.0015071	0.71607	-0.0010232	0.57364	-0.00056626	0.4738	-0.0002515	NAN	NAN	0.77392	-0.0075054	1.0492	-0.00023724	0.90883	-0.0013568	0.71386	-0.00073008	0.57611	-0.00057759	NAN	NAN	1.0664	-0.0029816	1.017	-8.4991E-05	0.86201	-0.0021288	0.72317	-0.001432	0.55103	-0.00058473	NAN	NAN	1.0604	-9.5995E-05	0.90743	-7.5039E-05	0.98536	-7.3315E-05	0.79508	-8.2259E-05	0.88041	-2.1476E-06	0.87687	-3.1021E-05	0.46106	-0.00020308	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0508	-0.00035719	0.9069	-0.0013797	0.70408	-0.0010021	0.57419	-0.00084064	0.66183	-6.4643E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0332	-0.00025884	0.94478	-0.0011593	0.79813	-0.0010034	0.68393	-0.0021126	0.53588	-0.0006672	1.0407	-0.00030787	0.94898	-0.0011695	0.79795	-0.0010122	0.67917	-0.0024394	0.52753	-0.00070832	NAN	NAN	1.0369	-0.00025983	0.88644	-0.0012187	0.70674	-0.00092641	0.56144	-0.00071832	0.66423	-5.1559E-06	0.89359	-0.0015017	0.71588	-0.001023	0.57351	-0.00056625	0.47353	-0.00025204	NAN	NAN	0.77124	-0.0074437	1.0476	-0.00023991	0.90811	-0.0013494	0.71376	-0.00072942	0.57598	-0.00057774	NAN	NAN	1.0681	-0.0038204	1.0162	-8.3017E-05	0.86123	-0.0021262	0.72286	-0.0014304	0.5509	-0.00058455	NAN	NAN	1.0602	-9.6091E-05	0.90741	-7.4581E-05	0.98525	-7.2931E-05	0.79505	-8.2229E-05	0.88046	-2.1821E-06	0.87683	-3.1447E-05	0.46082	-0.00020237	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.05	-0.00042016	0.90626	-0.0013762	0.70389	-0.0010025	0.57399	-0.00084063	0.66179	-6.5116E-06
B8	11510	4.07	0.26309	-0.00032475	0.15304	-8.1486E-05	0.09304	-2.2246E-05	1.0326	-0.00025756	0.9445	-0.0011602	0.79799	-0.0010046	0.68369	-0.0021183	0.53611	-0.00066824	1.0401	-0.00030866	0.94868	-0.0011705	0.79781	-0.0010135	0.67888	-0.002447	0.52775	-0.00071217	0.76816	-0.010518	1.0363	-0.00025922	0.88617	-0.0012174	0.70663	-0.00092618	0.56173	-0.00071142	0.66419	-5.1617E-06	0.89327	-0.0014998	0.71575	-0.0010227	0.57346	-0.00056583	0.47309	-0.00025213	0.40548	-0.00020836	0.76987	-0.0074104	1.0472	-0.00024195	0.9078	-0.0013471	0.71367	-0.00072903	0.57595	-0.00057687	0.45434	-0.00066185	1.069	-0.0041437	1.0159	-8.1854E-05	0.86082	-0.0021249	0.72267	-0.0014295	0.5512	-0.0005792	0.44028	-0.00066956	1.0602	-9.553E-05	0.90741	-7.4491E-05	0.98522	-7.2812E-05	0.79504	-8.2216E-05	0.88041	-2.3388E-06	0.87677	-3.1443E-05	0.46041	-0.00019961	0.3612	-0.00016036	0.25504	-0.00015734	0.15525	-0.00010368	0.089912	-2.7884E-05	0.4631	0.00090158	0.36736	-0.00015881	0.2545	-0.00017916	0.15386	-9.7848E-05	0.094907	-7.9767E-05	1.0498	-0.00044603	0.90596	-0.0013753	0.70376	-0.0010023	0.57414	-0.00083454	0.66176	-6.4556E-06
