# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
71.94635 45.05748 18.61231 0.01195 17.91305 0.02269 18.33872 0.02602 -1.00000 0.00000 160.23646 -0.01299 1.25570 0.78640 160.23644 -0.01299 -1.00000 16.64101 0.00979 16.29247 0.01203 16.14639 0.02786 0.04967
71.94486 45.05812 18.32198 0.00980 16.77700 0.01045 17.48576 0.01431 -1.00000 0.00000 160.23529 -0.01338 1.25567 0.78641 160.23528 -0.01339 -1.00000 15.03244 0.00304 14.34152 0.00242 14.08256 0.00482 0.02625
71.94197 45.06968 19.46391 0.02249 18.52840 0.03647 19.06449 0.04579 -1.00000 0.00000 160.22515 -0.00747 1.25562 0.78661 160.22512 -0.00748 -1.00000 17.10250 0.01431 16.52891 0.01483 16.36710 0.03391 0.06424
71.93600 45.03927 18.95451 0.01527 18.10064 0.02612 18.54902 0.03049 -1.00000 0.00000 160.24565 -0.03033 1.25552 0.78608 160.24563 -0.03032 -1.00000 16.88484 0.01271 16.44008 0.01363 16.31115 0.03355 0.06820
71.93249 45.06949 15.91878 0.00251 15.36344 0.00469 15.68854 0.00507 -1.00000 0.00000 160.22097 -0.01270 1.25546 0.78661 160.22095 -0.01270 -1.00000 14.41071 0.00207 14.19642 0.00218 14.07258 0.00478 0.05566
71.93202 45.03832 15.34621 0.00189 14.29544 0.00275 14.84512 0.00332 -1.00000 0.00000 160.24456 -0.03309 1.25545 0.78607 160.24454 -0.03309 -1.00000 12.53460 0.00079 11.86855 0.00052 12.04209 0.00123 0.05070
71.93028 45.04052 18.82540 0.01390 18.02599 0.02469 18.45104 0.02830 -1.00000 0.00000 160.24208 -0.03261 1.25542 0.78611 160.24206 -0.03260 -1.00000 18.46648 0.04685 16.81888 0.01919 16.44242 0.03631 0.05251
71.92303 45.06025 17.10677 0.00467 15.95478 0.00644 16.47387 0.00774 -1.00000 0.00000 160.22370 -0.02377 1.25529 0.78645 160.22371 -0.02374 -1.00000 14.43386 0.00210 13.76404 0.00161 13.53761 0.00319 0.13100
71.92238 45.06303 18.44543 0.01065 17.67503 0.01907 18.02924 0.02076 -1.00000 0.00000 160.22129 -0.02233 1.25528 0.78650 160.22127 -0.02232 -1.00000 16.52004 0.00889 16.05859 0.00982 15.97724 0.02389 0.05132
71.91134 45.03804 19.46357 0.02248 18.52955 0.03650 19.07801 0.04629 -1.00000 0.00000 160.23533 -0.04442 1.25509 0.78606 160.23530 -0.04441 -1.00000 17.15693 0.01595 16.70655 0.01719 16.53654 0.04094 0.08608
71.90334 45.03777 18.73072 0.01299 17.81038 0.02104 18.31253 0.02551 -1.00000 0.00000 160.23188 -0.04892 1.25495 0.78606 160.23186 -0.04891 -1.00000 16.40175 0.00858 15.89213 0.00841 15.68299 0.01909 0.07380
71.89437 45.04068 18.07836 0.00835 17.29858 0.01467 17.66486 0.01612 -1.00000 0.00000 160.22556 -0.05188 1.25479 0.78611 160.22556 -0.05188 -1.00000 17.39084 0.01829 15.94529 0.00892 15.63238 0.01755 0.00908
71.89250 45.06988 16.69101 0.00373 15.98558 0.00656 16.26372 0.00689 -1.00000 0.00000 160.20243 -0.03401 1.25476 0.78662 160.20242 -0.03401 -1.00000 14.86708 0.00274 14.36375 0.00247 14.22341 0.00535 0.03458
