# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
71.96490 44.94422 19.80324 0.02906 18.88546 0.04887 19.42601 0.05837 -1.00000 0.00000 160.33142 -0.07610 1.25602 0.78442 160.33141 -0.07611 -1.00000 17.47415 0.02109 16.93103 0.02127 16.80308 0.05266 0.02053
71.95677 44.94739 15.42427 0.00198 14.44404 0.00299 14.95107 0.00349 -1.00000 0.00000 160.32528 -0.07844 1.25588 0.78448 160.32527 -0.07845 -1.00000 12.80294 0.00091 12.10766 0.00059 11.88858 0.00113 0.01731
71.95546 44.94906 17.83565 0.00715 17.05881 0.01260 17.44430 0.01358 -1.00000 0.00000 160.32341 -0.07808 1.25586 0.78451 160.32340 -0.07808 -1.00000 15.88221 0.00579 15.41878 0.00569 15.25341 0.01324 0.01788
72.00409 45.02562 15.00528 0.00161 14.63527 0.00325 14.82463 0.00329 -1.00000 0.00000 160.28713 -0.00239 1.25671 0.78585 160.28711 -0.00239 -1.00000 14.03634 0.00173 13.89408 0.00175 14.33313 0.00613 0.03820
71.99449 45.01986 16.46066 0.00330 15.71528 0.00565 16.06522 0.00618 -1.00000 0.00000 160.28715 -0.01129 1.25654 0.78574 160.28715 -0.01129 -1.00000 14.58856 0.00239 14.10388 0.00203 13.92586 0.00443 0.02252
71.99272 45.01928 18.99980 0.01579 18.09622 0.02603 18.49154 0.02919 -1.00000 0.00000 160.28679 -0.01262 1.25651 0.78573 160.28679 -0.01263 1.00000 nan nan nan nan nan nan nan
71.99003 45.03681 14.48253 0.00125 14.00470 0.00239 14.26233 0.00251 -1.00000 0.00000 160.27217 -0.00276 1.25646 0.78604 160.27215 -0.00275 -1.00000 13.21691 0.00112 12.97082 0.00096 12.86696 0.00207 0.04332
71.98034 45.04176 18.58366 0.01171 17.73093 0.01985 18.11210 0.02203 -1.00000 0.00000 160.26397 -0.00480 1.25629 0.78613 160.26395 -0.00479 -1.00000 16.43405 0.00879 15.86911 0.00836 15.69524 0.01953 0.07242
71.97386 44.98741 17.03780 0.00450 16.27942 0.00775 16.60269 0.00833 -1.00000 0.00000 160.30252 -0.04337 1.25618 0.78518 160.30252 -0.04337 -1.00000 15.11837 0.00336 14.57555 0.00287 14.41737 0.00655 0.02558
71.97330 44.97564 17.51196 0.00590 16.74820 0.01026 17.11828 0.01132 -1.00000 0.00000 160.31126 -0.05128 1.25617 0.78497 160.31126 -0.05130 -1.00000 15.56199 0.00457 15.16821 0.00460 15.01588 0.01080 0.07944
71.97250 44.98640 17.84475 0.00721 17.12768 0.01308 17.49025 0.01435 -1.00000 0.00000 160.30267 -0.04476 1.25616 0.78516 160.30266 -0.04476 -1.00000 16.01860 0.00637 15.68818 0.00709 15.53389 0.01689 0.02966
71.95865 45.03787 16.37324 0.00316 15.26917 0.00447 15.86579 0.00556 -1.00000 0.00000 160.25705 -0.01901 1.25592 0.78606 160.25703 -0.01900 -1.00000 13.43819 0.00125 12.68932 0.00081 12.42824 0.00156 0.05515
71.95527 44.98255 19.97311 0.03387 18.92307 0.05028 19.62226 0.07274 -1.00000 0.00000 160.29775 -0.05656 1.25586 0.78509 160.29770 -0.05652 1.00000 nan nan nan nan nan nan nan
71.95102 44.99530 17.00590 0.00442 16.27748 0.00774 16.59270 0.00828 -1.00000 0.00000 160.28608 -0.05062 1.25578 0.78532 160.28609 -0.05061 -1.00000 15.12802 0.00337 14.63941 0.00301 14.51929 0.00709 0.10152
71.94931 45.03710 19.92285 0.03250 19.07723 0.05718 19.59489 0.07107 -1.00000 0.00000 160.25337 -0.02455 1.25575 0.78605 160.25335 -0.02455 -1.00000 17.83067 0.02853 17.31693 0.02989 17.18070 0.07380 0.04856
71.94851 45.04013 19.05731 0.01648 18.16455 0.02743 18.62479 0.03232 -1.00000 0.00000 160.25070 -0.02302 1.25574 0.78610 160.25068 -0.02303 0.00000 nan nan nan nan nan nan nan
71.94257 44.95979 17.14254 0.00477 16.56442 0.00917 16.90018 0.00992 -1.00000 0.00000 160.30933 -0.07811 1.25563 0.78470 160.30933 -0.07811 -1.00000 15.63332 0.00482 15.36672 0.00543 15.21099 0.01272 0.02732
71.93521 44.96333 19.48426 0.02285 18.61610 0.03912 19.06777 0.04591 -1.00000 0.00000 160.30326 -0.07980 1.25551 0.78476 160.30327 -0.07981 -1.00000 17.38762 0.01947 16.82243 0.01915 16.58117 0.04275 0.04988
71.93090 44.96209 19.30243 0.01984 18.47522 0.03495 18.91291 0.04053 -1.00000 0.00000 160.30223 -0.08293 1.25543 0.78474 160.30224 -0.08293 -1.00000 17.15940 0.01603 16.70328 0.01722 16.57349 0.04243 0.05772
71.93023 44.96475 15.37735 0.00192 14.66958 0.00330 14.94185 0.00348 -1.00000 0.00000 160.29991 -0.08157 1.25542 0.78478 160.29991 -0.08157 -1.00000 13.53247 0.00132 12.98130 0.00097 12.81524 0.00199 0.05461
71.90728 44.98158 16.97664 0.00435 16.27778 0.00774 16.74324 0.00904 -1.00000 0.00000 160.27657 -0.08310 1.25502 0.78508 160.27658 -0.08307 -1.00000 14.98450 0.00307 14.63441 0.00299 14.46045 0.00670 0.11539
71.89963 44.98989 18.42586 0.01051 17.63835 0.01858 18.01315 0.02052 -1.00000 0.00000 160.26673 -0.08186 1.25489 0.78522 160.26675 -0.08184 -1.00000 16.46664 0.00898 15.98791 0.00910 15.81710 0.02134 0.10444
71.89324 44.99533 16.29859 0.00304 15.71055 0.00564 16.01072 0.00600 -1.00000 0.00000 160.25965 -0.08179 1.25477 0.78532 160.25965 -0.08179 -1.00000 14.75332 0.00264 14.43484 0.00256 14.27919 0.00576 0.00011
72.03662 44.98530 17.99436 0.00801 17.26214 0.01443 17.66162 0.01521 -1.00000 0.00000 160.33278 -0.01082 1.25728 0.78514 160.33275 -0.01083 -1.00000 16.15604 0.00708 15.80027 0.00784 15.62547 0.01844 0.06358
72.02969 45.00486 19.87105 0.03125 18.81129 0.04615 19.50704 0.06031 -1.00000 0.00000 160.31467 -0.00196 1.25715 0.78548 160.31464 -0.00197 -1.00000 17.24796 0.01718 16.65674 0.01656 16.44990 0.03834 0.07193
72.02786 44.98852 17.19734 0.00499 16.36139 0.00820 16.76301 0.00879 -1.00000 0.00000 160.32632 -0.01348 1.25712 0.78520 160.32632 -0.01350 -1.00000 15.05970 0.00323 14.48650 0.00270 14.31137 0.00604 0.05771
72.02811 45.00659 14.79805 0.00148 14.13770 0.00257 14.47044 0.00272 -1.00000 0.00000 160.31263 -0.00169 1.25713 0.78551 160.31262 -0.00170 -1.00000 13.23445 0.00113 12.88261 0.00091 12.76670 0.00194 0.01413
72.02530 44.99031 17.83656 0.00726 16.97149 0.01192 17.54359 0.01410 -1.00000 0.00000 160.32378 -0.01371 1.25708 0.78523 160.32377 -0.01372 -1.00000 15.72472 0.00512 15.32244 0.00524 15.11369 0.01179 0.03578
72.02267 44.97671 17.58915 0.00625 16.87897 0.01124 17.30114 0.01210 -1.00000 0.00000 160.33298 -0.02390 1.25703 0.78499 160.33296 -0.02390 -1.00000 15.83302 0.00556 15.51340 0.00615 15.34602 0.01443 0.04768
