# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
72.17086 44.88546 18.63713 0.01226 17.77302 0.02063 18.29253 0.02346 -1.00000 0.00000 160.47036 -0.00246 1.25962 0.78340 160.47042 -0.00247 -1.00000 16.48967 0.00858 16.05739 0.00948 15.87633 0.02104 0.25405
72.16513 44.85778 18.25670 0.00948 17.40210 0.01587 17.84964 0.01723 -1.00000 0.00000 160.48893 -0.02339 1.25952 0.78291 160.48899 -0.02341 -1.00000 16.13342 0.00653 15.63134 0.00662 15.47778 0.01488 0.25902
72.16230 44.87814 19.11461 0.01731 18.24961 0.02949 18.70933 0.03195 -1.00000 0.00000 160.47206 -0.01182 1.25947 0.78327 160.47211 -0.01184 -1.00000 17.02038 0.01323 16.49360 0.01394 16.27051 0.02990 0.23212
72.16244 44.87264 16.80014 0.00401 16.05909 0.00690 16.43158 0.00731 -1.00000 0.00000 160.47633 -0.01528 1.25947 0.78317 160.47638 -0.01530 -1.00000 14.96606 0.00289 14.46681 0.00260 14.31022 0.00558 0.23530
72.16178 44.87070 18.99013 0.01578 17.64362 0.01879 18.28983 0.02341 -1.00000 0.00000 160.47751 -0.01690 1.25946 0.78314 160.47758 -0.01691 -1.00000 15.96065 0.00573 15.23660 0.00477 14.94758 0.00942 0.26266
72.15879 44.87055 18.38391 0.01031 17.59539 0.01816 18.00207 0.01912 -1.00000 0.00000 160.47626 -0.01861 1.25941 0.78314 160.47631 -0.01863 -1.00000 16.31662 0.00751 15.84456 0.00794 15.67389 0.01763 0.21861
72.15759 44.88185 18.66906 0.01254 17.85498 0.02190 18.37800 0.02496 -1.00000 0.00000 160.46707 -0.01199 1.25939 0.78334 160.46711 -0.01201 -1.00000 16.65083 0.00977 16.23106 0.01108 16.05885 0.02473 0.20871
72.15480 44.87142 17.43139 0.00570 16.60573 0.00949 17.06729 0.01050 -1.00000 0.00000 160.47378 -0.02021 1.25934 0.78315 160.47382 -0.02022 -1.00000 15.39140 0.00382 14.93597 0.00375 14.75255 0.00800 0.20438
72.15217 44.88209 19.33761 0.02049 18.54784 0.03729 19.03423 0.04112 -1.00000 0.00000 160.46442 -0.01477 1.25929 0.78334 160.46446 -0.01479 -1.00000 17.25535 0.01611 16.77491 0.01794 16.64946 0.04200 0.21576
72.15198 44.90247 19.40211 0.02153 18.47018 0.03505 18.98874 0.03967 -1.00000 0.00000 160.44873 -0.00175 1.25929 0.78370 160.44877 -0.00177 -1.00000 16.98926 0.01285 16.28665 0.01160 16.14220 0.02654 0.19494
