# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
71.81958 45.11739 15.37346 0.00192 14.61855 0.00322 14.99425 0.00357 -1.00000 0.00000 160.13290 -0.04257 1.25349 0.78745 160.13290 -0.04257 -1.00000 13.39589 0.00116 12.97722 0.00095 12.82042 0.00187 0.04106
71.80895 45.07109 16.78985 0.00393 16.02785 0.00671 16.36631 0.00729 -1.00000 0.00000 160.16335 -0.07824 1.25330 0.78664 160.16333 -0.07824 -1.00000 14.79705 0.00254 14.32010 0.00231 14.16483 0.00487 0.02960
71.80627 45.07112 17.83566 0.00717 17.05013 0.01244 17.40608 0.01359 -1.00000 0.00000 160.16210 -0.07966 1.25326 0.78664 160.16210 -0.07966 -1.00000 15.81398 0.00497 15.24554 0.00472 15.09159 0.01036 0.03083
71.77159 45.13904 19.91333 0.03225 18.86334 0.04786 19.47829 0.06442 -1.00000 0.00000 160.09449 -0.05437 1.25265 0.78782 160.09451 -0.05436 -1.00000 17.48303 0.01816 16.88087 0.01892 16.72703 0.04298 0.12394
71.77171 45.14654 17.31040 0.00524 16.58365 0.00928 16.90033 0.00992 -1.00000 0.00000 160.08882 -0.04944 1.25265 0.78796 160.08883 -0.04944 -1.00000 15.45064 0.00379 14.96575 0.00372 14.85131 0.00832 0.06841
71.77055 45.12728 19.95439 0.03335 19.05874 0.05630 19.45963 0.06342 -1.00000 0.00000 160.10297 -0.06253 1.25263 0.78762 160.10297 -0.06253 -1.00000 17.64817 0.02095 17.14467 0.02400 16.92351 0.05144 0.05949
71.76851 45.11276 18.51273 0.01115 17.66607 0.01895 18.07543 0.02146 -1.00000 0.00000 160.11310 -0.07303 1.25260 0.78737 160.11310 -0.07302 -3.00000 nan nan nan nan nan nan nan
71.76813 45.10921 19.69672 0.02705 18.72007 0.04256 19.20088 0.05117 -1.00000 0.00000 160.11563 -0.07553 1.25259 0.78730 160.11563 -0.07554 -1.00000 17.16963 0.01401 16.46475 0.01316 16.25309 0.02821 0.02236
71.76620 45.11024 17.76025 0.00684 16.90576 0.01133 17.29416 0.01264 -1.00000 0.00000 160.11397 -0.07591 1.25256 0.78732 160.11396 -0.07590 -1.00000 15.55355 0.00408 15.01705 0.00389 14.84539 0.00832 0.02389
71.76522 45.12619 18.63538 0.01215 17.78795 0.02069 18.16720 0.02293 -1.00000 0.00000 160.10137 -0.06611 1.25254 0.78760 160.10137 -0.06611 -1.00000 16.42394 0.00768 15.86674 0.00782 15.68760 0.01707 0.03715
71.76591 45.14150 15.18149 0.00175 14.51411 0.00306 14.83477 0.00330 -1.00000 0.00000 160.09001 -0.05583 1.25255 0.78787 160.09002 -0.05582 -1.00000 13.46033 0.00119 13.11142 0.00102 12.98167 0.00205 0.05161
71.76449 45.10586 18.64205 0.01220 17.70589 0.01950 18.14895 0.02263 -1.00000 0.00000 160.11652 -0.07966 1.25253 0.78725 160.11653 -0.07966 -2.00000 16.22736 0.00663 15.60209 0.00628 15.41559 0.01350 0.05539
71.76183 45.11373 16.28205 0.00301 15.18212 0.00427 15.77300 0.00530 -1.00000 0.00000 160.10931 -0.07600 1.25248 0.78738 160.10932 -0.07600 -1.00000 13.34227 0.00112 12.63445 0.00078 12.36294 0.00139 0.03970
71.76179 45.14275 19.12105 0.01728 18.21049 0.02841 18.63761 0.03265 -1.00000 0.00000 160.08718 -0.05723 1.25248 0.78789 160.08718 -0.05723 -1.00000 16.81481 0.01043 16.32741 0.01162 16.10045 0.02450 0.04613
71.75457 45.14210 15.07727 0.00167 14.04739 0.00242 14.62893 0.00289 -1.00000 0.00000 160.08438 -0.06153 1.25235 0.78788 160.08439 -0.06154 -1.00000 12.47946 0.00073 11.88344 0.00052 11.65048 0.00093 0.06367
71.74814 45.13782 17.83792 0.00731 17.03580 0.01219 17.49587 0.01333 -1.00000 0.00000 160.08470 -0.06776 1.25224 0.78780 160.08471 -0.06777 -1.00000 15.86861 0.00508 15.43784 0.00546 15.27988 0.01197 0.06794
71.74959 45.13689 19.70922 0.02822 18.73559 0.04261 19.41880 0.05401 -1.00000 0.00000 160.08608 -0.06758 1.25227 0.78779 160.08608 -0.06760 -1.00000 17.39801 0.01692 16.89262 0.01919 16.64802 0.04003 0.07261
71.73965 45.13195 18.30946 0.00993 17.40216 0.01558 17.93866 0.01780 -1.00000 0.00000 160.08530 -0.07612 1.25209 0.78770 160.08531 -0.07614 -1.00000 16.07628 0.00591 15.55249 0.00602 15.36386 0.01287 0.06414
71.74428 45.13034 19.31078 0.02057 17.53586 0.01709 18.38367 0.02429 -1.00000 0.00000 160.08864 -0.07468 1.25217 0.78767 160.08866 -0.07470 -1.00000 15.59529 0.00419 14.90233 0.00355 14.57439 0.00664 0.10476
71.74956 45.12899 19.34079 0.02105 18.37830 0.03201 18.83817 0.03408 -1.00000 0.00000 160.09208 -0.07272 1.25227 0.78765 160.09207 -0.07271 1.00000 nan nan nan nan nan nan nan
71.74864 45.12575 19.47559 0.02340 18.38892 0.03228 18.96184 0.03750 -1.00000 0.00000 160.09413 -0.07531 1.25225 0.78759 160.09414 -0.07531 -1.00000 16.95938 0.01176 16.37000 0.01211 16.13336 0.02528 0.07899
71.75840 45.12467 18.48904 0.01123 17.61110 0.01803 18.13486 0.02036 -1.00000 0.00000 160.09941 -0.07076 1.25242 0.78757 160.09944 -0.07078 -1.00000 16.32986 0.00714 15.91213 0.00814 15.70141 0.01728 0.15924
71.74743 45.12423 19.35401 0.02127 18.39561 0.03245 19.02513 0.03940 -1.00000 0.00000 160.09474 -0.07694 1.25223 0.78757 160.09473 -0.07695 -1.00000 17.03993 0.01256 16.58953 0.01470 16.34233 0.03047 0.02718
71.74981 45.11998 19.45298 0.02299 18.57626 0.03746 19.03079 0.03958 -1.00000 0.00000 160.09906 -0.07842 1.25227 0.78749 160.09905 -0.07843 -1.00000 17.16876 0.01398 16.65299 0.01555 16.46579 0.03405 0.03541
71.75933 45.11721 17.05055 0.00459 16.11563 0.00698 16.58221 0.00779 -1.00000 0.00000 160.10552 -0.07509 1.25244 0.78744 160.10553 -0.07510 -1.00000 14.78150 0.00248 14.11290 0.00197 13.92898 0.00401 0.07676
