# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
72.06538 44.90585 19.74745 0.02778 18.82999 0.04669 19.46212 0.06013 -1.00000 0.00000 160.40664 -0.04649 1.25778 0.78376 160.40662 -0.04649 -1.00000 17.47511 0.02100 16.90865 0.02087 16.72192 0.04960 0.04191
72.04924 44.89106 19.75741 0.02800 18.84699 0.04735 19.32668 0.05379 -1.00000 0.00000 160.41057 -0.06477 1.25750 0.78350 160.41053 -0.06478 -1.00000 17.47218 0.02105 16.83278 0.01952 16.64643 0.04625 0.10891
72.04784 44.89093 18.59974 0.01176 17.70381 0.01957 18.20914 0.02276 -1.00000 0.00000 160.41003 -0.06561 1.25747 0.78349 160.40999 -0.06561 -1.00000 16.31976 0.00810 15.82537 0.00806 15.65647 0.01908 0.11477
72.03845 44.88919 19.04126 0.01612 18.22634 0.02888 18.70857 0.03295 -1.00000 0.00000 160.40707 -0.07181 1.25731 0.78346 160.40704 -0.07182 -1.00000 17.02331 0.01440 16.58949 0.01573 16.47696 0.03962 0.08734
72.03253 44.88736 18.33761 0.00985 17.48576 0.01678 17.88217 0.01811 -1.00000 0.00000 160.40576 -0.07620 1.25720 0.78343 160.40573 -0.07621 -1.00000 16.14855 0.00711 15.51253 0.00619 15.32999 0.01431 0.08751
72.03252 44.89663 19.51140 0.02304 18.54828 0.03717 19.03935 0.04266 -1.00000 0.00000 160.39867 -0.07022 1.25720 0.78359 160.39863 -0.07023 -1.00000 16.96763 0.01374 16.36110 0.01286 16.20008 0.03087 0.11403
72.02849 44.89646 17.61826 0.00627 16.81407 0.01078 17.16011 0.01138 -1.00000 0.00000 160.39696 -0.07252 1.25713 0.78359 160.39693 -0.07252 -1.00000 15.58246 0.00467 14.98815 0.00402 14.80998 0.00916 0.08839
72.02790 44.88349 18.94835 0.01506 17.59151 0.01807 18.23399 0.02317 -1.00000 0.00000 160.40660 -0.08120 1.25712 0.78336 160.40659 -0.08120 -1.00000 15.84432 0.00566 15.17770 0.00469 14.87822 0.00970 0.03125
72.02915 44.93381 13.39025 0.00076 12.81666 0.00138 13.07802 0.00144 -1.00000 0.00000 160.36873 -0.04807 1.25715 0.78424 160.36870 -0.04808 -1.00000 11.99192 0.00061 11.70707 0.00048 11.58975 0.00096 0.06287
72.02490 44.88769 18.10739 0.00848 17.31924 0.01497 17.71846 0.01622 -1.00000 0.00000 160.40202 -0.08011 1.25707 0.78344 160.40199 -0.08011 -1.00000 16.09814 0.00685 15.71096 0.00732 15.53713 0.01712 0.08025
