# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
#71.71345 45.19067 15.15112 0.00178 14.53683 0.00308 14.86707 0.00330 -1.00000 0.00000 160.02859 -0.05216 1.25164 0.78873 160.02862 -0.05213 -1.00000 13.73026 0.00137 13.42028 0.00124 13.31220 0.00254 0.16115
71.69575 45.15795 17.75629 0.00951 17.01234 0.01371 17.43136 0.01684 -1.00000 0.00000 160.04543 -0.08286 1.25133 0.78815 160.04545 -0.08284 -1.00000 15.93403 0.00533 15.49505 0.00576 15.34126 0.01258 0.13767
71.69641 45.17918 15.65275 0.00234 15.09153 0.00413 15.49625 0.00466 -1.00000 0.00000 160.02956 -0.06876 1.25134 0.78853 160.02958 -0.06873 -1.00000 14.24892 0.00182 14.03346 0.00187 13.88335 0.00384 0.14651
71.69541 45.18999 18.88962 0.02403 17.96209 0.02841 18.60276 0.04352 -1.00000 0.00000 160.02087 -0.06228 1.25132 0.78871 160.02090 -0.06226 -1.00000 16.71116 0.00959 16.22088 0.01064 16.01139 0.02246 0.14539
71.69491 45.19509 17.13565 0.00600 16.35609 0.00874 16.82706 0.01082 -1.00000 0.00000 160.01676 -0.05924 1.25131 0.78880 160.01677 -0.05922 -1.00000 15.25796 0.00333 14.88076 0.00349 14.71876 0.00740 0.12828
71.69166 45.16910 19.83552 0.05497 18.97157 0.06648 19.48079 0.09351 -1.00000 0.00000 160.03507 -0.07784 1.25126 0.78835 160.03509 -0.07781 -1.00000 17.60596 0.02024 17.07784 0.02277 16.92274 0.05104 0.14878
71.68955 45.19508 18.18388 0.01334 17.12469 0.01488 17.72245 0.02110 -1.00000 0.00000 160.01432 -0.06213 1.25122 0.78880 160.01433 -0.06211 -1.00000 15.43574 0.00375 14.75819 0.00318 14.52158 0.00630 0.10106
71.68493 45.18948 18.02827 0.01178 17.16680 0.01534 17.63504 0.01970 -1.00000 0.00000 160.01648 -0.06824 1.25114 0.78871 160.01649 -0.06822 -1.00000 15.87159 0.00508 15.27128 0.00478 15.07723 0.00999 0.11485
71.68338 45.20188 17.68227 0.00899 16.87362 0.01242 17.37824 0.01617 -1.00000 0.00000 160.00632 -0.06103 1.25111 0.78892 160.00634 -0.06101 -1.00000 15.77691 0.00474 15.37534 0.00520 15.17333 0.01082 0.10609
71.68134 45.18464 18.05463 0.01203 17.33587 0.01740 17.86352 0.02361 -1.00000 0.00000 160.01852 -0.07330 1.25108 0.78862 160.01853 -0.07329 -1.00000 16.31590 0.00706 15.99548 0.00878 15.81840 0.01896 0.09562
71.68077 45.19579 17.45155 0.00755 16.61560 0.01039 17.12206 0.01336 -1.00000 0.00000 160.00977 -0.06638 1.25107 0.78882 160.00978 -0.06636 -1.00000 15.45761 0.00381 15.01545 0.00389 14.81838 0.00804 0.10040
71.67943 45.19764 19.82099 0.05426 18.96888 0.06633 19.41930 0.08855 -1.00000 0.00000 160.00775 -0.06590 1.25104 0.78885 160.00776 -0.06588 -1.00000 17.46101 0.01780 16.83128 0.01824 16.69253 0.04125 0.11544
71.67931 45.20096 17.68787 0.00903 16.82743 0.01202 17.30807 0.01534 -1.00000 0.00000 160.00517 -0.06381 1.25104 0.78891 160.00518 -0.06379 -1.00000 15.63021 0.00428 15.14462 0.00431 14.98304 0.00921 0.12287
71.67818 45.19848 18.91828 0.02462 18.02348 0.02986 18.52379 0.04070 -1.00000 0.00000 160.00654 -0.06603 1.25102 0.78886 160.00654 -0.06601 -1.00000 16.73577 0.00978 16.28800 0.01130 16.11722 0.02464 0.08522
